"astro-ph/0212003","Alan Kostelecky","Alan Kostelecky, Ralf Lehnert, and Malcolm Perry","Spacetime-varying couplings and Lorentz violation","4 pages","Phys.Rev.D68:123511,2003","10.1103/PhysRevD.68.123511","IUHET 452","astro-ph hep-ph",,"  Spacetime-varying coupling constants can be associated with violations of
local Lorentz invariance and CPT symmetry. An analytical supergravity cosmology
with time-varying fine-structure constant provides an explicit example.
Estimates are made for some experimental constraints.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 19:35:11 GMT""}]","2009-09-25"
"math/0212415","Weinan E.","Weinan E, Weiqing Ren, Eric Vanden-Eijnden","Energy landscapes and rare events",,"Proceedings of the ICM, Beijing 2002, vol. 1, 621--630",,"ICM-2002","math.NA",,"  Many problems in physics, material sciences, chemistry and biology can be
abstractly formulated as a system that navigates over a complex energy
landscape of high or infinite dimensions. Well-known examples include phase
transitions of condensed matter, conformational changes of biopolymers, and
chemical reactions. The energy landscape typically exhibits multiscale
features, giving rise to the multiscale nature of the dynamics. This is one of
the main challenges that we face in computational science. In this report, we
will review the recent work done by scientists from several disciplines on
probing such energy landscapes. Of particular interest is the analysis and
computation of transition pathways and transition rates between metastable
states. We will then present the string method that has proven to be very
effective for some truly complex systems in material science and chemistry.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212416","Gabriele Kaiser","Gabriele Kaiser, Frederick K. S. Leung, Thomas Romberg, Ivan Yaschenko","International comparisons in mathematics education: an overview",,"Proceedings of the ICM, Beijing 2002, vol. 1, 631--646",,"ICM-2002","math.HO",,"  The paper opens with an overview of the discussion of international
comparisons (including goals) in mathematics education. Afterwards, the two
most important recent international studies, the PISA Study and TIMSS-Repeat,
are described. After a short description of the qualitative-quantitative
debate, a qualitatively oriented small-scale study is described. The paper
closes with reflection on the possibilities and limitations of such studies.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212417","G\'erard Laumon","G\'erard Laumon","The work of Laurent Lafforgue",,"Proceedings of the ICM, Beijing 2002, vol. 1, 91--97",,"ICM-2002","math.NT math.AG",,"  Laurent Lafforgue has been awarded the Fields Medal for his proof of the
Langlands correspondence for the full linear groups $\mathop{\rm
GL}\nolimits_{r}$ ($r\geq 1$) over function fields.
  This article is a brief introduction to the Langlands correspondence and to
Lafforgue's theorem.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212418","Christophe Soul\'e","Christophe Soul\'e","The work of Vladimir Voevodsky","Last sentence of abstract added in migration","Proceedings of the ICM, Beijing 2002, vol. 1, 99--103",,"ICM-2002","math.AG",,"  Vladimir Voevodsky was born in 1966. He studied at Moscow State University
and Harvard university. He is now Professor at the Institute for Advanced Study
in Princeton.
  Among his main achievements are the following: he defined and developed
motivic cohomology and the ${\mathbf A}^1$-homotopy theory of algebraic
varieties; he proved the Milnor conjectures on the $K$-theory of fields. This
article is a brief introduction to this work, for which Voevodsky was awarded
the Fields Medal.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"nucl-th/0212004","Ulrich Heinz","Ulrich W. Heinz","The quark-gluon plasma at RHIC","10 pages, including 3 postscript figures. Plenary overview talk
  presented at PANIC02, Sep. 30 - Oct. 4, 2002, Osaka, Japan. To appear in the
  proceedings in Nuclear Physics A","Nucl.Phys.A721:30-39,2003","10.1016/S0375-9474(03)01014-5",,"nucl-th",,"  I present a theory-guided review of RHIC data, arguing that they provide
strong evidence for formation of a thermalized quark-gluon plasma at RHIC.
Strong radial flow reflects high thermal pressure in the reaction zone. Large
elliptic flow proves that the pressure builds up quickly and the system
thermalizes on a very short time scale of less than 1 fm/c. The observed hadron
yields are consistent with statistical hadron formation from a quark-gluon
plasma, followed by immediate chemical decoupling due to strong radial
expansion. The observed suppression of jets appears to confirm the predicted
large energy loss suffered by hard partons moving through a quark-gluon plasma;
more work is required to quantitatively understand this effect. Source size
measurements using two-particle correlations do not seem to fit into this
picture; the origin of this discrepancy (``HBT puzzle'') is presently not
understood.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 20:04:57 GMT""}]","2009-10-09"
"nucl-th/0212005","Constantia Alexandrou","C. Alexandrou (Univ. of Cyprus), Ph. de Forcrand (ETH Zurich and CERN)
  and A. Tsapalis (Univ. of Cyprus)","Hadron wave functions and the issue of nucleon deformation","4 pages, 7 figures. Talk presented at the PANIC02 conference, Sept.
  30 - Oct. 4, 2002, Osaka, Japan. Discussion of the N to Delta results
  modified","Nucl.Phys. A721 (2003) 907-910","10.1016/S0375-9474(03)01240-5",,"nucl-th hep-lat",,"  Using gauge invariant hadronic two- and three- density correlators we extract
information on the spatial distributions of quarks in hadrons, and on hadron
shape and multipole moments within quenched lattice QCD. Combined with the
calculation of N to Delta transition amplitudes the issue of nucleon
deformation can be addressed.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 15:45:28 GMT""},{""version"":""v2"",""created"":""Mon, 7 Jul 2003 07:28:16 GMT""}]","2009-11-07"
"physics/0212002","Theodore Liolios","Theodore Liolios","The Effects of Nuclear Terrorism: Fizzles","Withdrawn, to be submitted to an e-journal which doesn't allow
  previous electronic publication",,,,"physics.soc-ph physics.med-ph",,"  The September 11 terrorist attack against America has caused a lot of concern
to the American public and the entire world, which is suspecting a new attack
sooner or later. The most frightening scenario is the one involving the
detonation of a nuclear device at the heart of a large metropolitan city.
Unless the terrorists are in possession of a fully assembled modern nuclear
weapons it is very likely that they will possess a crude nuclear device which
has been assembled in a terrorist camp by people with relatively limited
technological resources. It well known that the Oppenheimer team, which
designed and tested the first nuclear weapon (the gadget), had a lot of
reservations as to whether the first test at Alamogordo would produce any yield
at all. Therefore, the most likely scenario is that the terrorists will achieve
either a nominal yield or no yield at all (Fizzle). In this study we will
investigate all those parameters that play a decisive role in the number of
casualties after such an attack so that we can propose effective means of
avoiding mass destruction.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 20:15:56 GMT""},{""version"":""v2"",""created"":""Thu, 13 Mar 2003 19:15:05 GMT""},{""version"":""v3"",""created"":""Sun, 16 Feb 2014 15:19:25 GMT""}]","2014-02-18"
"quant-ph/0212003","Jeffrey Satinover","Jeffrey Satinover","Modeling Decoherence and Decoherence-Free Subspaces in Complex
  Environments","22 pages, 18 figures",,,,"quant-ph cond-mat.mes-hall",,"  A simplified Bogoliubov transform reduces a fully-interacting many-fermion
spin-1/2 system-plus-environment to a more tractable many-to-one variant. The
transform additionally yields exact solutions for bosonic multi-particle
interactions sans the approximation introduced by using discrete time steps to
deal with quantum parallelism. The decohering effect of relatively general
finite environments is therewith modeled and compared to the decohering effect
of an infinite environmental ""bath."" The anti-symmetric singlet state formed by
two maximally-entangled two-state particles is shown to be inherently
decoherence-free. As a quantum bit (""qubit"") it is thus potentially superior to
any single-particle state.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 19:26:27 GMT""}]","2007-05-23"
"quant-ph/0212004","Hanno Hammer","Hanno Hammer","Orthogonality relations for triple modes at dielectric boundary surfaces","15 pages","Journal of Modern Optics 50 (2003), 209 - 227","10.1080/09500340308235171",,"quant-ph",,"  We work out the orthogonality relations for the set of Carniglia-Mandel
triple modes which provide a set of normal modes for the source-free
electromagnetic field in a background consisting of a passive dielectric
half-space and the vacuum, respectively. Due to the inherent computational
complexity of the problem, an efficient strategy to accomplish this task is
desirable, which is presented in the paper. Furthermore, we provide all main
steps for the various proofs pertaining to different combinations of triple
modes in the orthogonality integral.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 01:08:08 GMT""}]","2015-06-26"
"quant-ph/0212006",,"R.Vilela Mendes and V. I. Man'ko","Quantum control and the Strocchi map","16 pages Latex","Physical Review A 67 (2003) 053404","10.1103/PhysRevA.67.053404",,"quant-ph",,"  Identifying the real and imaginary parts of wave functions with coordinates
and momenta, quantum evolution may be mapped onto a classical Hamiltonian
system. In addition to the symplectic form, quantum mechanics also has a
positive-definite real inner product which provides a geometrical
interpretation of the measurement process. Together they endow the quantum
Hilbert space with the structure of a K\""{a}ller manifold. Quantum control is
discussed in this setting. Quantum time-evolution corresponds to smooth
Hamiltonian dynamics and measurements to jumps in the phase space. This adds
additional power to quantum control, non unitarily controllable systems
becoming controllable by ``measurement plus evolution''. A picture of quantum
evolution as Hamiltonian dynamics in a classical-like phase-space is the
appropriate setting to carry over techniques from classical to quantum control.
This is illustrated by a discussion of optimal control and sliding mode
techniques.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 12:53:53 GMT""}]","2009-11-07"
