"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"math/0202264","Jared Wunsch","Jared Wunsch","A Poisson relation for conic manifolds","Exposition substantially improved. 1 figure added. Title changed",,,,"math.AP math.SP",,"  Let $X$ be a compact Riemannian manifold with conic singularities, i.e. a
Riemannian manifold whose metric has a conic degeneracy at the boundary. Let
$\Delta$ be the Friedrichs extension of the Laplace-Beltrami operator on $X.$
There are two natural ways to define geodesics passing through the boundary: as
``diffractive'' geodesics which may emanate from $\partial X$ in any direction,
or as ``geometric'' geodesics which must enter and leave $\partial X$ at points
which are connected by a geodesic of length $\pi$ in $\partial X.$ Let
$\DIFF=\{0\} \cup \{\pm lengths of closed diffractive geodesics\}$ and
$\GEOM=\{0\} \cup \{\pm lengths of closed geometric geodesics\}.$ We show that
$$ \Tr \cos t \sqrt\Delta \in C^{-n-0}(\RR) \cap C^{-1-0}(\RR\backslash \GEOM)
\cap C^\infty(\RR\backslash \DIFF).$$ This generalizes a classical result of
Chazarain and Duistermaat-Guillemin on boundaryless manifolds, which in turn
follows from Poisson summation in the case $X=S^1.$
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:49:55 GMT""},{""version"":""v2"",""created"":""Tue, 24 Sep 2002 17:06:41 GMT""}]","2007-05-23"
"math/0202265","Nik Weaver","Nik Weaver","Set theory and cyclic vectors","6 pages",,,,"math.FA math.LO",,"  Let H be a separable, infinite dimensional Hilbert space and let S be a
countable subset of H. Then most positive operators on H have the property that
every nonzero vector in the span of S is cyclic, in the sense that the set of
operators in the positive part of the unit ball of B(H) with this property is
comeager for the strong operator topology.
  Suppose \kappa is a regular cardinal such that \kappa \geq \omega_1 and
2^{<\kappa} = \kappa. Then it is relatively consistent with ZFC that 2^\omega =
\kappa and for any subset S \subset H of cardinality less than \kappa the set
of positive operators in the unit ball of B(H) for which every nonzero vector
in the span of S is cyclic is comeager for the strong operator topology.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:59:52 GMT""}]","2007-05-23"
"math/0202266","Bernard Shiffman","Bernard Shiffman, Mikhail Zaidenberg","Constructing low degree hyperbolic surfaces in P^3","9 pages, to appear in Chern issue of Houston J. Math","Houston J. of Math. 28, Special issue for S. S. Chern, (2002),
  377-388.",,,"math.AG math.CV",,"  We describe a new method of constructing Kobayashi-hyperbolic surfaces in
complex projective 3-space based on deforming surfaces with a ""hyperbolic
non-percolation"" property. We use this method to show that general small
deformations of certain singular abelian surfaces of degree 8 are hyperbolic.
We also show that a union of 15 planes in general position in projective
3-space admits hyperbolic deformations.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:32:00 GMT""}]","2007-05-23"
"math/0202267","Matthias Beck","Matthias Beck and Dennis Pixton","The Ehrhart polynomial of the Birkhoff polytope","14 pages","Discrete & Computational Geometry 30, no. 4 (2003), 623-637",,,"math.CO",,"  The n'th Birkhoff polytope is the set of all doubly stochastic n-by-n
matrices, that is, those matrices with nonnegative real coefficients in which
every row and column sums to one. A wide open problem concerns the volumes of
these polytopes, which have been known for n up to 8. We present a new,
complex-analytic way to compute the Ehrhart polynomial of the Birkhoff
polytope, that is, the function counting the integer points in the dilated
polytope. One reason to be interested in this counting function is that the
leading term of the Ehrhart polynomial is--up to a trivial factor--the volume
of the polytope. We implemented our methods in form of a computer program,
which yielded the Ehrhart polynomial (and hence the volume) of the ninth
Birkhoff polytope.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 23:29:38 GMT""},{""version"":""v2"",""created"":""Sun, 2 Jan 2005 00:52:33 GMT""}]","2007-05-23"
"math/0202268","Masaki Kashiwara","Masaki Kashiwara","Realizations of Crystals","7 pages",,,,"math.QA",,"  We shall give various realizations of crystals. One of them is a monome
realization introduced by Nakajima.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 08:33:19 GMT""}]","2007-05-23"
"math/0202269",,"Satyabrata Adhikari (CMS), Abhijit Sen (SINP)","An Extension to Fermat's Factorisation and a simple primality test","4 pages LaTeX",,,,"math.GM",,"  An extension to the factorisation principle as suggested by Fermat is
presented.We start from a symmetry of natural numbers and obtain the
factorisation principle therefrom.Later it is extended further to test the
primality of any natural number and finally used to factorise any given number.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 08:31:34 GMT""}]","2007-05-23"
"math/0202270","Jean-Paul Jurzak","Jean-Paul Jurzak","A class of generalized gamma functions","LaTeX file. 9 pages",,,,"math.NT",,"  In this paper, we study the holomorphic function defined by the infinite
product $\Gamma_{a,r}(s) =\prod_{n \geq 0} (1 + \frac{1}{a+ nr})^s (1 +
\frac{s}{a+nr})^{-1}$ which generalize Euler's definition in the sense that
$\Gamma(s) = \frac{\Gamma_{1,1}(s)}{s}$. We obtain analogues of the Gauss
multiplication formula, complement formula for functions $\Gamma_{a,r}(s)$.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:14:55 GMT""}]","2007-05-23"
"math/0202271","Giuseppe Dito","Giuseppe Dito","Deformation quantization of covariant fields","LaTeX file. 11 pages. To appear in Deformation Quantization:
  Proceedings of the meeting between mathematicians and theoretical physicists,
  Strasbourg, 2001. IRMA Lectures in Math. Theoret. Phys., Vol. 1, Walter De
  Gruyter, Berlin 2002, pp. 55--66",,,,"math.QA hep-th",,"  After sketching recent advances and subtleties in classical relativistically
covariant field theories, we give in this short Note some indications as to how
the deformation quantization approach can be used to solve or at least give a
better understanding of their quantization.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:30:24 GMT""}]","2007-05-23"
"math/0202272","Stephane Baseilhac","Stephane Baseilhac","Dilogarithme Quantique et 6j-Symboles Cycliques","40 pages, in French (abstract in English). Former 3rd chapter of the
  Author's PhD thesis",,,,"math.QA",,"  Let $\mathcal{W}_N$ be a quantized Borel subalgebra of $U_q(sl(2,\mc))$,
specialized at a primitive root of unity $\omega = \exp(2i\pi/N)$ of odd order
$N >1$. One shows that the $6j$-symbols of cyclic representations of
$\mathcal{W}_N$ are representations of the canonical element of a certain
extension of the Heisenberg double of $\mathcal{W}_N$. This canonical element
is a twisted $q$-dilogarithm. In particular, one gives explicit formulas for
these $6j$-symbols, and one constructs partial symmetrizations of them, the
c-$6j$-symboles. The latters are at the basis of the construction of the
quantum hyperbolic invariants of 3-manifolds.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:09:15 GMT""}]","2007-05-23"
"math/0202273","Jean-Paul Jurzak","Jean-Paul Jurzak","Partial Euler products as a new approach to Riemann hypothesis","LaTeX file. 22 pages",,,,"math.NT",,"  In this paper, we show that Riemann hypothesis (concerning zeros of the zeta
function in the critical strip) is equivalent to the analytic continuation of
Euler products obtained by restricting the Euler zeta product to suitable
subsets $M_k$, $k\geq 1$ of the set of prime numbers. Each of these Euler
product defines so a partial zeta function $\zeta_{k}(s)$ equal to a Dirichlet
series of the form $\sum \epsilon(n)/n^s$, with coefficients $\epsilon(n)$
equal to 0 or 1 as n belongs or not to the population of integers generated by
$M_k$. We show that usual formulas of the arithmetic adapt themselves to such
populations (Moebius, Mertens, Lambert series,...). We envisage also the study
of summations inside these populations and new functions (generalizations of
the integer part function, of the harmonic series) directly connected to the
existence of analytical continuations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:26:33 GMT""}]","2007-05-23"
"math/0202274","Florentin Smarandache","Housila P. Singh, Sharad Saxena, Jack Allen, Sarjinder Singh,
  Florentin Smarandache","Estimation of Weibull Shape Parameter by Shrinkage Towards an Interval
  Under Failure Censored Sampling","20 pages, 2 tables, 1 figure",,,,"math.ST stat.TH",,"  This paper is speculated to propose a class of shrinkage estimators for shape
parameter beta in failure censored samples from two-parameter Weibull
distribution when some 'apriori' or guessed interval containing the parameter
beta is available in addition to sample information and analyses their
properties. Some estimators are generated from the proposed class and compared
with the minimum mean squared error (MMSE) estimator. Numerical computations in
terms of percent relative efficiency and absolute relative bias indicate that
certain of these estimators substantially improve the MMSE estimator in some
guessed interval of the parameter space of beta, especially for censored
samples with small sizes. Subsequently, a modified class of shrinkage
estimators is proposed with its properties.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:41:05 GMT""}]","2007-06-13"
"math/0202275","Michael P. Tuite","Rossen I. Ivanov and Michael P. Tuite","Some Irrational Generalised Moonshine from Orbifolds",,"Nucl.Phys. B635 (2002) 473-491","10.1016/S0550-3213(02)00319-X",,"math.QA hep-th math.GR",,"  We verify the Generalised Moonshine conjectures for some irrational modular
functions for the Monster centralisers related to the Harada-Norton, Held,
$M_{12}$ and $L_3(3)$ simple groups based on certain orbifolding constraints.
We find explicitly the fixing groups of the hauptmoduls arising in each case.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:09:26 GMT""}]","2015-06-26"
"math/0202276","Leszczynski","Leszczynski Jacek, Ciesielski Mariusz","A numerical method for solution of ordinary differential equations of
  fractional order","8 pages, 2 figures, Parallel Processing and Applied Mathematics
  (PPAM2001) Conference, under publishing in Lecture Notes in Computer Science,
  Springer Verlag","Lecture Notes in Computer Science (LNCS), Springer-Verlag, 2328,
  2001, pp. 675-681",,,"math.NA cs.CE physics.comp-ph",,"  In this paper we propose an algorithm for the numerical solution of arbitrary
differential equations of fractional order. The algorithm is obtained by using
the following decomposition of the differential equation into a system of
differential equation of integer order connected with inverse forms of
Abel-integral equations. The algorithm is used for solution of the linear and
non-linear equations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:51:23 GMT""}]","2007-05-23"
"nlin/0202054","Lorenz Kramer","Pierre Coullet and Lorenz Kramer","Retracting fronts induce spatio-temporal intermittency","4 pages including 4 figures",,,,"nlin.PS",,"  The intermittent route to spatio-temporal complexity is analyzed in a simple
model which displays a subcritical bifurcation without hysteresis. A new type
of spatio-temporal complexity is found, induced by fronts which ""convectively
clean"" the perturbations around an unstable state. The mechanism which leads to
the existence of these ""retracting fronts"" is analyzed in the frame of simple
models.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:12:45 GMT""}]","2007-05-23"
"nlin/0202055","Zoltan Neufeld","Zoltan Neufeld, Peter H. Haynes and Tamas Tel","Chaotic mixing induced transitions in reaction-diffusion systems","to appear in Chaos, special issue on Chaotic Flow",,"10.1063/1.1476949",,"nlin.CD nlin.PS",,"  We study the evolution of a localized perturbation in a chemical system with
multiple homogeneous steady states, in the presence of stirring by a fluid
flow. Two distinct regimes are found as the rate of stirring is varied relative
to the rate of the chemical reaction. When the stirring is fast localized
perturbations decay towards a spatially homogeneous state. When the stirring is
slow (or fast reaction) localized perturbations propagate by advection in form
of a filament with a roughly constant width and exponentially increasing
length. The width of the filament depends on the stirring rate and reaction
rate but is independent of the initial perturbation. We investigate this
problem numerically in both closed and open flow systems and explain the
results using a one-dimensional ""mean-strain"" model for the transverse profile
of the filament that captures the interplay between the propagation of the
reaction-diffusion front and the stretching due to chaotic advection.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:57:27 GMT""}]","2009-11-07"
"nlin/0202056","Jon Machta","J. Machta","Sampling Chaotic Trajectories Quickly in Parallel","12 pages, 2 figures","J. Stat. Phys. 109, 863-873 (2002)","10.1023/A:1020431119088",,"nlin.CD",,"  The parallel computational complexity of the quadratic map is studied. A
parallel algorithm is described that generates typical pseudotrajectories of
length t in a time that scales as log t and increases slowly in the accuracy
demanded of the pseudotrajectory. Long pseudotrajectories are created in
parallel by putting together many short pseudotrajectories; Monte Carlo
procedures are used to eliminate the discontinuities between these short
pseudotrajectories and then suitably randomize the resulting long
pseudotrajectory. Numerical simulations are presented that show the scaling
properties of the parallel algorithm. The existence of the fast parallel
algorithm provides a way to formalize the intuitive notion that chaotic systems
do not generate complex histories.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:57:55 GMT""}]","2015-06-26"
"nlin/0202057","Ramiro Rico-Martinez","R. Rico-Martinez (1,2), K. Krischer (2), G. Flaetgen (2), J.S.
  Anderson (3) and I.G. Kevrekidis (2,3) ((1) Instituto Tecnologico de Celaya,
  Depto. de Ingenieria Quimica, Celaya, Gto.Mexico (2) Fritz-Haber-Institut der
  Max-Planck-Gesellschaft, Berlin, Germany (3) Department of Chemical
  Engineering, Princeton University, Princeton, NJ U.S.A.)","Adaptive Detection of Instabilities: An Experimental Feasibility Study","29 pages, Latex 2.09, 10 figures in encapsulated postscript format
  (eps), need psfig macro to include them. Submitted to Physica D",,"10.1016/S0167-2789(02)00738-8",,"nlin.CD",,"  We present an example of the practical implementation of a protocol for
experimental bifurcation detection based on on-line identification and feedback
control ideas. The idea is to couple the experiment with an on-line
computer-assisted identification/feedback protocol so that the closed-loop
system will converge to the open-loop bifurcation points. We demonstrate the
applicability of this instability detection method by real-time,
computer-assisted detection of period doubling bifurcations of an electronic
circuit; the circuit implements an analog realization of the Roessler system.
The method succeeds in locating the bifurcation points even in the presence of
modest experimental uncertainties, noise and limited resolution. The results
presented here include bifurcation detection experiments that rely on
measurements of a single state variable and delay-based phase space
reconstruction, as well as an example of tracing entire segments of a
codimension-1 bifurcation boundary in two parameter space.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 23:38:51 GMT""}]","2009-11-07"
"nlin/0202058","Markus Abel","M. Abel","Nonparametric modeling and spatiotemporal dynamical systems","20 pages, 11 figures",,,,"nlin.PS nlin.CD",,"  In this article, it is described how to use statistical data analysis to
obtain models directly from data. The focus is put on finding nonlinearities
within a generalized additive model. These models are found by the means of
backfitting algorithms or more general versions, like the alternating
conditional expectation value method. The method is illustrated by numerically
generated data. As an application the example of vortex ripple dynamics, a
highly complex fluid-granular system is treated.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:25:20 GMT""},{""version"":""v2"",""created"":""Wed, 14 Aug 2002 10:05:06 GMT""}]","2007-05-23"
"nucl-th/0202075","Andrea Rapisarda","A. Rapisarda and V. Latora (Univ. Catania, Italy)","Negative specific heat in out-of-equilibrium nonextensive systems","ReVteX, 7 pages, 4 ps figures, talk presented at IWM 2001. A few
  typos corrected",,,"DIPFIS-CT/2001-20","nucl-th nucl-ex",,"  We discuss the occurrence of negative specific heat in a nonextensive system
which has an equilibrium second-order phase transition.The specific heat is
negative only in a transient regime before equilibration, in correspondence to
long-lasting metastable states. For these states standard equilibrium
Bolzmann-Gibbs thermodynamics does not apply and the system shows non-Gaussian
velocity distributions, anomalous diffusion and correlation in phase space.
Similar results have recently been found also in several other nonextensive
systems, supporting the general validity of this scenario. These models seem
also to support the conjecture that a nonexstensive statistical formalism, like
the one proposed by Tsallis, should be applied in such cases. The theoretical
scenario is not completely clear yet, but there are already many strong
theoretical indications suggesting that, it can be wrong to consider the
observation of an experimental negative specific heat as an unique and
unambiguous signature of a standard equilibrium first-order phase transition.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:36:21 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 08:17:28 GMT""}]","2007-05-23"
"nucl-th/0202076","Lombardo","W. Zuo, A. Lejeune, U. Lombardo and J.F. Mathiot","Interplay of Three-Body Interactions in the EOS of Nuclear Matter","12 pages 7 figures","Nucl.Phys. A706 (2002) 418-430","10.1016/S0375-9474(02)00750-9",,"nucl-th",,"  The equation of state of symmetric nuclear matter has been investigated
within Brueckner approach adopting the charge-dependent Argonne $V_{18}$
two-body force plus a microscopic three-body force based on a meson-exchange
model. The effects on the equation of state of the individual processes giving
rise to the three-body force are explored up to high baryonic density. It is
found that the major role is played by the competition between the strongly
repulsive $(\sigma, \omega)$ exchange term with virtual nucleon-antinucleon
excitation and the large attractive contribution due to $(\sigma, \omega)$
exchange with $N^*(1440)$ resonance excitation. The net result is a repulsive
term which shifts the saturation density corresponding to the only two-body
force much closer to the empirical value, while keeping constant the saturation
energy per particle. The contribution from $(\pi, \rho)$ exchange 3BF is shown
to be attractive and rather small. The analysis of the separate three-body
force contributions allows to make a comparison with the prediction of
Dirac-Brueckner approach which is supposed to incorporate via the {\it dressed}
Dirac spinors the same virtual nucleon-antinucleon excitations as in the
present three-body force. The numerical results suggest that the three-body
force components missing from the Dirac-Brueckner approach are not negligible,
especially at high density. The calculation of the nuclear mean field and the
effective mass shows that the three-body force affects to a limited extent such
properties.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 10:42:58 GMT""}]","2009-11-07"
"nucl-th/0202077","Lombardo","W. Zuo, A. Lejeune, U. Lombardo and J.F. Mathiot","Microscopic three-body force for asymmetric nuclear matter","11 pages, 7 figures","Eur.Phys.J. A14 (2002) 469-475",,,"nucl-th",,"  Brueckner calculations including a microscopic three-body force have been
extended to isospin asymmetric nuclear matter. The effects of the three-body
force on the equation of state and on the single-particle properties of nuclear
matter are discussed with a view to possible applications in nuclear physics
and astrophysics. It is shown that, even in the presence of the three-body
force, the empirical parabolic law of the energy per nucleon vs isospin
asymmetry $\beta=(N-Z)/A$ is fulfilled in the whole asymmetry range
$0\le\beta\le 1$ up to high densities. The three-body force provides a strong
enhancement of symmetry energy increasing with the density in good agreement
with relativistic approaches. The Lane's assumption that proton and neutron
mean fields linearly vary vs the isospin parameter is violated at high density
in the presence of the three-body force. Instead the momentum dependence of the
mean fields is rather insensitive to three body force which brings about a
linear isospin deviation of the neutron and proton effective masses. The
isospin effects on multifragmentation events and collective flows in heavy-ion
collisions are briefly discussed along with the conditions for direct URCA
processes to occur in the neutron-star cooling.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:16:09 GMT""}]","2007-05-23"
"physics/0202062","Bogdan Mihaila","Bogdan Mihaila and Ruth E. Shaw","Parallel algorithm with spectral convergence for nonlinear
  integro-differential equations","15 pages, 9 figures","J.Phys.A35:5315,2002","10.1088/0305-4470/35/25/311",,"physics.comp-ph hep-ph",,"  We discuss a numerical algorithm for solving nonlinear integro-differential
equations, and illustrate our findings for the particular case of Volterra type
equations. The algorithm combines a perturbation approach meant to render a
linearized version of the problem and a spectral method where unknown functions
are expanded in terms of Chebyshev polynomials (El-gendi's method). This
approach is shown to be suitable for the calculation of two-point Green
functions required in next to leading order studies of time-dependent quantum
field theory.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 01:27:32 GMT""}]","2008-11-26"
"quant-ph/0202138","Dr. Paul J. Werbos","Paul J. Werbos","Realistic Derivation of Heisenberg Dynamics","17 pages, letter plus 2 appendices New Appendix B describes QFT/CFT
  equivalence for bosonic QFT in d+1-dimensions","Proofs and extensions in: Int'l J. Bifurcation and Chaos, Vol. 12,
  No. 10, October 2002, p.1.",,,"quant-ph",,"  Einstein conjectured long ago that much of quantum mechanics might be derived
as a statistical formalism describing the dynamics of classical systems. Bell's
Theorem experiments have ruled out complete equivalence between quantum field
theory (QFT) and classical field theory (CFT), but an equivalence between
dynamics is not only possible but provable in simple bosonic systems. Future
extensions of these results might possibly be useful in developing provably
finite variations of the standard model of physics.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:31:38 GMT""},{""version"":""v2"",""created"":""Thu, 28 Feb 2002 16:07:46 GMT""}]","2007-05-23"
"quant-ph/0202139","Jose L. Cereceda","Jose L. Cereceda","Three-particle entanglement versus three-particle nonlocality","REVTeX4, 4 pages, journal version","Phys. Rev. A 66 (2002) 024102","10.1103/PhysRevA.66.024102",,"quant-ph",,"  The notions of three-particle entanglement and three-particle nonlocality are
discussed in the light of Svetlichny's inequality [Phys. Rev. D 35, 3066
(1987)]. It is shown that there exist sets of measurements which can be used to
prove three-particle entanglement, but which are nevertheless useless at
proving three-particle nonlocality. In particular, it is shown that the quantum
predictions giving a maximal violation of Mermin's three-particle Bell
inequality [Phys. Rev. Lett. 65, 1838 (1990)] can be reproduced by a hybrid
hidden variables model in which nonlocal correlations are present only between
two of the particles. It should be possible, however, to test the existence of
both three-particle entanglement and three-particle nonlocality for any given
quantum state via Svetlichny's inequality.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 17:41:49 GMT""},{""version"":""v2"",""created"":""Wed, 6 Mar 2002 17:30:09 GMT""},{""version"":""v3"",""created"":""Tue, 14 May 2002 17:50:50 GMT""},{""version"":""v4"",""created"":""Sun, 22 Sep 2002 18:12:32 GMT""}]","2009-11-07"
"quant-ph/0202140","Roderich Tumulka","Roderich Tumulka","Comment on ``Time-like flows of energy-momentum and particle
  trajectories for the Klein-Gordon equation''","3 pages, no figures; in the 2nd version a minor mistake has been
  corrected; conclusions remain unaltered","J. Phys. A: Math. Gen. 35 (2002) 7961-7962","10.1088/0305-4470/35/37/401",,"quant-ph",,"  Horton, Dewdney, and Nesteruk [quant-ph/0103114] have proposed Bohm-type
particle trajectories accompanying a Klein-Gordon wave function psi on
Minkowski space. From two vector fields on space-time, W^+ and W^-, defined in
terms of psi, they intend to construct a timelike vector field W, the integral
curves of which are the possible trajectories, by the following rule: at every
space-time point, take either W = W^+ or W = W^- depending on which is
timelike.
  This procedure, however, is ill-defined as soon as both are timelike, or both
spacelike. Indeed, they cannot both be timelike, but they can well both be
spacelike, contrary to the central claim of [quant-ph/0103114]. We point out
the gap in their proof, provide a counterexample, and argue that, even for a
rather arbitrary wave function, the points where both W^+ and W^- are spacelike
can form a set of positive measure.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:02:24 GMT""},{""version"":""v2"",""created"":""Tue, 30 Apr 2002 14:59:24 GMT""}]","2009-11-07"
"quant-ph/0202141","Cassius D'Helon","V. Protopopescu, R. Perez, C. D'Helon and J. Schmulen","Robust control of decoherence in realistic one-qubit quantum gates","21 pages, 8 figures, VIth International Conference on Quantum
  Communication, Measurement and Computing (Boston, 2002)","Journal of Physics A, 36(8), 2175, 2003","10.1088/0305-4470/36/8/314",,"quant-ph",,"  We present an open loop (bang-bang) scheme to control decoherence in a
generic one-qubit quantum gate and implement it in a realistic simulation. The
system is consistently described within the spin-boson model, with interactions
accounting for both adiabatic and thermal decoherence. The external control is
included from the beginning in the Hamiltonian as an independent interaction
term. After tracing out the environment modes, reduced equations are obtained
for the two-level system in which the effects of both decoherence and external
control appear explicitly. The controls are determined exactly from the
condition to eliminate decoherence, i.e. to restore unitarity. Numerical
simulations show excellent performance and robustness of the proposed control
scheme.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:49:42 GMT""},{""version"":""v2"",""created"":""Fri, 14 Feb 2003 16:29:38 GMT""}]","2009-11-07"
"quant-ph/0202142","Cassius D'Helon","C. D'Helon and V. Protopopescu","New summing algorithm using ensemble computing","13 pages, 0 figures, VIth International Conference on Quantum
  Communication, Measurement and Computing (Boston, 2002)","Journal of Physics A, 35(42), L597, 2002","10.1088/0305-4470/35/42/102",,"quant-ph",,"  We propose an ensemble algorithm, which provides a new approach for
evaluating and summing up a set of function samples. The proposed algorithm is
not a quantum algorithm, insofar it does not involve quantum entanglement. The
query complexity of the algorithm depends only on the scaling of the
measurement sensitivity with the number of distinct spin sub-ensembles. From a
practical point of view, the proposed algorithm may result in an exponential
speedup, compared to known quantum and classical summing algorithms. However in
general, this advantage exists only if the total number of function samples is
below a threshold value which depends on the measurement sensitivity.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:49:49 GMT""},{""version"":""v2"",""created"":""Mon, 14 Oct 2002 17:06:47 GMT""}]","2009-11-07"
"quant-ph/0202143","Terry Rudolph","Terry Rudolph","The Laws of Physics and Cryptographic Security","Expanded text of a talk given at the University of Illinois, Feb. 5th
  2002",,,,"quant-ph",,"  This paper consists of musings that originate mainly from conversations with
other physicists, as together we've tried to learn some cryptography, but also
from conversations with a couple of classical cryptographers. The main thrust
of the paper is an attempt to explore the ramifications for cryptographic
security of incorporating physics into our thinking at every level. I begin by
discussing two fundamental cryptographic principles, namely that security must
not rely on secrecy of the protocol and that our local environment must be
secure, from a physical perspective. I go on to explain why by definition a
particular cryptographic task, oblivious transfer, is inconsistent with a
belief in the validity of quantum mechanics. More precisely, oblivious transfer
defines states and operations that do not exist in any (complex) Hilbert space.
I go on to argue the fallaciousness of a ""black box"" approach to quantum
cryptography, in which classical cryptographers just trust physicists to
provide them with secure quantum cryptographic sub-protocols, which they then
attempt to incorporate into larger cryptographic systems. Lest quantum
cryptographers begin to feel too smug, I discuss the fact that current
implementations of quantum key distribution are only technologically secure,
and not ""unconditionally"" secure as is sometimes claimed. I next examine the
concept of a secure lab from a physical perspective, and end by making some
observations about the cryptographic significance of the (often overlooked)
necessity for parties who wish to communicate having established physical
reference frames.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:37:18 GMT""}]","2007-05-23"
"quant-ph/0202144","Robert R. Tucci","Robert R.Tucci","Entanglement of Distillation and Conditional Mutual Information","10 pages (files: 1 .tex, 2 .sty, 3 .eps)",,,,"quant-ph",,"  In previous papers, we expressed the Entanglement of Formation in terms of
Conditional Mutual Information (CMI). In this brief paper, we express the
Entanglement of Distillation in terms of CMI.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:30:12 GMT""},{""version"":""v2"",""created"":""Mon, 25 Feb 2002 21:02:51 GMT""}]","2007-05-23"
"quant-ph/0202145","Boris Ivlev","B. I. Ivlev","The Euclidean resonance and quantum tunneling","21 pages and 10 figures","Phys.Rev.A66:012102,2002","10.1103/PhysRevA.66.012102",,"quant-ph",,"  The extremely small probability of tunneling through an almost classical
potential barrier may become not small under the action of the specially
adapted non-stationary signal which selects the certain particle energy E_R.
For particle energies close to this value, the tunneling rate is not small
during a finite interval of time and has a very sharp peak at the energy E_R.
After entering inside the barrier, the particle emits electromagnetic quanta
and exits the barrier with a lower energy. The signal amplitude can be much
less compared to the field of the static barrier. This phenomenon can be called
the Euclidean resonance since the under-barrier motion occurs in imaginary
time. The resonance may stimulate chemical and biochemical reactions in a
selective way by adapting the signal to a certain particular chemical bond. The
resonance may be used in search of the soft alpha-decay for which a
conventional observation is impossible due to an extremely small decay rate.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 22:18:17 GMT""}]","2009-02-05"
