"astro-ph/0211036","Vishwakarma R. G.","J.V. Narlikar, R.G. Vishwakarma, Amir Hajian, Tarun Souradeep, G.
  Burbidge and F. Hoyle","Inhomogeneities in the Microwave Background Radiation interpreted within
  the framework of the Quasi-Steady State Cosmology","27 pages, including 5 figures; to appear in Astrophys. J","Astrophys.J. 585 (2003) 1-11","10.1086/345928",,"astro-ph gr-qc hep-th",,"  We calculate the expected angular power spectrum of the temperature
fluctuations in the microwave background radiation (MBR) generated in the
quasi-steady state cosmology (QSSC). The paper begins with a brief description
of how the background is produced and thermalized in the QSSC. We then discuss
within the framework of a simple model, the likely sources of fluctuations in
the background due to astrophysical and cosmological causes. Power spectrum
peaks at $l \approx 6-10$, 180-220 and 600-900 are shown to be related in this
cosmology respectively to curvature effects at the last minimum of the scale
factor, clusters and groups of galaxies. The effect of clusters is shown to be
related to their distribution in space as indicated by a toy model of structure
formation in the QSSC. We derive and parameterize the angular power spectrum
using six parameters related to the sources of temperature fluctuations at
three characteristic scales. We are able to obtain a satisfactory fit to the
observational band power estimates of MBR temperature fluctuation spectrum.
Moreover, the values of `best fit' parameters are consistent with the range of
expected values.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 04:41:55 GMT""}]","2009-11-07"
"hep-lat/0211005","Alex Kovner","A. Kovner, M. Lavelle and D. McMullan (Plymouth)","On Nonexistence of Magnetic Charge in Pure Yang-Mills Theories","Some references and comments added","JHEP 0212:045,2002","10.1088/1126-6708/2002/12/045",,"hep-lat hep-th",,"  We prove that magnetic charge does not exist as a physical observable on the
physical Hilbert space of the pure SU(2) gauge theory. The abelian magnetic
monopoles seen in lattice simulations are then interpreted as artifacts of
gauge fixing. The apparent physical scaling properties of the monopole density
in the continuum limit observed on the lattice are attributed to the correct
scaling properties of physical objects - magnetic vortices, as first argued by
Greensite et. al. We can show that a local gauge transformation of a certain
type can "" create"" abelian monopole-antimonopole pairs along magnetic vortices.
This gauge transformation exists in pure SU(N) gauge theory at any $N$.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:54:45 GMT""},{""version"":""v2"",""created"":""Fri, 29 Nov 2002 10:11:01 GMT""}]","2009-11-07"
"hep-ph/0211021","Valeri V. Kiselev","V.V.Kiselev","Exclusive Decays and Lifetime of B_c Meson in QCD sum rules","15 pages, ReVTeX4, 6 eps-figures, interference contribution and
  cc-bar(2S) yield corrected",,,,"hep-ph",,"  We summarize theoretical calculations of B_c decays and lifetime in the
framework of QCD sum rules and compare the results with the estimates by the
methods of Operator Product Expansion in the inverse heavy quark masses as well
as of potential quark models. The agreement of estimates in the various
approaches is discussed. The features of B_c decay modes are considered.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:42:29 GMT""},{""version"":""v2"",""created"":""Fri, 7 Feb 2003 09:13:11 GMT""}]","2007-05-23"
"hep-ph/0211027","Oleg Teryaev","O.V. Teryaev","Spin-dependent, interference and $T-$odd fragmentation and fracture
  functions","6 Pages, Presented at DIS2002, Krak\'ow, 30.4.--4.5.2002","Acta Phys.Polon. B33 (2002) 3749",,,"hep-ph",,"  Fracture functions, originally suggested to describe the production of
diffractive and leading hadrons in semi-inclusive DIS, may be also applied at
fixed target energies. They may also include interference and final state
interaction, providing a source for azimuthal asymmetries at HERMES and
(especially) $\Lambda$ polarization at NOMAD. The recent papers by Brodsky,
Hwang and Schmidt, and by Gluck and Reya, may be understood in terms of
fracture functions.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 16:02:37 GMT""},{""version"":""v2"",""created"":""Mon, 11 Nov 2002 17:11:47 GMT""}]","2007-05-23"
"hep-ph/0211029","masayuki Uehara","M. Uehara","Scalar Dipion States Produced in Heavy Quarkonium Decays and the Final
  State Interaction","12pages with 5 eps figs","Prog.Theor.Phys.109:265-277,2003","10.1143/PTP.109.265",,"hep-ph",,"  We study phenomenologically the invariant mass spectra of scalar dipion
states produced in cascade decays of excited $\Upsilon$ and $\psi$, and
$J/\psi$ decays into light vector meson. Dipion production amplitude is given
as a product of the Born term and an effective scalar form factor written in
terms of a unitarized chiral theory. The model reproduces the experimental mass
spectra very well.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 01:55:42 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jan 2003 01:51:20 GMT""}]","2011-07-19"
"hep-ph/0211030","Sergey Troshin","S. M. Troshin, N. E. Tyurin","Multiparticle production in the model with antishadowing","11 pages, 3 figures, extended version of the talk at the XXXII
  International Symposium on Multiparticle Dynamics September 7-13, 2002
  Alushta, Crimea, Ukraine","J.Phys.G29:1061-1068,2003","10.1088/0954-3899/29/6/309",,"hep-ph",,"  We discuss the role of absorbtion and antishadowing in particle production.
We reproduce power-like energy behavior of the mean multiplicity in the model
with antishadowing and discuss physical implications of such behavior for the
hadron structure.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 07:23:52 GMT""}]","2008-11-26"
"hep-ph/0211031","R. A. Schneider","R. A. Schneider, T. Renk, M. Thaler, A. Polleri, W. Weise","Probing the QCD Equation of State","6 pages, 8 figures. Invited talk presented by R. A. Schneider at the
  XVI International Conference on Particles and Nuclei (PANIC02), Osaka, Japan,
  September 30 - October 4, 2002","Nucl.Phys. A721 (2003) 243-248","10.1016/S0375-9474(03)01041-8","TUM/T39-02-20","hep-ph",,"  We propose a novel quasiparticle interpretation of the equation of state of
deconfined QCD at finite temperature. Using appropriate thermal masses, we
introduce a phenomenological parametrisation of the onset of confinement in the
vicinity of the phase transition. Lattice results of bulk thermodynamic
quantities are well reproduced, the extension to small quark chemical potential
is also successful. We then apply the model to dilepton production and charm
suppression in ultrarelativistic heavy-ion collisions.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:56:32 GMT""}]","2009-11-07"
"hep-ph/0211032","Simon Hands","Simon Hands and David N. Walters","A BCS Condensate in NJL_3+1 ?","5 pages, 3 figures, contribution to Strong and Electroweak Matter '02
  (Heidelberg)",,"10.1142/9789812704498_0029","SWAT/02/358","hep-ph",,"  We present results from a lattice Monte Carlo study of the Nambu -
Jona-Lasinio model in 3+1 dimensions with a baryon chemical potential mu=/=0.
As mu is increased there is a transition from a chirally-broken phase to
relativistic quark matter, in which baryon number symmetry appears
spontaneously broken by a diquark condensate at the Fermi surface, implying a
superfluid ground state. Finite volume corrections to this relativistic BCS
scenario, however, are anomalously large.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:41:23 GMT""}]","2017-08-23"
"hep-ph/0211033","Hans Volker Klapdor-Kleingrothaus","H.V. Klapdor-Kleingrothaus (MPI-Kernphysik, Heidelberg, GERMANY)","Search for Neutrino Mass and Dark Matter in Underground Experiments","20 pages, revtex, 19 figures, Talk was presented at International
  Sixth School ""Non-Accelerator Astroparticle Physics"", ICTP, Trieste, Italy,
  9-20 July 2001, eds. R.A. Carrigan et al., pp. 148-174, World Scientific,
  2002, Home Page of Heidelberg Non-Accelerator Particle Physics Group:
  http://www.mpi-hd.mpg.de/non_acc/",,"10.1142/9789812777492_0009",,"hep-ph",,"  Search for the neutrino mass and for cold dark matter in the Universe are at
present two of the most exciting fields of particle physics and cosmology. This
lecture will restrict itself on the search for neutralinos as cold dark matter,
and for the absolute scale of the masses of neutrinos, which are the favoured
hot dark matter candidates.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:52:01 GMT""}]","2017-08-23"
"hep-ph/0211034","Nobuhiro Maekawa","Nobuhiro Maekawa","Grand Unification with Anomalous U(1) Symmetry","10 pages, Talk presented at SUSY2002 held at DESY, Humburg(Germany),
  Jun. 17-23 2002",,,"KUNS-1811","hep-ph",,"  In this talk, we introduce a new scenario of grand unified theory (GUT) with
anomalous $U(1)_A$ gauge symmetry. Since generic interactions (including
non-renormalizable interactions) are introduced, once we fix the symmetry of
the theory, we can define the theory without O(1) coefficients. The number of
parameters to determine the symmetry is just 11 or 12 integer parameters which
are anomalous $U(1)_A$ charges(integer) for introduced multiplets. It is
surprising that the GUT scenario can explain doublet-triplet splitting, quark
and lepton masses and mixing angles. In neutrino sector, the scenario realizes
LMA solution for solar neutrino problem and large $U_{e3}=O(0.1)$. Moreover,
the scenario predicts that the unification scale becomes smaller than the usual
GUT scale, namely proton decay via dimension 6 operators may be seen in future
experiments. This talk is based on the
papers\cite{maekawa,maekawa2,maekawa3,BM,MY}.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:59:41 GMT""}]","2007-05-23"
"hep-ph/0211035","Matthias Steinhauser","M. Steinhauser","$\sigma(e^+e^-\to{hadrons})$ and the Heavy Quark Masses","5 pages, talk presented at RADCOR/Loops and Legs 2002","Nucl.Phys.Proc.Suppl.116:58-62,2003","10.1016/S0920-5632(03)80144-5",,"hep-ph",,"  The precise data for the total cross section $\sigma(e^+e^-\to{hadrons})$
from the charm threshold region, when combined with the evaluation of moments
with three loop accuracy, lead to a direct determination of the short distance
$\bar{\rm MS}$ charm quark mass $m_c(m_c)=1.304(27)$. Applying the same
approach to the bottom quark we obtain $m_b(m_b)=4.191(51)$ GeV. A
complementary method for the determination of $m_b$ is based of the analysis of
the $\Upsilon(1S)$ system which is confronted with a
next-to-next-to-next-to-leading order calculation of the corresponding energy
level. This leads to $m_b(m_b)=4.346(70)$ GeV.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:54:08 GMT""}]","2011-01-25"
"hep-ph/0211036","Francois Gelis","P. Aurenche (LAPTH, Annecy), F. Gelis (SPhT, Saclay), G.D. Moore
  (McGill University), H. Zaraket (Winnipeg University)","Landau-Pomeranchuk-Migdal resummation for dilepton production","19 pages, 7 postscript figures, test program available at
  http://www-spht.cea.fr/articles/T02/150/libLPM/","JHEP 0212 (2002) 006","10.1088/1126-6708/2002/12/006","SPhT-T02/150, LAPTH-946/02","hep-ph",,"  We consider the thermal emission rate of dileptons from a QCD plasma in the
small invariant mass ($Q^2 \sim \gs^2 T^2$) but large energy ($q^0 \gsim T$)
range. We derive an integral equation which resums multiple scatterings to
include the LPM effect; it is valid at leading order in the coupling. Then we
recast it as a differential equation and show a simple algorithm for its
solution. We present results for dilepton rates at phenomenologically
interesting energies and invariant masses.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:00:12 GMT""}]","2009-11-07"
"hep-ph/0211037","Hans Volker Klapdor-Kleingrothaus","H.V. Klapdor-Kleingrothaus (MPI-Kernphysik, Heidelberg, GERMANY)","Neutrinoless Double Beta Decay and the Neutrino Mass Matrix","18 pages, revtex, 15 figures, Talk was presented at International
  Conference on Flavor Physics (ICFP2001), 31 May - 6 June, 2001,
  Zhang-Jia-Jie, China, Ed. by Yue-Liang Wu (ITP CAS), pp. 93-110, World
  Scientific 2002, Home Page of Heidelberg Non-Accelerator Particle Physics
  Group: http://www.mpi-hd.mpg.de/non_acc/",,"10.1142/9789812777379_0009",,"hep-ph",,"  Double beta decay is indispensable to solve the question of the neutrino mass
matrix together with $\nu$ oscillation experiments. Recent analysis of the most
sensitive experiment since eight years - the HEIDELBERG-MOSCOW experiment in
Gran-Sasso - yields evidence for the neutrinoless decay mode. This result is
the first evidence for lepton number violation and proves the neutrino to be a
Majorana particle. We give the present status of the analysis in these
Proceedings. It excludes several of the neutrino mass scenarios allowed from
present neutrino oscillation experiments - essentially only degenerate and
partially degenerate mass scenarios survive. This result allows neutrinos to
still play an important role as dark matter in the Universe. To improve the
present result, considerably enlarged experiments are required, such as GENIUS.
A GENIUS Test Facility has just been funded and will come into operation by end
of 2002.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:02:09 GMT""}]","2017-08-23"
"hep-ph/0211038","Yannis K. Semertzidis","Yannis K. Semertzidis","Measurement of the Muon Anomalous Magnetic Moment to 0.7 ppm","12 pages, 20 figures. Proceedings of my plenary talk at ICHEP02,
  Amsterdam, 31 July 2002","Nucl.Phys.Proc.Suppl. 117 (2003) 373-384","10.1016/S0920-5632(03)01428-2",,"hep-ph",,"  The experimental method together with the analysis method and results of the
data taken in 2000 and prospects of the muon anomalous magnetic and electric
dipole moment experiments are presented here.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:52:01 GMT""}]","2015-06-25"
"hep-th/0211011","Skenderis Kostas","Kostas Skenderis and Marika Taylor","Open strings in the plane wave background I: Quantization and symmetries","52 pages (40 pages + appendices), v3: NPB version","Nucl.Phys. B665 (2003) 3-48","10.1016/S0550-3213(03)00483-8","SPIN-2002/31, ITF-2002/51, PUPT-2056","hep-th",,"  We systematically investigate open strings in the plane wave background of
type IIB string theory. We carefully analyze possible boundary conditions for
open strings and find static as well as time-dependent branes. The branes fall
into equivalence classes depending on whether they are related by the action of
target space isometries. In particular static branes localized at the origin of
transverse space and certain time-dependent branes fall into the same
equivalence class. We analyze thoroughly the symmetries of all branes we
discuss. Apart from symmetries descending from target space isometries, the
worldsheet action being free admits a countably infinite number of other global
worldsheet symmetries. We find that one can use such worldsheet symmetries to
restore seemingly broken target space symmetries. In particular, we show that
D-branes localized at arbitrary constant positions which were thought to be 1/4
supersymmetric in fact have sixteen supercharges whilst D-branes which were
thought to be non-supersymmetric have eight supercharges. We discuss in detail
the quantization in all cases.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 02:07:32 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 2002 16:42:08 GMT""},{""version"":""v3"",""created"":""Sun, 15 Jun 2003 19:22:02 GMT""}]","2010-04-05"
"hep-th/0211013","Carlos Barcelo","Carlos Barcelo, Roy Maartens, Carlos F. Sopuerta and Fermin Viniegra","Stacking a 4D geometry into an Einstein-Gauss-Bonnet bulk","8 pages, no figures; some references added and other minor
  modifications to match the PRD accepted version","Phys.Rev.D67:064023,2003","10.1103/PhysRevD.67.064023",,"hep-th gr-qc",,"  In Einstein gravity there is a simple procedure to build D-dimensional
spacetimes starting from (D-1)-dimensional ones, by stacking any
(D-1)-dimensional Ricci-flat metric into the extra-dimension. We analyze this
procedure in the context of Einstein-Gauss-Bonnet gravity, and find that it can
only be applied to metrics with a constant Krestschmann scalar. For instance,
we show that solutions of the black-string type are not allowed in this
framework.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:15:42 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 2003 10:34:14 GMT""}]","2014-11-18"
"hep-th/0211014","Ellwanger","U. Ellwanger, N. Wschebor","Confinement and Mass Gap in Abelian Gauge","Explanations added, to appear in Eur. Phys. J. C","Eur.Phys.J.C28:415-424,2003","10.1140/epjc/s2003-01170-0","LPT Orsay 02-72","hep-th",,"  First, we present a simple confining abelian pure gauge theory. Classically,
its kinetic term is not positive definite, and it contains a simple UV
regularized F^4 interaction. This provoques the formation of a condensate ~ F^2
such that, at the saddle point of the effective potential, the wave function
normalization constant of the abelian gauge fields vanishes exactly. Then we
study SU(2) pure Yang-Mills theory in an abelian gauge and introduce an
additional auxiliary field for a BRST invariant condensate of dimension 2,
which renders the charged sector massive. Under simple assumptions its
effective low energy theory reduces to the confining abelian model discussed
before, and the vev of rho is seen to scale correctly with the renormalization
point. Under these assumptions, the confinement condition Z_eff = 0 also holds
for the massive charged sector, which suppresses the couplings of the charged
fields to the abelian gauge bosons in the infrared regime.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:39:09 GMT""},{""version"":""v2"",""created"":""Tue, 11 Feb 2003 09:27:34 GMT""}]","2011-09-13"
"hep-th/0211015","Hongwei Xiong","Hongwei Xiong, Shujuan Liu","Wave function of string and membrane and spacetime geometry","Revtex, 7 pages, hongweixiong@hotmail.com",,,,"hep-th",,"  A first-quantized string (and membrane) theory is developed here by using a
general wave function of the string (and membrane), analogously to the
first-quantized quantum theory of a point particle. From the general wave
function of the string (and membrane), the properties of the string (and
membrane) such as its relation to Bosons, Fermions and spacetime are
investigated. The string and membrane wave functions are found to be very
useful and we can deduce Klein-Gordon equation, Dirac equation and the
fundamental property of the spacetime from this new starting point.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:44:43 GMT""},{""version"":""v2"",""created"":""Mon, 18 Nov 2002 04:58:42 GMT""}]","2007-05-23"
"hep-th/0211016","Steven Corley","Steven Corley and David A. Lowe","Probing the Enhancon via Calculations in Supersymmetric Gauge Theory","20 pages, 2 figures, minor corrections","Nucl.Phys. B653 (2003) 45-63","10.1016/S0550-3213(03)00033-6","BROWN-HET-1313","hep-th",,"  We consider the N=2 gauge theory on N D7-branes wrapping K3, with D3-brane
probes. In the large N limit, the D7-branes blow up to form an enhancon shell.
We probe the region inside and outside the enhancon shell using the D3-branes,
and compute the probe metric using the Seiberg-Witten formalism. Supergravity
arguments suggest a flat interior up to 1/N corrections, and indeed our results
for the D3-brane probes are consistent with that. By including the dynamics of
the branes, these results, together with those of hep-th/0204050, demonstrate
the robustness of the enhancon mechanism beyond patching together of
supergravity solutions with D-brane source junction conditions.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:56:08 GMT""},{""version"":""v2"",""created"":""Mon, 18 Nov 2002 16:35:46 GMT""}]","2009-11-07"
"math-ph/0211005","Geometry and Topology Seminar","A.E. Mironov","Real Commuting Differential Operators Connected with Two-Dimensional
  Abelian Varieties","LaTeX, 24 pages","Siberian Math. J., Vol. 43 (2002), N. 1, 97--113",,,"math-ph math.AG math.MP",,"  We indicate smooth real commuting matrix differential operators whose
eigenvalues and eigenfunctions are parametrized by two-dimensional principally
polarized abelian varieties.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:12:13 GMT""}]","2007-05-23"
"math-ph/0211006","Geometry and Topology Seminar","A.E. Mironov","Commutative Rings of Differential Operators Corresponding to
  Multidimensional Algebraic Varieties","LaTeX, 16 pages","Siberian Math. J., Vol. 43 (2002), N. 5, 888--898",,,"math-ph math.AG math.MP",,"  We construct new examples of multidimensional commuting matrix differential
operators and a multidimensional analog of the Kadomtsev--Petviashvili
hierarchy.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:24:52 GMT""}]","2007-05-23"
"math/0211029","Steven Lu","Steven S. Y. Lu","A refined Kodaira dimension and its canonical fibration","Some additional theorems and remarks added and corrections made",,,,"math.AG math.CV math.DG",,"  Given a (meromorphic) fibration $f:X\to Y$ where $X$ and $Y$ are compact
complex manifolds of dimensions $n$ and $m$, we define $L_f$ to be the
invertible subsheaf of the sheaf of holomorphic $m$-forms of $X$ given by the
saturation of $f^*K_Y$, where $K_Y$ is the canonical sheaf of $Y$. We define
the Kodaira dimension of the orbifold base $(Y,f)$ by that of $L_f$ and call
the fibration to be of general type if this dimension is the maximal $\dime Y$.
We call $X$ special if it does not have a general type fibration with positive
dimensional base and call $f$ special if its general fibers are. We note that
Iitaka and rationally connected fibrations are special. Our main theorem is
that any compact complex $X$ has a special fibration of general type which
dominates any fibration of general type and factors through any special
fibration of general type from $X$ in the birational category, thus unique in
this category. Also, the fibration has positive dimensional fibers if $X$ is
not of general type thus resolving a problem in Mori's program for varieties
with negative Kodaira dimension. Our main theorem is stated in the full
orbifold context of log pairs as in Mori's program via which we give an
application to the Albanese map of projective manifolds with nef anticanonical
bundle a part of which was derived using positive charateristic techniques by
Qi Zhang.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:03:48 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 2002 18:48:40 GMT""},{""version"":""v3"",""created"":""Thu, 28 Nov 2002 20:56:45 GMT""}]","2007-05-23"
"math/0211036","Vadim E. Levit","Vadim E. Levit and Eugen Mandrescu (Holon Academic Institute of
  Technology)","On Unimodality of Independence Polynomials of some Well-Covered Trees","A preliminary version of this paper was presented at Second Haifa
  Workshop on Interdisciplinary Applications, of Graph Theory, Combinatorics
  and Algorithms June 17-20, 2002. 21 pages, 15 figures",,,,"math.CO",,"  The number of stable sets of cardinality $k$ in graph $G$ is the $k$-th
coefficient of the independence polynomial of $G$ (I. Gutman and F. Harary,
1983). In 1990, Y. O. Hamidoune proved that for any claw-free graph, its
independence polynomial is unimodal, i.e., there exists a coefficient $k$ such
that the part of the sequence of coefficients from the first to $k$-th is
non-decreasing while the second part of coefficients is non-increasing.
  Y. Alavi, P. J. Malde, A. J. Schwenk and P. Erd\""{o}s (1987) asked whether
for trees (or perhaps forests) the independence polynomial is unimodal. J. I.
Brown, K. Dilcher and R. J. Nowakowski (2000) conjectured that it is true for
any well-covered graph (a graph whose all maximal independent sets have the
same size). V. E. Levit and E. Mandrescu (1999) demonstrated that every
well-covered tree can be obtained as a join of a number of well-covered
spiders, where a spider is a tree having at most one vertex of degree at least
three.
  In this paper we show that the independence polynomial of any well-covered
spider is unimodal. In addition, we introduce some graph transformations
respecting independence polynomials. They allow us to reduce several types of
well-covered trees to claw-free graphs, and, consequently, to prove that their
independence polynomials are unimodal.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 18:53:54 GMT""}]","2007-05-23"
"math/0211037","Volodymyr Lyubashenko","Volodymyr Lyubashenko and Sergiy Ovsienko","A construction of quotient A_infinity-categories","49 pages, LaTeX, uses Paul Taylor's diagrams.tex. Close to published
  version","Homology, Homotopy and Applications 8 (2006) n. 2, 157-203",,,"math.CT math.KT math.QA",,"  We construct an A_infinity-category D(C|B) from a given A_infinity-category C
and its full subcategory B. The construction is similar to a particular case of
Drinfeld's quotient of differential graded categories. We use D(C|B) to
construct an A_infinity-functor of K-injective resolutions of a complex. The
conventional derived category is obtained as the 0-th cohomology of the
quotient of differential graded category of complexes over acyclic complexes.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 18:57:43 GMT""},{""version"":""v2"",""created"":""Fri, 3 Jan 2003 05:13:44 GMT""},{""version"":""v3"",""created"":""Wed, 29 Oct 2003 14:49:51 GMT""},{""version"":""v4"",""created"":""Wed, 18 Oct 2006 15:23:47 GMT""},{""version"":""v5"",""created"":""Fri, 15 Feb 2008 15:36:11 GMT""}]","2008-02-15"
"math/0211038","Claus Bauer","Claus Bauer","A remark on a theorem of the Goldbach Waring type",,,,,"math.NT",,"  Is is shown that all but O(x^{23207/23240}) even integers N<x can be written
as the sum of a square, a cube, a forth and a fifth power of a prime.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 03:09:55 GMT""}]","2007-05-23"
"math/0211039","Carolyn S. Gordon","Carolyn Gordon and Peter Perry","Continuous Families of Isophasal Scattering Manifolds","19 pages",,,,"math.DG math.SP",,"  We construct continuous families of scattering manifolds with the same
scattering phase. The manifolds are compactly supported metric perturbations of
Euclidean $\mathbf{R}^{n}$ for $n\geq8$. The metric perturbation may have
arbitrarily small support.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 03:27:15 GMT""}]","2007-05-23"
"math/0211040","Gluesing-Luerssen","H. Gluesing-Luerssen and W. Schmale","On cyclic convolutional codes","50 pages",,,,"math.RA cs.IT math.CO math.IT",,"  We investigate the notion of cyclicity for convolutional codes as it has been
introduced by Piret and Roos in the seventies. Codes of this type are described
as submodules of the module of all vector polynomials in one variable with some
additional generalized cyclic structure but also as specific left ideals in a
skew polynomial ring. Extending a result of Piret, we show in a purely
algebraic setting that these ideals are always principal. This leads to the
notion of a generator polynomial just like for cyclic block codes. Similarly a
control polynomial can be introduced by considering the right annihilator
ideal. An algorithmic procedure is developed which produces unique reduced
generator and control polynomials. We also show how basic code properties and a
minimal generator matrix can be read off from these objects. A close link
between polynomial and vector description of the codes is provided by certain
generalized circulant matrices.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:10:54 GMT""}]","2007-07-16"
"math/0211041","Laurent Guillope","Laurent Guillope, Kevin K. Lin, Maciej Zworski","The Selberg zeta function for convex co-compact Schottky groups",,"Communications in Mathematical Physics 245 (2004) 149-176","10.1007/s00220-003-1007-1",,"math.DG math-ph math.MP math.SP",,"  We give a new upper bound on the Selberg zeta function for a convex
co-compact Schottky group acting on $ {\mathbb H}^{n+1}$: in strips parallel to
the imaginary axis the zeta function is bounded by $ \exp (C |s|^\delta) $
where $ \delta $ is the dimension of the limit set of the group. This bound is
more precise than the optimal global bound $ \exp (C |s|^{n+1}) $, and it gives
new bounds on the number of resonances (scattering poles) of $ \Gamma
\backslash {\mathbb H}^{n+1} $. The proof of this result is based on the
application of holomorphic $ L^2$-techniques to the study of the determinants
of the Ruelle transfer operators and on the quasi-self-similarity of limit
sets. We also study this problem numerically and provide evidence that the
bound may be optimal. Our motivation comes from molecular dynamics and we
consider $ \Gamma \backslash {\mathbb H}^{n+1} $ as the simplest model of
quantum chaotic scattering. The proof of this result is based on the
application of holomorphic $L^2$-techniques to the study of the determinants of
the Ruelle transfer operators and on the quasi-self-similarity of limit sets.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:44:15 GMT""}]","2009-09-29"
"math/0211042","Marc Chardin","Marc Chardin, Bernd Ulrich","Liaison and Castelnuovo-Mumford regularity","19 pages. To appear in ""American Journal of Mathematics""",,,,"math.AC math.AG",,"  In this article we establish bounds for the Castelnuovo-Mumford regularity of
projective schemes in terms of the degrees of their defining equations. The
main new ingredient in our proof is to show that generic residual intersections
of complete intersection rational singularities again have rational
singularities. When applied to the theory of residual intersections this circle
of ideas also sheds new light on some known classes of free resolutions of
residual ideals.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:19:36 GMT""}]","2007-05-23"
"math/0211043","David Kerr","David Kerr","Dimension and dynamical entropy for metrized C*-algebras","To appear in Commun. Math. Phys., 33 pages",,"10.1007/s00220-002-0741-0",,"math.OA math.MG",,"  We introduce notions of dimension and dynamical entropy for unital
C*-algebras ``metrized'' by means of c-Lip-norms, which are complex-scalar
versions of the Lip-norms constitutive of Rieffel's compact quantum metric
spaces. Our examples involve UHF algebras and noncommutative tori. In
particular we show that the entropy of a noncommutative toral automorphism with
respect to the canonical c-Lip-norm coincides with the topological entropy of
its commutative analogue.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:45:07 GMT""}]","2009-11-07"
"math/0211044","Kazuo Habiro","Kazuo Habiro","On the quantum sl_2 invariants of knots and integral homology spheres","Published by Geometry and Topology Monographs at
  http://www.maths.warwick.ac.uk/gt/GTMon4/paper5.abs.html","Geom. Topol. Monogr. 4 (2002) 55-68",,,"math.GT math.QA",,"  We will announce some results on the values of quantum sl_2 invariants of
knots and integral homology spheres. Lawrence's universal sl_2 invariant of
knots takes values in a fairly small subalgebra of the center of the h-adic
version of the quantized enveloping algebra of sl_2. This implies an
integrality result on the colored Jones polynomials of a knot. We define an
invariant of integral homology spheres with values in a completion of the
Laurent polynomial ring of one variable over the integers which specializes at
roots of unity to the Witten-Reshetikhin-Turaev invariants. The definition of
our invariant provides a new definition of Witten-Reshetikhin-Turaev invariant
of integral homology spheres.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:23:57 GMT""}]","2007-05-23"
