"astro-ph/0211626",,"Daniela Carturan, Fabio Finelli","Cosmological Effects of a Class of Fluid Dark Energy Models","4 pages, 6 figures","Phys.Rev. D68 (2003) 103501","10.1103/PhysRevD.68.103501",,"astro-ph gr-qc hep-ph hep-th",,"  We study the impact of a generalized Chaplygin gas as a candidate for dark
energy on CMB anisotropies. The generalized Chaplygin gas is a fluid component
with an exotic equation of state, $p = - A/\rho^\alpha$ (a polytropic gas with
negative constant and exponent). Such component interpolates in time between
dust and a cosmological constant, with an intermediate behaviour as $p=\alpha
\rho$. Perturbations of this fluid are stable on small scales, but behave in a
very different way with respect to standard quintessence. Moreover, a
generalized Chaplygin gas could also represent an archetypal example of a
phenomenological unified models of dark energy and dark matter. The results
presented here show how the CMB anisotropies induced by this class of models
differ from a $\Lambda$CDM model.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:25:34 GMT""}]","2009-11-07"
"cond-mat/0211693","Ingolf Dahl","Ingolf Dahl","Ferroelectricity, SSFLC, bistability and all that","46 pages, 8 figures, review of book ""Ferroelectric and
  Antiferroelectric Liquid Crystals"" by Sven T. Lagerwall and related work",,,,"cond-mat.soft cond-mat.mtrl-sci",,"  In the book ""Ferroelectric and Antiferroelectric Liquid Crystals"" by S. T.
Lagerwall, the concept ""polar liquid crystals"" is proposed for the concept
earlier known as ""ferroelectric liquid crystals"", reserving the word
""ferroelectric liquid crystals"" for the case of ""surface stabilization"". Thus
Lagerwall in this way, by redefinition, becomes the coinventor of
""ferroelectric liquid crystals"". The trouble is that a closer look on the
invention reveals a state of bad logic and a total confusion. The concepts
""polar"", ""ferroelectric"", ""hysteresis"", ""SSFLC"" and ""bistability"" are essential
in the writing of Lagerwall, but these words are not used in a rigorous way.
Also the pictorial evidence used by Lagerwall to illustrate the discovery of
surface stabilized liquid crystals raises several questions. An alternative
view of the physics of SSFLC cells is presented.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:30:38 GMT""}]","2007-05-23"
"cond-mat/0211694","Manuel Valin-Rodriguez","Manuel Valin-Rodriguez, Antonio Puente and Llorens Serra","Spin-Orbit induced semiconductor spin guides","4 pages, 4 figures. e-mail contact: vdfsmvr4@clust.uib.es, to appear
  in Nanotechnology (2003)","Nanotechnology 14, 882-885 (2003)","10.1088/0957-4484/14/8/308",,"cond-mat.mes-hall",,"  The tunability of the Rashba spin-orbit coupling allows to build
semiconductor heterostructures with space modulated coupling intensities. We
show that a wire-shaped spin-orbit modulation in a quantum well can support
propagating electronic states inside the wire only for a certain spin
orientation and, therefore, it acts as an effective spin transmission guide for
this particular spin orientation.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:17:58 GMT""}]","2009-11-07"
"cond-mat/0211695","A. Lefevre","R. Cherrier, D. S. Dean and A. Lef\`evre","The role of the interaction matrix in mean-field spin glasses","14 pages, 4 figures","Phys. Rev. E 67, 046112 (2003)","10.1103/PhysRevE.67.046112",,"cond-mat.dis-nn cond-mat.stat-mech",,"  Mean-field models of 2-spin Ising spin glasses with interaction matrices
taken from ensembles which are invariant under O(N) transformations are
studied. A general study shows that the nature of the spin glass transition can
be deduced from the eigenvalue spectrum of the interaction matrix. A simple
replica approach is derived to carry out the average over the O(N) disorder.
The analytic results are confirmed by extensive Monte Carlo simulations for
large system sizes and by exact enumeration for small system sizes.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:45:31 GMT""}]","2009-11-07"
"cond-mat/0211696","Tamas Unger","Tamas Unger, Janos Kertesz","The contact dynamics method for granular media","for the proceedings of the 7th Granada Seminar, 23 pages, 8 figures",,"10.1063/1.1571300",,"cond-mat.soft cond-mat.stat-mech",,"  In this paper we review the simulation method of the non-smooth contact
dynamics. This technique was designed to solve the unilateral and frictional
contact problem for a large number of rigid bodies and has proved to be
especially valuable in research of dense granular materials during the last
decade. We present here the basic principles compared to other methods and the
detailed description of a 3D algorithm. We point out an artifact manifesting
itself in spurious sound waves and discuss the applicability of the method.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:49:29 GMT""}]","2009-11-07"
"cond-mat/0211697","Kevin Edmonds","K.Y. Wang, K.W. Edmonds, R.P. Campion, L.X. Zhao, A.C. Neumann, C.T.
  Foxon, B.L. Gallagher, and P.C. Main","Anisotropic Magnetoresistance in GaMnAs films","Presented at ICPS-26, July 2002",,,,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  The magnetoresistance in a series of Ga1-xMnxAs samples with 0.2 =< x =< 0.8
have been measured for three mutually orthogonal orientations of the external
magnetic field. The anisotropy magnetoresistance decreases with increasing of
the Mn content, which means that the magnetic disorder or defects scattering
increases with increasing of Mn content. And also the magneto-crystalline
anisotropy increases with increasing of Mn concentration.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:19:45 GMT""}]","2007-05-23"
"cond-mat/0211698","Kevin Edmonds","RP Campion, KW Edmonds, LX Zhao, KY Wang, CT Foxon, BL Gallagher, CR
  Staddon","High quality GaMnAs films grown with As dimers","8 pages, accepted for publication in J. Crystal Growth",,"10.1016/S0022-0248(02)01939-5",,"cond-mat.mtrl-sci",,"  We demonstrate that GaMnAs films grown with As2 have excellent structural,
electrical and magnetic properties, comparable or better than similar films
grown with As4. Using As2, a Curie temperature of 112K has been achieved, which
is slightly higher than the best reported to date. More significantly, films
showing metallic conduction have been obtained over a much wider range of Mn
concentrations (from 1.5% to 8%) than has been reported for films grown with
As4. The improved properties of the films grown with As2 are related to the
lower concentration of antisite defects at the low growth temperatures
employed.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:30:09 GMT""}]","2009-11-07"
"cond-mat/0211699","Naoto Nagaosa","Patrick A. Lee and Naoto Nagaosa","New Collective Modes in the Superconducting Ground States in the Gauge
  Theory Description of the Cuprates","14 figures. accepted by PRB",,"10.1103/PhysRevB.68.024516",,"cond-mat.str-el",,"  In the slave boson mean field treatment of the t-J model, the ground state
for small doping is a d-wave superconductor. A conventional superconductor has
collective modes associated with the amplitude and phase of the pairing order
parameter. Here, the hopping matrix element $\chi_{ij}$ is also a mean field
order parameter. We therefore expect that new collective modes will be
introduced with these additional complex degrees of freedom. We compute the new
collective modes and their spectral functions by numerically diagonalizing the
matrix which describes the fluctuations about the mean field solution. We also
show that the SU(2) gauge theory formulation allows us to predict and classify
these collective modes. Indeed, the SU(2) formulation is essential in order to
avoid spurious collective modes as the doping $x$ goes to zero. The most
important new collective modes are the $\theta$ mode and the longitudinal and
transverse $\phi$ gauge modes. The $\theta$ mode corresponds to fluctuations of
the staggered flux phase and creates orbital current fluctuations. The $\phi$
gauge modes correspond to out-of-phase fluctuations of the {\em amplitudes} of
the pairing and the hopping matrix elements. We compute the neutron scattering
cross-section which couples to the $\theta$ mode and inelastic X-ray scattering
cross-section which couples to the fluctuation in the real part of $\chi_{ij}$.
In addition, we show that the latter fluctuation at $(\pi,\pi)$ may be coupled
to the buckling phonon mode in the LTO phase of LSCO and may be detected
optically. Experimental searches of these collective modes will serve as
important tests of this line of attack on the high T$_c$ problem.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 15:00:22 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 2003 10:16:58 GMT""}]","2009-11-07"
"cond-mat/0211700","Nadezhda Gribova","N. V. Gribova, V. N. Ryzhov, T. I. Schelkacheva, E. E. Tareyeva","Reflection symmetry in mean-field replica-symmetric spin glasses","6 pages, 2 figures",,"10.1016/S0375-9601(03)01059-4",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The role of reflection symmetry breaking for the character of the appearance
of replica symmetric spin glass state is investigated. We establish the
following symmetry rule for classical systems with one order parameter in the
replica symmetric mean field approximation. If in the pure system the
transition to the ordered phase is of the second order, then in the
corresponding random system the glass regime appears as a result of a phase
transition; if the transition in the pure system is of the first order, then
glass and ordered regimes grow continuously in the random system on cooling.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 15:51:00 GMT""}]","2009-11-07"
"cs/0211041","Lyubov Vassilevskaya","A.V. Averin (NSI, Moscow), L.A. Vassilevskaya (DESY, Hamburg)","An Approach to Automatic Indexing of Scientific Publications in High
  Energy Physics for Database SPIRES HEP","23 pages, 4 figures",,,"DESY L-02-02 (November 2002)","cs.IR cs.DL",,"  We introduce an approach to automatic indexing of e-prints based on a
pattern-matching technique making extensive use of an Associative Patterns
Dictionary (APD), developed by us. Entries in the APD consist of natural
language phrases with the same semantic interpretation as a set of keywords
from a controlled vocabulary. The method also allows to recognize within
e-prints formulae written in TeX notations that might also appear as keywords.
We present an automatic indexing system, AUTEX, which we have applied to
keyword index e-prints in selected areas in high energy physics (HEP) making
use of the DESY-HEPI thesaurus as a controlled vocabulary.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:33:19 GMT""}]","2007-05-23"
"cs/0211042","Leopoldo Bertossi","Leopoldo Bertossi and Camilla Schwind","Database Repairs and Analytic Tableaux","Extended version of paper appeared in Proc. FOIKS02. Submitted by
  invitation to AMAI journal. Uses packages: llncs.cls, amssymb.sty,
  parsetree.sty. 31 pages",,,,"cs.DB cs.LO",,"  In this article, we characterize in terms of analytic tableaux the repairs of
inconsistent relational databases, that is databases that do not satisfy a
given set of integrity constraints. For this purpose we provide closing and
opening criteria for branches in tableaux that are built for database instances
and their integrity constraints. We use the tableaux based characterization as
a basis for consistent query answering, that is for retrieving from the
database answers to queries that are consistent wrt the integrity constraints.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 04:28:56 GMT""}]","2007-05-23"
"gr-qc/0211100","Ettore Minguzzi","E. Caponio and E. Minguzzi","Solutions to the Lorentz force equation with fixed charge-to-mass ratio
  in globally hyperbolic spacetimes","AMS-Latex, 9 pages","J.Geom.Phys. 49 (2004) 176-186","10.1016/S0393-0440(03)00073-1",,"gr-qc",,"  We extend the classical Avez-Seifert theorem to trajectories of charged test
particles with fixed charge-to-mass ratio. In particular, given two events
x_{0} and x_{1}, with x_{1} in the chronological future of x_{0}, we find an
interval I=]-R,R[ such that for any q/m in I there is a timelike connecting
solution of the Lorentz force equation. Moreover, under the assumption that
there is no null geodesic connecting x_0 and x_1, we prove that to any value of
|q/m| there correspond at least two connecting timelike solutions which
coincide only if they are geodesics.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:41:08 GMT""},{""version"":""v2"",""created"":""Wed, 12 Feb 2003 19:22:04 GMT""}]","2007-05-23"
"gr-qc/0211101","H. Vucetich","Daniel Sudarsky, Luis Urrutia and H\'ector Vucetich","Bounds on Stringy Quantum Gravity from Low Energy Existing Data","12 pages, RevTeX. Revised version","Phys.Rev. D68 (2003) 024010","10.1103/PhysRevD.68.024010",,"gr-qc astro-ph hep-ph",,"  We show that existing low energy experiments, searching for the breaking of
local Lorentz invariance, set bounds upon string theory inspired quantum
gravity models that induce corrections to the propagation of fields. In the
D-particle recoil model we find M > 1.2 x 10^5 M_P and v < 2 x 10^{-27}c for
the mass and recoil speed of the D-particle, respectively. These bounds are
\~10^8 times stronger than the latest astrophysical bounds. These results
indicate that the stringy scenario for modified dispersion relations is as
vulnerable to these types of tests as the loop quantum gravity schemes.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 23:02:22 GMT""},{""version"":""v2"",""created"":""Mon, 24 Mar 2003 16:18:52 GMT""}]","2009-11-07"
"gr-qc/0211102","Ujjal Debnath","Ujjal Debnath and Subenoy Chakraborty","Gravitational Collapse in Higher Dimension","8 Latex pages, No figure, Revtex style","Gen.Rel.Grav. 36 (2004) 1243-1253","10.1023/B:GERG.0000022385.32666.4d",,"gr-qc",,"  Spherically symmetric inhomogeneous dust collapse has been studied in higher
dimensional space-time and appearance of naked singularity has been analyzed
both for non-marginal and marginally bound cases. It has been shown that naked
singularity is possible for any arbitrary dimension in non-marginally bound
case. For marginally bound case we have examined the radial null geodesics from
the singularity and found that naked singularity is possible upto five
dimension.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 04:10:43 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 2003 10:35:51 GMT""}]","2009-11-07"
"gr-qc/0211103","Andre Fuzfa","A. Fuzfa","Dynamics of Density Fluctuations in the
  Einstein-Yang-Mills-Maxwell-Inflaton System: I. Initial Value Problem","This paper has been withdrawn. A more complete and clearer version is
  available in gr-qc/0310032, Class. Quant. Grav. 20 (2003) 4753-4779",,,,"gr-qc",,"  This paper has been withdrawn.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 09:38:28 GMT""},{""version"":""v2"",""created"":""Wed, 5 Mar 2003 10:58:58 GMT""},{""version"":""v3"",""created"":""Mon, 6 Oct 2003 14:13:56 GMT""}]","2007-05-23"
"gr-qc/0211104","Edward Malec","Janusz Karkowski and Edward Malec","Gravitational redshifts in electromagnetic bursts occuring near
  Schwarzschild horizon","4 pages, 2 figures. To appear in the Class. Q. Grav","Class.Quant.Grav. 20 (2003) 85-92","10.1088/0264-9381/20/1/306",,"gr-qc hep-th",,"  It was suggested earlier that the gravitational redshift formula can be
invalid when the effect of the backscattering is strong. It is demonstrated
here numerically, for an exemplary electromagnetic pulse that is: i) initially
located very close to the horizon of a Schwarzschild black hole and ii)
strongly backscattered, that a mean frequency does not obey the standard
redshift formula. Redshifts appear to depend on the frequency and there
manifests a backscatter-induced blueshift in the outgoing radiation.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:06:41 GMT""}]","2017-08-23"
"gr-qc/0211105","Reinhard Prix","R. Prix, J. Novak and G.L. Comer","Stationary structure of relativistic superfluid neutron stars","5 pages, 2 figures. Conference proceedings for the 26th Spanish
  Relativity Meeting (ERE 2002), Menorca, Spain, 22-24 Sept. 2002",,,,"gr-qc astro-ph",,"  We describe recent progress in the numerical study of the structure of
rapidly rotating superfluid neutron star models in full general relativity. The
superfluid neutron star is described by a model of two interpenetrating and
interacting fluids, one representing the superfluid neutrons and the second
consisting of the remaining charged particles (protons, electrons, muons). We
consider general stationary configurations where the two fluids can have
different rotation rates around a common rotation axis. The previously
discovered existence of configurations with one fluid in a prolate shape is
confirmed.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:27:05 GMT""}]","2007-05-23"
"hep-ex/0211072","Joerg Gayler","Joerg Gayler (DESY)","Experimental approaches to low x at HERA","4 pages, talk presented at ISMD2002, Alushta, Crimea, September 2002",,"10.1142/9789812704962_0072",,"hep-ex",,"  Data are presented on the production of jets and pi^0 mesons at low Bjorken x
in a kinematic region where standard DGLAP evolution in Q^2 gives little phase
space for high p_t particle and jet production.
  The data are compared with various QCD models based on different treatments
of parton emissions at small x.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 09:10:41 GMT""}]","2017-08-23"
"hep-lat/0211042","Martin Hasenbusch","M. Hasenbusch and K. Jansen","Speeding up Lattice QCD simulations with clover-improved Wilson Fermions","26 pages, 2 figures","Nucl.Phys. B659 (2003) 299-320","10.1016/S0550-3213(03)00227-X","DESY 02-200","hep-lat",,"  We apply a recent proposal to speed up the Hybrid-Monte-Carlo simulation of
systems with dynamical fermions to two flavour QCD with clover-improvement. The
basic idea of our proposal is to split the fermion matrix into two factors with
a reduced condition number each. In the effective action, for both factors a
pseudo-fermion field is introduced. For our smallest quark masses we see a
speed-up of more than a factor of two compared with the standard algorithm.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 09:01:07 GMT""}]","2009-11-07"
"hep-ph/0211446","Thomas Kernreiter","M. Hirsch, T. Kernreiter, W. Porod","CP violation in decays of the lightest supersymmetric particle with
  bilinearly broken R parity","20 pages, 9 figures, references added","JHEP 0301 (2003) 034","10.1088/1126-6708/2003/01/034",,"hep-ph",,"  Supersymmetric models with broken R-parity induced by lepton number violating
terms provide a calculable framework for neutrino masses and mixings. Within
models with bilinear R-parity breaking six new physical phases appear which are
potential sources of novel CP-violating phenomena compared to the minimal
supersymmetric extension of the standard model. We consider CP-violating
observables in the decays of the lightest supersymmetric particle in this class
of models. We show that: (i) Neutrino physics requires a strong correlation
between three different pairs of phases, thus reducing the effective number of
new phases to three. (ii) CP-violating phenomena in decays of the lightest
supersymmetric particle due to new R-parity breaking phases turn out to be
small, once constraints from neutrino physics are taken into account. We
demonstrate that this feature does not depend on the nature of the lightest
supersymmetric particle.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:29:33 GMT""},{""version"":""v2"",""created"":""Thu, 5 Dec 2002 16:59:06 GMT""}]","2009-11-07"
"hep-ph/0211447","Mustafa Savci","T. M. Aliev, A. Ozpineci, M. Savci","Model independent analysis of 'Lambda' baryon polarizations in (Lambda_b
  -> Lambda l^+ l^-) decay","19 pages, 9 figures, LaTeX formatted","Phys.Rev.D67:035007,2003","10.1103/PhysRevD.67.035007","metu-phys-hep-02-32","hep-ph",,"  We present the model independent analysis of $\Lambda$ baryon polarizations
in the (Lambda_b -> Lambda l^+ l^-) decay. The sensitivity of the averaged
'Lambda' polarizations to the new Wilson coefficients is studied. It is
observed that there exist certain regions of the new Wilson coefficients where
the branching ratio coincides with the standard model prediction, while the
'Lambda' baryon polarizations deviate from the standard model results
remarkably.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:47:05 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 2002 16:33:07 GMT""},{""version"":""v3"",""created"":""Sun, 22 Dec 2002 15:22:43 GMT""},{""version"":""v4"",""created"":""Sun, 5 Jan 2003 15:25:52 GMT""}]","2008-11-26"
"hep-ph/0211448","E. Martynov","E. Martynov, J.R. Cudell, G. Soyez","Consequences of t-channel unitarity for the interaction of real and
  virtual photons at high energies","10 pages, LaTeX2e with kluwer.sty, 7 figures. Talk presented at the
  Second International ""Cetraro"" Workshop & NATO Advanced Research Workshop
  ""Diffraction 2002"", Alushta, Crimea, Ukraine, August 31 - September 6, 2002",,,,"hep-ph",,"  We analyze the consequences of t-channel unitarity for photon cross sections
and show what assumptions are necessary to allow for the existence of new
singularities at $ Q^{2}=0 $ for the $ \gamma p $ and $ \gamma \gamma $ total
cross sections. For virtual photons, such singularities can in general be
present, but we show that, apart from the perturbative singularity associated
with $ \gamma ^{*}\gamma ^{*}\to q\bar q $, no new ingredient is needed to
reproduce the data from LEP and HERA, in the Regge region.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:29:19 GMT""}]","2007-05-23"
"hep-ph/0211449","A. A. Arkhipov","A.A. Arkhipov","Three-Body Forces in Multiparticle Dynamics: New Sites of Fundamental
  Dynamics","19 pages, 6 figures, LaTex2e; Extended version of the talk presented
  at XXXII International Symposium on Multiparticle Dynamics, Alushta, Crimea,
  Ukraine, September 7--12, 2002; available at
  http://dbserv.ihep.su/~pubs/prep2002/ps/2002-44.pdf; misprints in the text
  corrected",,"10.1142/9789812704962_0046","IHEP 2002-44","hep-ph",,"  A manifestation of the three-body forces in multiparticle dynamics is
discussed. The minireview of our recent results has been presented.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:01:41 GMT""},{""version"":""v2"",""created"":""Thu, 16 Jan 2003 16:27:47 GMT""},{""version"":""v3"",""created"":""Thu, 30 Jan 2003 12:59:54 GMT""}]","2017-08-23"
"hep-ph/0211450","Jean-Philippe Lansberg","J.P. Lansberg, F. Bissey, J.R. Cudell, J. Cugnon, M. Jaminon and P.
  Stassart","Pion Structure Function and Violation of the Momentum Sum Rule","Presented by J.P. Lansberg at the II International Workshop on Hadron
  Physics, 25-29 September, 2002, Coimbra, Portugal, 14 pages, 9 figures,
  LaTeX, uses aip-6s.clo, aipproc.cls and aipxfm.sty (included)","AIP Conf.Proc. 660 (2003) 339-352","10.1063/1.1570584",,"hep-ph",,"  We present a method to evaluate the pion structure functions from a box
diagram calculation. Pion and constituent quark fields are coupled through the
simplest pseudoscalar coupling. The gamma^* pi -> q \bar q cross-section is
evaluated and related to the structure functions. We then show that the
introduction of non-perturbative effects, related to the pion size and
preserving gauge invariance, provides us with a straighforward relation with
the quark distribution. It is predicted that higher-twist terms become
negligible for Q^2 larger than about 2 GeV^2 and that quarks in the pion have a
momentum fraction smaller than in the proton. We enlarge the discussion
concerning this violation of the momentum sum rule, emphasizing that the sum
rule is recovered in the chiral limit and also when the finite size condition
is not imposed.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:43:53 GMT""}]","2009-11-07"
"hep-ph/0211451","Pierpaolo Mastrolia","P. Mastrolia (1 and 2), E. Remiddi (1 and 3) ((1) University of
  Bologna, (2) University of Karlsruhe, (3) INFN-Bologna)","The analytic value of a 3-loop sunrise graph in a particular kinematical
  configuration","9 pages, 3 figures","Nucl.Phys. B657 (2003) 397-406","10.1016/S0550-3213(03)00144-5","TTP02-39","hep-ph",,"  We consider the scalar integral associated to the 3-loop sunrise graph with a
massless line, two massive lines of equal mass $M$, a fourth line of mass equal
to $Mx$, and the external invariant timelike and equal to the square of the
fourth mass. We write the differential equation in $x$ satisfied by the
integral, expand it in the continuous dimension $d$ around $d=4$ and solve the
system of the resulting chained differential equations in closed analytic form,
expressing the solutions in terms of Harmonic Polylogarithms. As a byproduct,
we give the limiting values of the coefficients of the $(d-4)$ expansion at
$x=1$ and $x=0$.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:22:34 GMT""}]","2009-11-07"
"hep-ph/0211452","H. C. G. Caldas","H.C. de Godoy Caldas and M. Hott","Analytic Properties of Thermal Corrected Boson Propagators","11 pages, no figures, revtex, typos corrected, two references
  included, to be published in Phys. Rev. D","Phys.Rev. D67 (2003) 045011","10.1103/PhysRevD.67.045011",,"hep-ph",,"  We investigate the analytic properties of finite-temperature self-energies of
bosons interacting with fermions at one-loop order. A simple boson-fermion
model was chosen due to its interesting features of having two distinct
couplings of bosons with fermions. This leads to a quite different analytic
behavior of the bosons self-energies as the external momentum
$K^{\mu}=(k^{0},\vec{k})$ approaches zero in the two possible limits. It is
shown that the plasmon and Debye masses are consistently obtained at the pole
of the corrected propagator even when the self-energy is analytic at the origin
in the frequency-momentum space.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 22:27:35 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 2003 23:33:13 GMT""}]","2009-11-07"
"hep-ph/0211453","Wei Min Yang","Wei Min Yang and Dong Sheng Du","CP violation in chargino decays in the MSSM","15 pages, 5 figures, LaTeX2e","Phys.Rev. D67 (2003) 055004","10.1103/PhysRevD.67.055004",,"hep-ph",,"  In the minimal supersymmetric standard model (MSSM) with complex parameters,
supersymmetric loop effects can lead to \emph{CP} violation. We calculate the
rate asymmetries of decays of charginos into the lightest neutralino and a $W$
boson on the basis of the most important loop contributions in the third
generation squark sectors. It turns out that the \emph{CP} violating
asymmetries can be a few per cent in typical regions of the parameter space of
the MSSM. These processes would provide very promising channels for probing
\emph{CP} violation in the MSSM at future high-energy colliders.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 08:27:06 GMT""}]","2009-11-07"
"hep-ph/0211454","Umberto D'Alesio","U. D'Alesio and F. Murgia (University and INFN, Cagliari, Italy)","Cross sections and single spin asymmetries in hadronic collisions with
  intrinsic transverse momentum effects","LaTeX, 8 pages, 4 ps figures, uses epsfig.sty. Talk delivered by F.
  Murgia at the ""IX Convegno su Problemi di Fisica Nucleare Teorica"", October
  9-12, 2002, Cortona, Italy",,"10.1142/9789812705143_0009",,"hep-ph",,"  The role of intrinsic transverse momentum both in unpolarized and polarized
processes is discussed. We consider inclusive cross sections for pion
production in hadronic collisions and for Drell-Yan processes; the results are
compared with available experimental data in several different kinematical
situations. We reanalyze transverse single spin asymmetries (SSA) observed in
inclusive pion production, p(transv. polarized) p --> pion + X, in terms of
Sivers effect and show how it can be disentangled in polarized Drell-Yan
processes by suitably integrating over some final configurations. Estimates for
RHIC experiments are given.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:21:50 GMT""}]","2017-08-23"
"hep-ph/0211455","Piotr Niezurawski","P. Niezurawski, A. F. Zarnecki, M. Krawczyk","The SM Higgs-boson production in gamma gamma -> h -> bb at the Photon
  Collider at TESLA","Presented at the International Workshop on Linear Colliders
  LCWS(2002), Jeju, Korea",,,,"hep-ph",,"  Measuring the Gamma(h -> gamma gamma)Br(h -> bb) decay at the photon collider
at TESLA is studied for a Standard Model Higgs boson of mass m_h = 120 GeV. The
main background due to the process gamma gamma -> QQ(g), where Q = b,c, is
estimated using the NLO QCD program (G. Jikia); the results obtained are
compared with the LO estimate. Using a realistic luminosity spectrum and
performing a detector simulation, we find that Gamma(h -> gamma gamma)Br(h ->
bb) can be measured with an accuracy better than 2% after one year of photon
collider running.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 10:36:48 GMT""}]","2007-05-23"
"hep-ph/0211456","Harald Anlauf","Harald Anlauf","QED Radiative Processes in Deep Inelastic Scattering at HERA","137 pages, 25 figures. Habilitation thesis",,,,"hep-ph",,"  High energy scattering processes of charged particles are accompanied by
radiation of hard photons. Emission collinear to the incident particles, which
leads to a reduction of the effective beam energy, and the possibility to
directly measure these photons at the HERA electron-proton collider provides
important physics opportunities. For deep inelastic scattering, the measurement
of radiative processes extends the kinematic range accessible to the HERA
experiments to lower Q^2, as well as helps in separating the proton structure
functions without the need to run at different collider energies. QED
corrections to these radiative processes are discussed, and the calculation of
the model-independent leptonic corrections is described in some detail for the
complete one-loop contributions as well as for the higher order leading
logarithms.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 11:39:40 GMT""}]","2007-05-23"
"hep-ph/0211457","Zou BingSong","B.S.Zou (IHEP, Beijing), D.V.Bugg (QMC, London)","Covariant tensor formalism for partial wave analyses of psi decay to
  mesons","22 pages, 1 figure, corrected some typos and added some contents","Eur.Phys.J. A16 (2003) 537-547",,,"hep-ph",,"  J/psi and psi' decay to mesons are a good place to look for glueballs,
hybrids and for extracting strange and nonstrange components in mesons.
Abundant J/psi and psi' events have been collected at the Beijing Electron
Positron Collider (BEPC). More data will be collected at upgraded BEPC and
CLEO-C. Here we provide explicit PWA formulae for many interesting channels in
the covariant tensor formalism.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:10:53 GMT""},{""version"":""v2"",""created"":""Thu, 26 Dec 2002 12:40:51 GMT""}]","2007-05-23"
"hep-ph/0211458","Gad Eilam","Gad Eilam","Rare Z Decays","5 pages, 1 figure. Talk given at 6th International Symposium on
  Radiative Corrections: Application of Quantum Field Theory Phenomenology
  (RADCOR 2002) and 6th Zeuthen Workshop on Elementary Particle Theory (Loops
  and Legs in Quantum Field Theory), Kloster Banz, Germany, 8-13 Sep 2002","Nucl.Phys.Proc.Suppl. 116 (2003) 306-310","10.1016/S0920-5632(03)80189-5",,"hep-ph",,"  Motivated by the well known impact of rare decays of hadrons and leptons on
the evolution of the Standard Model and on limits for new physics, as well as
by the proposal for Giga-Z option at TESLA, we investigate the rare decay Z ->
b s-bar in various extensions of the Standard Model.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:30:33 GMT""}]","2009-11-07"
"hep-ph/0211459","N. G. Marchuk","N.G. Marchuk","A model of composite structure of quarks and leptons","7 pages",,,,"hep-ph",,"  In the model every quark or lepton is identified with a quartet of four ""more
elementary"" particles. One particle in a quartet is a massive spin-0 boson and
other three particles are massless spin-1/2 fermions.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:49:01 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jan 2003 11:19:03 GMT""}]","2007-05-23"
