"astro-ph/0210512","Todor Stanev","T.K. Gaisser & Todor Stanev","Charge ratio of muons from atmospheric neutrinos","6 pages, 4 figures, to be submitted to Physics Letters","Phys.Lett.B561:125-129,2003","10.1016/S0370-2693(03)00389-7","BA-02-37","astro-ph hep-ph",,"  We calculate the intensities and angular distributions of positive and
negative muons produced by atmospheric neutrinos. We comment on some sources of
uncertainty in the charge ratio. We also draw attention to a potentially
interesting signature of neutrino oscillations in the muon charge ratio, and we
discuss the prospects for its observation (which are not quite within the reach
of currently planned magnetized detectors).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:36:42 GMT""}]","2011-05-12"
"cond-mat/0210547","Sebastian Kraft","J. Fortagh, H. Ott, S. Kraft, A. Guenther, and C. Zimmermann","Bose-Einstein Condensates in Magnetic Waveguides","8 pages, 9 figures",,"10.1007/s00340-003-1107-9",,"cond-mat.soft",,"  In this article, we describe an experimental system for generating
Bose-Einstein condensates and controlling the shape and motion of the
condensate by using miniaturised magnetic potentials. In particular, we
describe the magnetic trap setup, the vacuum system, the use of dispenser
sources for loading a high number of atoms into the magneto-optical trap, the
magnetic transfer of atoms into the microtrap, and the experimental cycle for
generating Bose-Einstein condensates. We present first results on outcoupling
of condensates into a magnetic waveguide and discuss influences of the trap
surface on the ultracold ensembles.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:20:46 GMT""}]","2009-11-07"
"cond-mat/0210548","Damien P. Foster","D.P. Foster and C. Pinettes","Corner transfer matrix renormalization group method for two-dimensional
  self-avoiding walks and other O(n) models","4 pages 7 figures Substantial rewrite of previous version to include
  calculations of critical points and exponents. Final version accepted for
  publication in PRE (Rapid Communications)",,"10.1103/PhysRevE.67.045105",,"cond-mat.stat-mech",,"  We present an extension of the corner transfer matrix renormalisation group
(CTMRG) method to O(n) invariant models, with particular interest in the
self-avoiding walk class of models (O(n=0)). The method is illustrated using an
interacting self-avoiding walk model. Based on the efficiency and versatility
when compared to other available numerical methods, we present CTMRG as the
method of choice for two-dimensional self-avoiding walk problems.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:27:08 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 2003 14:38:45 GMT""}]","2009-11-07"
"cond-mat/0210549","Damien Challet","Damien Challet and Matteo Marsili","Criticality and finite size effects in a simple realistic model of stock
  market","4 pages, 4 figures",,"10.1103/PhysRevE.68.036132",,"cond-mat.stat-mech cond-mat.dis-nn q-fin.TR",,"  We discuss a simple model based on the Minority Game which reproduces the
main stylized facts of anomalous fluctuations in finance. We present the
analytic solution of the model in the thermodynamic limit and show that
stylized facts arise only close to a line of critical points with non-trivial
properties. By a simple argument, we show that, in Minority Games, the
emergence of critical fluctuations close to the phase transition is governed by
the interplay between the signal to noise ratio and the system size. These
results provide a clear and consistent picture of financial markets as critical
systems.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:21:21 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 2002 17:25:34 GMT""}]","2009-11-07"
"cond-mat/0210550","Ana Maria","Ana Maria Rey, Keith Burnett, Robert Roth, Mark Edwards, Carl J.
  Williams and Charles W.Clark","Bogoliubov approach to superfluidity of atoms in an optical lattice","25 pages, 8 figures","J. Phys. B: At. Mol. Opt. Phys. 36 (2003) 825-841","10.1088/0953-4075/36/5/304",,"cond-mat.soft",,"  We use the Bogoliubov theory of atoms in an optical lattice to study the
approach to the Mott-insulator transition. We derive an explicit expression for
the superfluid density based on the rigidity of the system under phase
variations. This enables us to explore the connection between the quantum
depletion of the condensate and the quasi-momentum distribution on the one hand
and the superfluid fraction on the other. The approach to the insulator phase
may be characterized through the filling of the band by quantum depletion,
which should be directly observable via the matter wave interference patterns.
We complement these findings by self-consistent Hartree-Fock-Bogoliubov-Popov
calculations for one-dimensional lattices including the effects of a parabolic
trapping potential.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:06:50 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jan 2003 20:14:29 GMT""}]","2009-11-07"
"cond-mat/0210551","Nikos Papanikolaou","Nikos Papanikolaou","Magnetoresistance through spin polarized p-states","Title changed, abstract changed, text revision, figures unchanged","J. Phys.: Condens. Matter 15 (2003) 5049","10.1088/0953-8984/15/29/316",,"cond-mat.mtrl-sci",,"  We present a theoretical study of the ballistic magnetoresistance in Ni
contacts using first-principles, atomistic electronic-structure calculations.
In particular we investigate the role of defects in the contact region in order
to explain the recently observed spectacular magnetoresistance ratio. Our
results predict that possible presence of spin polarized oxygen in the contact
region, could explain conductance changes by an order of magnitude. Electronic
transport essentially occurs through spin-polarized oxygen p states, and this
mechanism gives a much higher magnetoresistance than that obtained assuming
clean atomically sharp domain walls alone.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:20:19 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jul 2003 10:35:47 GMT""}]","2009-11-07"
"cond-mat/0210552","Karl G. Sandeman","K.G. Sandeman (1), G.G. Lonzarich (1) and A.J. Schofield (2) ((1) Low
  Temperature Physics Group, Cambridge University, UK, (2) School of Physics
  and Astronomy, University of Birmingham, UK)","Ferromagnetic superconductivity driven by changing Fermi surface
  topology","9 pages, 9 figures, REVTeX 4. Version 2: updated references and
  corrected typos","Phys. Rev. Lett. 90, 167005 (2003)","10.1103/PhysRevLett.90.167005",,"cond-mat.str-el cond-mat.supr-con",,"  We introduce a simple but powerful zero temperature Stoner model to explain
the unusual phase diagram of the ferromagnetic superconductor, UGe2. Triplet
superconductivity is driven in the ferromagnetic phase by tuning the majority
spin Fermi level through one of two peaks in the paramagnetic density of states
(DOS). Each peak is associated with a metamagnetic jump in magnetisation. The
twin peak DOS may be derived from a tight-binding, quasi-one-dimensional
bandstructure, inspired by previous bandstructure calculations.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:21:20 GMT""},{""version"":""v2"",""created"":""Tue, 29 Oct 2002 14:39:12 GMT""}]","2009-11-07"
"cond-mat/0210553","Qiuping A. Wang","Q. A. Wang, S. Salaun and A. Bulou","Pressure effects on the Raman spectrum of $CaZnF_4$","LaTeX file, 3 ps figures, 8 pages",,,,"cond-mat.mtrl-sci",,"  The pressure influence on the lattice vibration of $CaZnF_4$ has been studied
by Raman diffusion up to 17 GPa. Most Raman frequencies increase with
increasing pressure. Three singularities in the pressure induced frequency
evolution are observed around 1.5 GPa, 10 GPa and 17 GPa. The samples
pressurized to 17 GPa or higher do not revert to the ambient pressure phase
after being released, the new phase showing different Raman spectra from the
ordinary one. It is suggested that $CaZnF_4$ undergoes probably sudden lattice
deformations at about 1.5 GPa and 10 GPa, and an irreversible phase
transformation above 17 GPa.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:37:04 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 17:16:38 GMT""}]","2007-05-23"
"gr-qc/0210079","Roberto Colistete Junior","R. Colistete Jr., J. C. Fabris, S. V. B. Goncalves and P. E. de Souza","Dark energy, dark matter and the Chaplygin gas","5 pages, 2 EPS figures, LaTeX 2e, uses graphicx. To appear in the
  Proceedings of the XVIII IAP Colloquium `On the nature of dark energy', IAP,
  Paris, 1-5 July 2002",,,,"gr-qc",,"  The possibility that the dark energy may be described by the Chaplygin gas is
discussed. Some observational constraints are established. These observational
constraints indicate that a unified model for dark energy and dark matter
through the employement of the Chaplygin gas is favored.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 18:25:16 GMT""}]","2007-05-23"
"gr-qc/0210080","Sigbjorn Hervik","Sigbjorn Hervik","Vacuum Plane Waves in 4+1 D and Exact solutions to Einstein's Equations
  in 3+1 D","16 pages, no figures","Class.Quant.Grav.20:4315-4327,2003","10.1088/0264-9381/20/19/312",,"gr-qc astro-ph hep-th",,"  In this paper we derive homogeneous vacuum plane-wave solutions to Einstein's
field equations in 4+1 dimensions. The solutions come in five different types
of which three generalise the vacuum plane-wave solutions in 3+1 dimensions to
the 4+1 dimensional case. By doing a Kaluza-Klein reduction we obtain solutions
to the Einstein-Maxwell equations in 3+1 dimensions. The solutions generalise
the vacuum plane-wave spacetimes of Bianchi class B to the non-vacuum case and
describe spatially homogeneous spacetimes containing an extremely tilted fluid.
Also, using a similar reduction we obtain 3+1 dimensional solutions to the
Einstein equations with a scalar field.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:59:33 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2003 13:24:45 GMT""}]","2008-11-26"
"gr-qc/0210083","Elena Cuoco","G. Cella, E. Cuoco, G.M. Guidi","Adaptive spectral identification techniques in presence of undetected
  non linearities","4 pages, 2 figures, uses ws-procs9x6.cls Proceedings of ""Non linear
  physics: theory and experiment. II"", Gallipoli (Lecce), 2002",,"10.1142/9789812704467_0048",,"gr-qc",,"  The standard procedure for detection of gravitational wave coalescing
binaries signals is based on Wiener filtering with an appropriate bank of
template filters. This is the optimal procedure in the hypothesis of addictive
Gaussian and stationary noise. We study the possibility of improving the
detection efficiency with a class of adaptive spectral identification
techniques, analyzing their effect in presence of non stationarities and
undetected non linearities in the noise
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 08:00:37 GMT""}]","2017-08-23"
"gr-qc/0210084","Victor Berezin","V.A. Berezin, A.L. Smirnov (INR, Moscow)","Towards a theory of thin self-gravitating crossing shells","19 pages, 5 figures, to be published in ""Gravitation and Cosmology""",,,,"gr-qc",,"  In the case of crossing thin dust shells the momentum conservation law is
found. For two crossing isotropic shells it coincides with the 't Hooft-Dray
formula. The system of one isotropic and one time-like shell is considered. In
this case we found a very simple formula which relate velocities of dust shell
before and after crossing.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:30:03 GMT""}]","2007-05-23"
"hep-ex/0210053","Ivan Mikulec","A. Lai, et al. (NA48 Collaboration)","Precise measurements of the KS->gamma gamma and KL->gamma gamma decay
  rates","10 pages, 5 figures; submitted to Phys Lett. B","Phys.Lett.B551:7-15,2003","10.1016/S0370-2693(02)02955-6","CERN-EP/2002-074","hep-ex",,"  The KS->gamma gamma decay rate has been measured with the NA48 detector using
a high intensity short neutral beam from the CERN SPS. The measured branching
ratio BR(KS->gamma gamma)=(2.78+-0.06(stat)+-0.04(syst))x10-6, obtained from
7461+-172 KS->gamma gamma events, is significantly higher than the O(p^4)
prediction of Chiral Perturbation Theory. Using a KL beam the ratio
BR(KL->gamma gamma)/BR(KL->3pi0)=(2.81+-0.01(stat)+-0.02(syst))x10-3 has been
measured.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:01:31 GMT""}]","2008-11-26"
"hep-ex/0210054","Marco Ripani","M. Ripani, et al. (The CLAS collaboration)","Measurement of $ep \to e^{'}p\pi^{+}\pi^{-}$ and baryon resonance
  analysis","Paper on CLAS experiment submitted to PRL","Phys.Rev.Lett.91:022002,2003","10.1103/PhysRevLett.91.022002",,"hep-ex",,"  The cross section for the reaction $ e p \to e^{\prime} p \pi^{+} \pi^{-}$
was measured in the resonance region for 1.4$<$W$<$2.1 GeV and 0.5$<Q^{2}<$1.5
GeV$^{2}$/c$^{2}$ using the CLAS detector at Jefferson Laboratory. The data
shows resonant structures not visible in previous experiments. The comparison
of our data to a phenomenological prediction using available information on
$N^{*}$ and $\Delta$ states shows an evident discrepancy. A better description
of the data is obtained either by a sizeable change of the properties of the
$P_{13}$(1720) resonance or by introducing a new baryon state, not reported in
published analyses.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:03:01 GMT""}]","2010-04-06"
"hep-ex/0210055","Maury Goodman","Maury Goodman","Other Atmospheric Neutrino Experiments","8 pages, 10 figures, Contribution to Neutrino 2002",,"10.1016/S0920-5632(03)01308-2",,"hep-ex",,"  The history and recent progress of atmospheric neutrinos are reviewed. An
emphasis is placed on results from experiments other than Super-Kamiokande.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 21:56:48 GMT""}]","2009-11-07"
"hep-ex/0210056","Alexander Ledovskoy","KTeV Collaboration: A. Alavi-Harati, et al","Search for the K(L) --> PI0 PI0 E+ E- Decay in the KTeV Experiment","To be published in Phys. Rev. Lett","Phys.Rev.Lett.89:211801,2002","10.1103/PhysRevLett.89.211801","FERMILAB-PUB-02/271-E","hep-ex",,"  The recent discovery of a large CP violating asymmetry in K(L) --> PI+ PI- E+
E- mode has prompted us to seach for the associated K(L) --> PI0 PI0 E+ E-
decay mode in the KTeV-E799 experiment at Fermilab. In 2.7E+11 K(L) decays, one
candidate event has been observed with an expected background of 0.3 event,
resulting in an upper limit for the K(L) --> PI0 PI0 E+ E- branching ratio of
6.6E-09 at the 90% confidence level.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:53:48 GMT""}]","2008-11-26"
"hep-lat/0210041","James Zanotti","J.M.Zanotti, D.B.Leinweber, W.Melnitchouk, A.G.Williams and J.B.Zhang","Light Quark Simulations With FLIC Fermions","3 pages, 2 figures, Lattice2002(QCD Spectrum and Quark Masses)","Nucl.Phys.Proc.Suppl.119:290-292,2003","10.1016/S0920-5632(03)01541-X","ADP-02-88/T527, JLAB-THY-02-47","hep-lat",,"  Hadron masses are calculated in quenched lattice QCD in order to probe the
scaling behavior of a novel fat-link clover fermion action in which only the
irrelevant operators of the fermion action are constructed using APE-smeared
links. Light quark masses corresponding to an m_pi / m_rho ratio of 0.35 are
considered to assess the exceptional configuration problem of clover-fermion
actions. This Fat-Link Irrelevant Clover (FLIC) fermion action provides scaling
which is superior to mean-field improvement and offers advantages over
nonperturbative improvement, including reduced exceptional configurations.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 02:05:07 GMT""}]","2010-03-04"
"hep-lat/0210042","James Zanotti","W.Melnitchouk, J.N.Hedditch, D.B.Leinweber, A.G.Williams, J.M.Zanotti
  and J.B.Zhang","Excited Baryons from the FLIC Fermion Action","3 pages, 3 figures, Lattice2002(QCD Spectrum and Quark Masses)","Nucl.Phys.Proc.Suppl.119:293-295,2003","10.1016/S0920-5632(03)01542-1","ADP-02-86/T525, JLAB-THY-02-45","hep-lat",,"  Masses of positive and negative parity excited nucleons and hyperons are
calculated in quenched lattice QCD using an O(a^2) improved gluon action and a
fat-link clover fermion action in which only the irrelevant operators are
constructed with fat links. The results are in agreement with earlier N*
simulations with improved actions, and exhibit a clear mass splitting between
the nucleon and its parity partner, as well as a small mass splitting between
the two low-lying J^P={1/2}^- N* states. Study of different Lambda
interpolating fields suggests a similar splitting between the lowest two
{1/2}^- Lambda* states, although the empirical mass suppression of the
Lambda*(1405) is not seen.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 02:16:48 GMT""}]","2010-03-04"
"hep-lat/0210043","James Zanotti","J.M.Zanotti, S.Choe, D.B.Leinweber, W.Melnitchouk, A.G.Williams and
  J.B.Zhang","Spin-3/2 Baryons in Lattice QCD","3 pages, 2 figures, Lattice2002(QCD Spectrum and Quark Masses)","Nucl.Phys.Proc.Suppl.119:299-301,2003","10.1016/S0920-5632(03)01544-5","ADP-02-87/T526, JLAB-THY-02-46","hep-lat",,"  We present first results for masses of spin-3/2 baryons in lattice QCD, using
a novel fat-link clover fermion action in which only the irrelevant operators
are constructed using fat links. In the isospin-1/2 sector, we observe, after
appropriate spin and parity projection, a strong signal for the J^P=3/2^-
state, and find good agreement between the 1/2^+ mass and earlier nucleon mass
simulations with a spin-1/2 interpolating field. For the isospin-3/2 Delta
states, clear mass splittings are observed between the various 1/2^+/- and
3/2^+/- channels, with the calculated level orderings in good agreement with
those observed empirically.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 02:27:59 GMT""}]","2010-03-04"
"hep-lat/0210044","Silvano Simula","D. Guadagnoli, V. Lubicz, G. Martinelli and S. Simula","Neutron Electric Dipole Moment on the Lattice: a Theoretical Reappraisal","revised version; new diagrammatic analysis extended to the case of
  non-degenerate quark masses","JHEP 0304 (2003) 019","10.1088/1126-6708/2003/04/019","preprint RM3-TH/02-16 and ROMA-1343-02","hep-lat hep-ph nucl-th",,"  We present a strategy for a lattice evaluation of the neutron electric dipole
moment induced by the strong CP violating term of the QCD Lagrangian. Our
strategy is based on the standard definition of the electric dipole moment,
involving the charge density operator J0, in case of three flavors with
non-degenerate masses. We present a complete diagrammatic analysis showing how
the axial chiral Ward identities can be used to replace the opological charge
operator with the flavor-singlet pseudoscalar density PS. Our final result is
characterized only by disconnected diagrams, where the disconnected part can be
either the single insertion of PS or the separate insertions of both PS and J0.
The applicability of our strategy to the case of lattice formulations that
explicitly break chiral symmetry, like the Wilson and Clover actions, is
discussed.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:09:44 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 2003 17:36:04 GMT""}]","2009-11-07"
"hep-lat/0210045","Fabrizio Palumbo","F. Palumbo","Different definitions of the chemical potential with identical partition
  function in QCD on a lattice","4 pages",,"10.1103/PhysRevD.69.074508",,"hep-lat",,"  It is shown that starting from one and the same transfer matrix formulation
of QCD on a lattice, it is possible to obtain both the action of Hasenfratz and
Karsch as well as an action where the chemical potential is not coupled to the
temporal links.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:47:37 GMT""}]","2013-05-29"
"hep-ph/0210317","Eduardo de Rafael","Eduardo de Rafael","Analytic Approaches to Kaon Physics","Plenary talk at the Lattice 2002 Conference",,"10.1016/S0920-5632(03)01494-4",,"hep-ph hep-lat hep-th",,"  Most of the analytic approaches which are used at present to understand the
low energy hadronic interactions in Particle Physics, get their inspiration
from QCD in the limit of a large number of colors $N_c$. I first illustrate
this with the example of the left--right correlation function which is an
excellent theoretical laboratory. Next, I present the list of observables which
have been computed using a large--$N_c$ QCD approach. Finally, I discuss in
some detail examples which are relevant to lattice QCD, in the sense that we
can make comparisons.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 16:01:36 GMT""}]","2009-11-07"
"hep-ph/0210318","Anindya Datta","Anindya Datta, Emidio Gabrielli, Barbara Mele","Virtual graviton exchanges at the Z-pole in large extra dimensions","Version to appear in Physics Letters B","Phys.Lett. B552 (2003) 237-246","10.1016/S0370-2693(02)03164-7","HIP-2002-42/TH, ROME1-1345/2002","hep-ph hep-ex",,"  In the framework of quantum gravity propagating in large extra dimensions,
the effects of virtual Kaluza-Klein gravitons on the imaginary part of the
amplitude of the process e+ e- --> f f-bar are analyzed at the Z-pole. Notably,
the interference of the almost-continuous spectrum of the KK gravitons with the
standard model resonant amplitude is finite and predictable in terms of the
fundamental D-dimensional Plank scale M_D. We find that, while the
virtual-gravitons effect on total cross sections vanishes at tree-level, both
angular and polarization asymmetries are modified by terms whose relative
effect is at most of order 10^(-4) for M_D > 1 TeV. Possible shifts in the M_Z,
due to changes in the Breit-Wigner line shape are also discussed.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:09:36 GMT""},{""version"":""v2"",""created"":""Thu, 7 Nov 2002 14:45:18 GMT""},{""version"":""v3"",""created"":""Sat, 7 Dec 2002 11:56:42 GMT""}]","2009-11-07"
"hep-ph/0210319","Marco Battaglia","M. Battaglia, M. Calvi, P. Gambino, A. Oyanguren, P. Roudeau, L.
  Salmi, J. Salt, A. Stocchi, N. Uraltsev","Heavy Quark Parameters and Vcb from Spectral Moments in Semileptonic B
  Decays","13 pages, 2 figures","ECONF C0304052:WG102,2003; Phys.Lett.B556:41-49,2003","10.1016/S0370-2693(03)00042-X","CERN-TH/2002-290","hep-ph",,"  We extract the heavy quark masses and non-perturbative parameters from the
Delphi preliminary measurements of the first three moments of the charged
lepton energy and hadronic mass distributions in semileptonic B decays, using a
multi-parameter fit. We adopt two formalisms, one of which does not rely on a
1/mc expansion and makes use of running quark masses. The data are consistent
and the level of accuracy of the experimental inputs largely determines the
present sensitivity. The results allow to improve on the uncertainty in the
extraction of Vcb.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 18:28:13 GMT""}]","2011-01-25"
"hep-ph/0210320","Yukihiro Mimura","Ilia Gogoladze, Yukihiro Mimura and S. Nandi","Orbifold Breaking of 3-3-1 Model","15 pages, 1 figure","Phys.Lett.B554:81-91,2003","10.1016/S0370-2693(02)03260-4","OSU-HEP-02-13","hep-ph",,"  We study the five dimensional SU(3)_c \times SU(3)_L \times U(1)_X gauge
theory (3-3-1 Model) in which the gauge symmetry is broken down through
orbifold compactification to four dimensions. The new model has several
distinguishing features compared to the usual four dimensional model. We
develop the formalism, and give expressions for the gauge boson masses, mixings
and their couplings to the fermions. Phenomenology of the model is briefly
studied.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 21:52:05 GMT""}]","2010-11-19"
"hep-ph/0210321","Volker Burkert","Volker D. Burkert","Status of the N* Program at Jefferson Lab","7 pages, 11 figures, talk presented at Electron-Nucleus Scattering
  VII, Elba, June 24-28,2002, added reference in section 2 and section 4.1,
  corrected misleading typographical error in section 4.4","Eur.Phys.J.A17:303-310,2003","10.1140/epja/i2002-10171-0","JLAB-PHY-02-31","hep-ph hep-ex nucl-ex",,"  Recent results from JLab on the electromagnetic excitation of nucleon
resonances are presented, and confronted with theoretical predictions.
Preliminary data in the search for undiscovered states are discussed as well.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 02:17:47 GMT""},{""version"":""v2"",""created"":""Sun, 27 Oct 2002 20:56:10 GMT""}]","2014-11-17"
"hep-ph/0210322","Makiko Nio","T. Kinoshita and M. Nio","Revised $\alpha^4$ term of lepton $g-2$ from the Feynman diagrams
  containing an internal light-by-light scattering subdiagram","4 pages, 2 figures. The abstract is modified. The current levels of
  precision in lepton g-2 are mentioned","Phys.Rev.Lett.90:021803,2003","10.1103/PhysRevLett.90.021803","CLNS 02/1804","hep-ph",,"  The $\alpha^4$ contribution to the lepton $g-2$ from a gauge-invariant set of
18 Feynman diagrams containing a light-by-light scattering subdiagram
internally has been reevaluated by a method independent of the previous
approach. Comparison of two methods revealed a program error in the first
version. Correcting this error, the contributions of these 18 diagrams become
-0.990 72 (10)$(\alpha/\pi)^4$ and -4.432 43 (58)$(\alpha/\pi)^4$ for the
electron and muon $g-2$, respectively. The correction is not large enough to
affect the comparison between theory and experiment for the muon $g-2$, but it
does alter the inferred value for the fine structure constant $\alpha^{-1}$ by
6 ppb.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 07:12:18 GMT""},{""version"":""v2"",""created"":""Fri, 29 Nov 2002 01:48:21 GMT""}]","2008-11-26"
"hep-ph/0210323","Robert Fleischer","Robert Fleischer (CERN)","B Physics and CP Violation","38 pages, 18 figures. Invited lecture at the International School
  ""Heavy Quark Physics"", Dubna, Russia, 27 May - 5 June 2002. To appear in the
  Proceedings (Lecture Notes in Physics) -- references added","Lect.Notes Phys.647:42-77,2004","10.1007/b97728","CERN-TH/2002-293","hep-ph",,"  After an introduction to the Standard-Model description of CP violation, we
turn to the main focus of these lectures, the B-meson system. Since
non-leptonic B decays play the key role for the exploration of CP violation, we
have to discuss the tools to describe these transitions theoretically before
classifying the main strategies to study CP violation. We will then have a
closer look at the B-factory benchmark modes $B_d\to J/\psi K_S$, $B_d\to\phi
K_S$ and $B_d\to\pi^+\pi^-$, and shall emphasize the importance of studies of
$B_s$ decays at hadron colliders. Finally, we focus on more recent developments
related to $B\to\pi K$ modes and the $B_d\to\pi^+\pi^-$, $B_s\to K^+K^-$
system.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:35:24 GMT""},{""version"":""v2"",""created"":""Thu, 7 Nov 2002 16:19:58 GMT""},{""version"":""v3"",""created"":""Fri, 8 Nov 2002 08:54:07 GMT""}]","2017-08-23"
"hep-ph/0210324","Youichi Yamada","Youichi Yamada","Two-loop renormalization of tan(beta) and its gauge dependence","LaTeX, 7 pages, using axodraw, Talk presented at SUSY02: the 10th
  International Conference on Supersymmetry and Unification of Fundamental
  Interactions, DESY, Hamburg, Germany, 17-23 June 2002",,,"TU-672","hep-ph",,"  Renormalization of two-loop divergent corrections to the vacuum expectation
values (v_1, v_2) of the two Higgs doublets in the minimal supersymmetric
standard model, and their ratio $\tan\beta=v_2/v_1$, is discussed for general
R_{\xi} gauge fixings. When the renormalized (v_1, v_2) are defined to give the
minimum of the loop-corrected effective potential, it is shown that, beyond the
one-loop level, the dimensionful parameters in the R_{\xi} gauge fixing term
generate gauge dependence of the renormalized $\tan\beta$. Additional shifts of
the Higgs fields are necessary to realize the gauge-independent renormalization
of $\tan\beta$.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:17:47 GMT""}]","2007-05-23"
"hep-ph/0210325","Roberto Ugoccioni","Roberto Ugoccioni","Forward-Backward Multiplicity Correlations in Symmetric and Asymmetric
  High Energy Collisions","5 pages, no figures. Talk given at XXXII Int.l Symp. on Multiparticle
  Dynamics (Alushta, Crimea, Ukraine, Sept. 7-13, 2002)",,"10.1142/9789812704962_0012","DFTT 34/2002","hep-ph",,"  Forward-backward correlations are explored within the two-component clan
model of multiparticle production. It is found that existing data are well
described, and, in hh collisions, that clans must be allowed to leak particles
from one hemisphere to the other. General formulae given for the symmetric case
are then extended to the asymmetric one, which is relevant for pA and AB
collisions.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:29:34 GMT""}]","2017-08-23"
"hep-ph/0210326","Werner Porod","W. Porod and W. Majerotto","Large lepton flavour violating signals in supersymmetric particle decays","6 pages, latex, 3 figures (included), talk given by W.P. at SUSY02,
  The 10th International Conference on Supersymmetry and Unification of
  Fundamental Interactions, DESY Hamburg, Germany, June 17-23, 2002",,,"HEPHY-PUB-764/02, ZU-TH 18/02","hep-ph",,"  We study lepton flavour violating signals at a future e+ e- linear collider
within the general MSSM, allowing for the most general flavour structure. We
demonstrate that there is a large region in parameter space with large signals,
while being consistent with present experimental bounds on rare lepton decays
such as mu -> e gamma. In our analysis, we include all possible signals from
charged slepton, sneutrino, neutralino, and chargino production and decay. We
also consider the background from the Standard Model and the MSSM. We find that
in general the signature e tau missing energy is the most pronounced one.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:12:09 GMT""}]","2007-05-23"
"hep-ph/0210327","Genevieve Belanger","G.Belanger (LAPTH), F.Boudjema (LAPTH), A.Pukhov (SINP), A.Semenov
  (LAPTH)","micrOMEGAs: recent developments","5 pages, 2 figures, Talk presented at IDM2002, York, England;
  Reference added",,"10.1142/9789812791313_0036","LAPTH-Conf-940","hep-ph",,"  The program micrOMEGAs that calculates the relic density of the lightest
supersymmetric particle (LSP) in the MSSM is presented. The impact of
coannihilation channels and of higher order corrections to Higgs widths is
stressed. The dependence on the RGE code used to calculate the soft parameters
is also discussed.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:06:34 GMT""},{""version"":""v2"",""created"":""Mon, 16 Dec 2002 18:03:06 GMT""}]","2017-08-23"
"hep-ph/0210328","Grzegorz Wilk","O.V.Utyuzh, G.Wilk and Z.Wlodarczyk","Bose-Einstein Correlations as correlations of fluctuations","Presented at XXXII International Symposium on Multiparticle Dynamics,
  Alushta, Crimea, Ukraine, September 7-13, 2002. To be published by World
  Scientific (2003) (style file ws-procs9x6.cls attached)",,"10.1142/9789812704962_0011",,"hep-ph nucl-th",,"  The limitations of the recently proposed new method of numerical modelling of
Bose-Einstein correlations (BEC) are explicitly demonstrated. It is then argued
that BEC should still be considered as emerging from the correlations of
fluctuations, however they have to be modelled first in any Monte Carlo event
generator (MCEG) and not added {\it a posteriori} to the existing output of
some MCEG.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:08:18 GMT""}]","2017-08-23"
