"astro-ph/0210184","Agnieszka Jacholkowska","A. Falvard, E. Giraud, A. Jacholkowska, J. Lavalle, E. Nuss, F. Piron,
  M. Sapinski (GAM-Montpellier), P. Salati, R. Taillet (LAPTH-Annecy), K.
  Jedamzik, G. Moultaka (LPMT-Montpellier)","Supersymmetric dark matter in M31: can one see neutralino annihilation
  with CELESTE?","Latex, 32 pages, 12 figures, 5 tables","Astropart.Phys. 20 (2004) 467-484","10.1016/j.astropartphys.2003.07.001","GAM-2002/03, LAPTH-937, PM/02-03","astro-ph hep-ph",,"  It is widely believed that dark matter exists within galaxies and clusters of
galaxies. Under the assumption that this dark matter is composed of the
lightest, stable supersymmetric particle, assumed to be the neutralino, the
feasibility of its indirect detection via observations of a diffuse gamma-ray
signal due to neutralino annihilations within M31 is examined. To this end,
first the dark matter halo of the close spiral galaxy M31 is modeled from
observations, then the resultant gamma-ray flux is estimated within
supersymmetric model configurations. We conclude that under favorable
conditions such as the rapid accretion of neutralinos on the central black hole
in M31 and/or the presence of many clumps inside its halo with $r^{-3/2}$ inner
profiles, a neutralino annihilation gamma-ray signal is marginally detectable
by the ongoing collaboration CELESTE.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:14:22 GMT""}]","2015-06-24"
"cs/0210006","Mikkel Thorup","Arne Andersson and Mikkel Thorup","Dynamic Ordered Sets with Exponential Search Trees","Revision corrects some typoes and state things better for
  applications in subsequent papers",,,,"cs.DS",,"  We introduce exponential search trees as a novel technique for converting
static polynomial space search structures for ordered sets into fully-dynamic
linear space data structures.
  This leads to an optimal bound of O(sqrt(log n/loglog n)) for searching and
updating a dynamic set of n integer keys in linear space. Here searching an
integer y means finding the maximum key in the set which is smaller than or
equal to y. This problem is equivalent to the standard text book problem of
maintaining an ordered set (see, e.g., Cormen, Leiserson, Rivest, and Stein:
Introduction to Algorithms, 2nd ed., MIT Press, 2001).
  The best previous deterministic linear space bound was O(log n/loglog n) due
Fredman and Willard from STOC 1990. No better deterministic search bound was
known using polynomial space.
  We also get the following worst-case linear space trade-offs between the
number n, the word length w, and the maximal key U < 2^w: O(min{loglog n+log
n/log w, (loglog n)(loglog U)/(logloglog U)}). These trade-offs are, however,
not likely to be optimal.
  Our results are generalized to finger searching and string searching,
providing optimal results for both in terms of n.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 04:49:56 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 2003 18:25:13 GMT""}]","2007-05-23"
"gr-qc/0210024","Gilad Gour","Gilad Gour","Algebraic approach to quantum black holes: logarithmic corrections to
  black hole entropy","15 pages, Revtex, to appear in Phys. Rev. D","Phys.Rev. D66 (2002) 104022","10.1103/PhysRevD.66.104022",,"gr-qc hep-th quant-ph",,"  The algebraic approach to black hole quantization requires the horizon area
eigenvalues to be equally spaced. As shown previously, for a neutral
non-rotating black hole, such eigenvalues must be $2^{n}$-fold degenerate if
one constructs the black hole stationary states by means of a pair of creation
operators subject to a specific algebra. We show that the algebra of these two
building blocks exhibits $U(2)\equiv U(1)\times SU(2)$ symmetry, where the area
operator generates the U(1) symmetry. The three generators of the SU(2)
symmetry represent a {\it global} quantum number (hyperspin) of the black hole,
and we show that this hyperspin must be zero. As a result, the degeneracy of
the $n$-th area eigenvalue is reduced to $2^{n}/n^{3/2}$ for large $n$, and
therefore, the logarithmic correction term $-3/2\log A$ should be added to the
Bekenstein-Hawking entropy. We also provide a heuristic approach explaining
this result, and an evidence for the existence of {\it two} building blocks.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:36:49 GMT""}]","2009-11-07"
"gr-qc/0210027","Tomohiro Harada","Tomohiro Harada, Hideki Maeda and Benoit Semelin","Criticality and convergence in Newtonian collapse","15 pages, 8 figures, accepted for publication in PRD, figures 1 and 3
  at lower resolution than in journal version, typos corrected","Phys.Rev. D67 (2003) 084003","10.1103/PhysRevD.67.084003","WU-AP/153/02","gr-qc astro-ph",,"  We study through numerical simulation the spherical collapse of isothermal
gas in Newtonian gravity. We observe a critical behavior which occurs at the
threshold of gravitational instability leading to core formation. For a given
initial density profile, we find a critical temperature, which is of the same
order as the virial temperature of the initial configuration. For the exact
critical temperature, the collapse converges to a self-similar form, the first
member in Hunter's family of self-similar solutions. For a temperature close to
the critical value, the collapse first approaches this critical solution. Later
on, in the supercritical case, the collapse converges to another self-similar
solution, which is called the Larson-Penston solution. In the subcritical case,
the gas bounces and disperses to infinity. We find two scaling laws: one for
the collapsed mass in the supercritical case and the other for the maximum
density reached before dispersal in the subcritical case. The value of the
critical exponent is measured to be $\simeq 0.11$ in the supercritical case,
which agrees well with the predicted value $\simeq 0.10567$. These critical
properties are quite similar to those observed in the collapse of a radiation
fluid in general relativity. We study the response of the system to temperature
fluctuation and discuss astrophysical implications for the insterstellar medium
structure and for the star formation process. Newtonian critical behavior is
important not only because it provides a simple model for general relativity
but also because it is relevant for astrophysical systems such as molecular
clouds.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 01:44:38 GMT""},{""version"":""v2"",""created"":""Mon, 17 Feb 2003 03:42:48 GMT""},{""version"":""v3"",""created"":""Thu, 20 Mar 2003 08:12:43 GMT""}]","2009-11-07"
"gr-qc/0210028","Naoki Seto","Naoki Seto","Effects of finite arm-length of LISA on analysis of gravitational waves
  from MBH binaries","10 pages, 3 figures, to appear in Phys.Rev.D","Phys.Rev. D66 (2002) 122001","10.1103/PhysRevD.66.122001",,"gr-qc astro-ph",,"  Response of an interferometer becomes complicated for gravitational wave
shorter than the arm-length of the detector, as nature of wave appears
strongly. We have studied how parameter estimation for merging massive black
hole binaries are affected by this complicated effect in the case of LISA. It
is shown that three dimensional positions of some binaries might be determined
much better than the past estimations that use the long wave approximation. For
equal mass binaries this improvement is most prominent at $\sim 10^5\sol$.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 12:00:59 GMT""}]","2009-11-07"
"hep-ex/0210025","Ryosuke Itoh","Ryosuke Itoh (for the Belle Collaboration)","Measurements of time dependent CP asymmetry in $B \to VV$ decays with
  BELLE","4 pages, 3 figures, Proceeding of the talk in parallel session
  (CP-3-5) at ICHEP2002, Amsterdam, Netherland, 24-31 July (2002)",,"10.1016/S0920-5632(03)90605-0","KEK Preprint 2002-106","hep-ex",,"  A study of CP violation in $B\to J/\psi K^*(K_S^0\pi^0)$ decays by time
dependent angular analysis is discussed. Status of time independent analyses
for other $B\to VV$ decays is also reported. The data used for the analyses are
taken with the Belle detector at KEK.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 03:01:57 GMT""}]","2009-11-07"
"hep-ex/0210026","Collaboration Secretariat Opal","The OPAL collaboration","Measurement of Neutral-Current Four-Fermion Production at LEP2","20 pages, 6 figures, Submitted to Physics Letters B","Phys.Lett.B544:259-273,2002","10.1016/S0370-2693(02)02468-1","CERN-EP-2002-052","hep-ex",,"  Four-fermion final states qqbar e+e- and qqbar mu+mu- from neutral-current
interactions in e+e- collisions are studied in the OPAL detector at LEP at
centre-of-mass energies from 183 GeV to 209 GeV. The data analysed correspond
to a total integrated luminosity of about 650 pb-1 recorded from 1997 to 2000.
Corresponding to the acceptance of the OPAL detector, a signal definition is
applied requiring both leptons to have a scattering angle satisfying cos0
<0.95. Further requirements are made on the invariant masses of the fermion
pairs. The extracted cross-sections for the processes e+e- -> qqbar e+e- and
e+e- qqbar mu+mu- are consistent with the expectations from the Standard Model.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:47:15 GMT""}]","2012-08-27"
"hep-lat/0210013","Kazuo Fujikawa","Kazuo Fujikawa (Dept. of Physics, Univ. of Tokyo) and Hiroshi Suzuki
  (Dept. of Math. Sciences, Ibaraki University)","Domain wall fermion and CP symmetry breaking","33 pages. Note added and a new reference were added. Phys. Rev.D (in
  press)","Phys.Rev. D67 (2003) 034506","10.1103/PhysRevD.67.034506","UT-02-53, YITP-SB-02-55, IU-MSTP/53","hep-lat hep-th",,"  We examine the CP properties of chiral gauge theory defined by a formulation
of the domain wall fermion, where the light field variables $q$ and $\bar q$
together with Pauli-Villars fields $Q$ and $\bar Q$ are utilized. It is shown
that this domain wall representation in the infinite flavor limit $N=\infty$ is
valid only in the topologically trivial sector, and that the conflict among
lattice chiral symmetry, strict locality and CP symmetry still persists for
finite lattice spacing $a$. The CP transformation generally sends one
representation of lattice chiral gauge theory into another representation of
lattice chiral gauge theory, resulting in the inevitable change of propagators.
A modified form of lattice CP transformation motivated by the domain wall
fermion, which keeps the chiral action in terms of the Ginsparg-Wilson fermion
invariant, is analyzed in detail; this provides an alternative way to
understand the breaking of CP symmetry at least in the topologically trivial
sector. We note that the conflict with CP symmetry could be regarded as a
topological obstruction. We also discuss the issues related to the definition
of Majorana fermions in connection with the supersymmetric Wess-Zumino model on
the lattice.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 06:14:19 GMT""},{""version"":""v2"",""created"":""Mon, 23 Dec 2002 08:40:38 GMT""}]","2009-11-07"
"hep-lat/0210014","Yoshiaki Koma","Y. Koma, M. Koma, T. Suzuki, E.-M. Ilgenfritz, and M.I. Polikarpov","A fresh look on the flux tube in Abelian-projected SU(2) gluodynamics","3 pages, 6 figures, Lattice2002(topology)",,"10.1016/S0920-5632(03)01662-1","ITEP-LAT/2002-14, KANAZAWA-02-22, RCNP-Th02015","hep-lat",,"  We reconsider the properties of the $Q\bar{Q}$ flux tube within
Abelian-projected SU(2) lattice gauge theory in terms of electric field and
monopole current. In the maximal Abelian gauge we assess the influence of the
Gribov copies on the apparent flux-tube profile. For the optimal gauge fixing
we study the independence of the profile on the lattice spacing for $\beta=$
2.3, 2.4, and 2.5115 on a $32^4$ lattice. We decompose the Abelian Wilson loop
into monopole and photon parts and compare the electric and monopole profile
emerging from different sources with the field strength and monopole current
within the dual Ginzburg-Landau theory.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:37:04 GMT""}]","2009-11-07"
"hep-ph/0210125","Isabella Masina","Isabella Masina","Lepton Flavour Violation","9 pages, 1 figure, proceedings of SUSY02; added references",,,,"hep-ph",,"  After a summary of the motivations for searching flavour violating decays and
electric dipole moments in the leptonic sector, I briefly sketch the present
status of the limits on lepton-slepton misalignement and discuss the
potentialities of the planned experimental improvements. Candidates for
theories beyond the Standard Model have to satisfy all these experimental
constraints; I will discuss in particular how the supersymmetric SM extended
with the see-saw faces the flavour problem.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:24:49 GMT""},{""version"":""v2"",""created"":""Mon, 14 Oct 2002 08:23:55 GMT""}]","2007-05-23"
"hep-ph/0210126","Jeff Chizma","J. Chizma, G. Karl","Quark spin coupling in baryons - revisited","10 pages, RevTex; a sign error is corrected, spin-orbit results are
  included","Phys.Rev. D68 (2003) 054007","10.1103/PhysRevD.68.054007",,"hep-ph",,"  A direct connection can be made between mixing angles in negative parity
baryons and the spin coupling of constituent quarks. The mixing angles do not
depend on spectral data. These angles are recalculated for gluon exchange and
pion exchange between quarks. For pion exchange the results of Glozman and
Riska are corrected. The experimental data on mixing are very similar to those
derived from gluon exchange but substantially different from the values
obtained for pion exchange.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:30:13 GMT""},{""version"":""v2"",""created"":""Thu, 1 May 2003 19:09:37 GMT""}]","2009-11-07"
"hep-ph/0210127","Y. Y. Keum","Y.-Y. Keum","Dynamically enhanced $B\to K^*\pi$ decays in perturbative QCD","4 pages, Revtex, 2 figures, typos corrected and the version for
  publication (To appear in Physical Review Letters)",,,"DPNU-02-33","hep-ph",,"  We investigate the $B \to K^{*}\pi$ decays, one of hardly understandable
processes among charmless B-meson decays, within the perturbative QCD method.
Owing to the dynamically enhanced mechanism in PQCD, we obtain large branching
ratios and large direct CP asymmetries, for instance, $Br(B^0 \to
K^{*\pm}\pi^{\mp})=(9.1^{+4.9+0.3}_{-3.9-0.2})\times 10^{-6}$, $Br(B^{\pm} \to
K^{*0}\pi^{\pm})=(10.0^{+5.3}_{-3.5}\pm 0.0)\times 10^{-6}$; $Acp(B^0 \to
K^{*\pm}\pi^{\mp})=(-19.2^{+0.5}_{-1.7})%$, and $Acp(B^{\pm} \to
K^{*\pm}\pi^{0})=(-43.7^{+4.0}_{-4.2})%$. The branching ratios are consistent
with experimental data and large direct CP violation effects will be tested by
near future experimental measurements in Asymmetric B-factory.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:43:29 GMT""},{""version"":""v2"",""created"":""Tue, 22 Oct 2002 12:05:38 GMT""}]","2007-05-23"
"hep-ph/0210128","Bilenky Samoil M.","S. M. Bilenky","A Lecture on Neutrino Masses, Mixing and Oscillations","Report at the International School of Physics ``Enrico Fermi'',
  Varenna, August 2002",,,,"hep-ph",,"  Neutrino mixing and basics of neutrino oscillations are considered. Recent
evidences in favour of neutrino oscillations, obtained in the solar and
atmospheric neutrino experiments, are discussed. Neutrino oscillations in the
solar and atmospheric ranges of $\Delta m^{2}$ are considered in the framework
of the minimal scheme with the mixing of three massive neutrinos.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:46:12 GMT""}]","2007-05-23"
"hep-ph/0210129","Anatoly D. Erlykin","A.D.Erlykin, A.W.Wolfendale","How Should We Modify the High Energy Interaction Models ?","4 pages, 3 figures, talk presented at XII International Symposium on
  Very High Energy Cosmic Ray Interactions, CERN, Geneva, 15-19 July 2002, to
  be published in Nucl.Phys.B (Proc. Suppl.)","Nucl.Phys.Proc.Suppl.122:368-371,2003","10.1016/S0920-5632(03)80420-6",,"hep-ph astro-ph",,"  An analysis has been made of the present situation with respect to the high
energy hadron-nucleus and nucleus-nucleus interaction models as applied to
cosmic rays. As is already known, there are inconsistencies in the
interpretation of experimental data on the primary mass composition, which
appear when different EAS components are used for the analyses, even for the
same experiment. In the absence of obvious experimental defects, there is a
clear need for an improvement to the existing models; we argue that the most
promising way is to enlist two effects which should be present in nucleus-
nucleus collisions but have not been allowed for before. These are: a few
percent energy transfer into the EAS electromagnetic component due to electron-
positron pair production or electromagnetic radiation of the quark-gluon plasma
and a small slow-down of the cascading process in its initial stages associated
with the extended lifetime of excited nuclear fragments. The latter process
displaces the shower maximum deeper into the atmosphere.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:26:03 GMT""}]","2014-11-17"
"hep-ph/0210130","Maria E. Tejeda-Yeomans","George Sterman and Maria E. Tejeda-Yeomans (SUNY, Stony Brook)","Multi-loop Amplitudes and Resummation","14 pages, LateX2e using elsart.cls (included). Typographical errors
  corrected and expansion in renormalized coupling clarified. Thanks added to
  Z. Bern and L. Dixon for critical readings of the original version","Phys.Lett.B552:48-56,2003","10.1016/S0370-2693(02)03100-3","YITP-SB-02-56","hep-ph",,"  We explore the relation between resummation and explicit multi-loop
calculations for QCD hard-scattering amplitudes. We describe how the
factorization properties of amplitudes lead to the exponentiation of double and
single poles at each order of perturbation theory. For these amplitudes,
previously-observed relations between single and double poles in different 2 to
2 processes can now be interpreted in terms of universal functions associated
with external partons and process-dependent anomalous dimensions that describe
coherent soft radiation. Catani's proposal for multiple poles in
dimensionally-continued amplitudes emerges naturally.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:29:37 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 2002 20:46:56 GMT""},{""version"":""v3"",""created"":""Wed, 6 Apr 2005 17:23:55 GMT""}]","2014-11-17"
"hep-ph/0210131","P. Q. Hung","P. Q. Hung (U. of Virginia)","A new mechanism for a naturally small Dirac neutrino mass","6 pages (2 with figures), twocolumn format","Phys.Rev. D67 (2003) 095011","10.1103/PhysRevD.67.095011",,"hep-ph",,"  A mechanism is proposed in which a right-handed neutrino zero mode and a
right-handed charged lepton zero mode can be localized at the same place along
an extra compact dimension while having markedly different spreads in their
wave functions: a relatively narrow one for the neutrino and a rather broad one
for the charged lepton. In their overlaps with the wave function for the
left-handed zero modes, this mechanism could produce a natural large hierarchy
in the effective Yukawa couplings in four dimensions, and hence a large
disparity in masses.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:45:02 GMT""}]","2009-11-07"
"hep-ph/0210132","Christian Weiss","C. Weiss (Regensburg University)","Modeling power corrections to the Bjorken sum rule for the neutrino
  structure function F_1","3 pages, 1 figure, uses iopart.cls. Proceedings of the 4th NuFact'02
  Workshop ""Neutrino Factories based on Muon Storage Rings"", Imperial College,
  London, July 1-6, 2002","J.Phys.G29:1981-1984,2003","10.1088/0954-3899/29/8/385",,"hep-ph",,"  Direct measurements of the the structure functions F_1^{nu p} and F_1^{nu n}
at a neutrino factory would allow for an accurate extraction of alpha_s from
the Q^2-dependence of the Bjorken sum rule, complementing that based on the
Gross-Llewellyn-Smith sum rule for F_3. We estimate the power (1/Q^2-)
corrections to the Bjorken sum rule in the instanton vacuum model. For the
reduced matrix element of the flavor-nonsinglet twist-4 operator
ubar_g_Gdual_gamma_gamma5_u - (u -> d) we obtain a value of 0.18 GeV^2, in good
agreement with the QCD sum rule calculations of Braun and Kolesnichenko. Our
result allows to reduce the theoretical error in the determination of alpha_s.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:56:12 GMT""}]","2008-11-26"
"hep-ph/0210134","Mariano Quiros","G.v. Gersdorff, N. Irges, M. Quiros","Radiative brane-mass terms in D>5 orbifold gauge theories","12 pages, 2 figures, axodraw.sty. v2: important typoes corrected and
  reference added. v3: logarithmic corrections to tadpole included","Phys.Lett.B551:351-359,2003","10.1016/S0370-2693(02)03039-3","IEM-FT/227-02","hep-ph hep-th",,"  A gauge theory with gauge group G defined in D>4 space-time dimensions can be
broken to a subgroup H on four dimensional fixed point branes, when
compactified on an orbifold. Mass terms for extra dimensional components of
gauge fields A_i (brane scalars) might acquire (when allowed by the brane
symmetries) quadratically divergent radiative masses and thus jeopardize the
stability of the four-dimensional theory. We have analyzed Z_2
compactifications and identified the brane symmetries remnants of the higher
dimensional gauge invariance. No mass term is allowed for D=5 while for D>5 a
tadpole \epsilon^{ij}F_{ij}^\alpha can appear when there are U_\alpha(1)
factors in H. A detailed calculation is done for the D=6 case and it is
established that the tadpole is related, although does not coincide, with the
U_\alpha(1) anomaly induced on the brane by the bulk fermions. In particular,
no tadpole is generated from gauge bosons or fermions in real representations
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 20:41:07 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 2002 11:18:27 GMT""},{""version"":""v3"",""created"":""Tue, 15 Oct 2002 17:19:43 GMT""}]","2010-11-19"
"hep-ph/0210135","Ed Berger","Edmond L. Berger (Argonne) and Jianwei Qiu (Iowa State)","Differential Cross Section for Higgs Boson Production Including
  All-Orders Soft Gluon Resummation","42 pages, latex, 26 figures. All figures replaced. Some changes in
  wording. Published in Phys. Rev. D67, 034026 (2003)","Phys.Rev.D67:034026,2003","10.1103/PhysRevD.67.034026","ANL-HEP-PR-02-057","hep-ph hep-ex hep-th",,"  The transverse momentum $Q_T$ distribution is computed for inclusive Higgs
boson production at the energy of the CERN Large Hadron Collider. We focus on
the dominant gluon-gluon subprocess in perturbative quantum chromodynamics and
incorporate contributions from the quark-gluon and quark-antiquark channels.
Using an impact-parameter $b$-space formalism, we include all-orders
resummation of large logarithms associated with emission of soft gluons. Our
resummed results merge smoothly at large $Q_T$ with the fixed-order
expectations in perturbative quantum chromodynamics, as they should, with no
need for a matching procedure. They show a high degree of stability with
respect to variation of parameters associated with the non-perturbative input
at low $Q_T$. We provide distributions $d\sigma/dy dQ_T$ for Higgs boson masses
from $M_Z$ to 200 GeV. The average transverse momentum at zero rapidity $y$
grows approximately linearly with mass of the Higgs boson over the range $M_Z <
m_h <200$ GeV, $<Q_T> \simeq 0.18 m_h + 18 $~GeV. We provide analogous results
for $Z$ boson production, for which we compute $<Q_T> \simeq 25$ GeV. The
harder transverse momentum distribution for the Higgs boson arises because
there is more soft gluon radiation in Higgs boson production than in $Z$
production.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 23:02:12 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 2003 18:30:11 GMT""}]","2008-11-26"
"hep-ph/0210136","Alfred Tang","Alfred Tang and John W. Norbury","Parameterizations of Invariant Meson Production Cross Section","30 pages, 19 figures and 2 tables",,,,"hep-ph",,"  The Lund string fragmentation model is applied in a non-perturbative
calculation of the invariant production cross section of pions from
proton-proton collisions in the soft pT region. Invariant production cross
sections of pions and kaons from proton-proton collisions in the hard pT region
are calculated from the Feynman-Field perturbative QCD parton model.
Parameterizations of these production invariant cross sections are described.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 23:09:09 GMT""},{""version"":""v2"",""created"":""Mon, 16 Dec 2002 17:11:32 GMT""}]","2007-05-23"
"hep-ph/0210137","Enrico Nardi","Martin Hirsch, Enrico Nardi, Diego Restrepo","Bounds on the tau and muon neutrino vector and axial vector charge
  radius","20 pages, 2 eps figures. CCFR data included in the analysis.
  Conclusion unchanged","Phys.Rev.D67:033005,2003","10.1103/PhysRevD.67.033005",,"hep-ph",,"  A Majorana neutrino is characterized by just one flavor diagonal
electromagnetic form factor: the anapole moment, that in the static limit
corresponds to the axial vector charge radius <r^2_A>. Experimental information
on this quantity is scarce, especially in the case of the tau neutrino. We
present a comprehensive analysis of the available data on the single photon
production process $e^+ e^- -> \nu \bar\nu \gamma$ off Z-resonance, and we
discuss the constraints that these measurements can set on <r^2_A> for the tau
neutrino. We also derive limits for the Dirac case, when the presence of a
vector charge radius <r^2_V> is allowed. Finally, we comment on additional
experimental data on $\nu_\mu$ scattering from the NuTeV, E734, CCFR and
CHARM-II collaborations, and estimate the limits implied for <r^2_A> and
<r^2_V> for the muon neutrino.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 02:47:41 GMT""},{""version"":""v2"",""created"":""Tue, 22 Oct 2002 18:46:54 GMT""}]","2008-11-26"
"hep-ph/0210138","Seiichi Wakaizumi","T. Hattori (U. of Tokushima), T. Hasuike (Anan Col. Technology), S.
  Wakaizumi (U. of Tokushima)","Flavor changing neutrino interactions and CP violation in neutrino
  oscillations","18 pages in LaTeX2e, 12 ps figures. The discussion of detectability
  of the CP violation is deleted","Prog.Theor.Phys.114:439-449,2005","10.1143/PTP.114.439",,"hep-ph",,"  We investigate the interference effects of non-standard neutrino-matter
interactions (NSNI) with the mass-induced neutrino oscillations. The NSNI is
composed of flavor-changing neutrino interactions (FCNI) and flavor-diagonal
neutrino interactions (FDNI). Both of the interactions are introduced in the
\nu_\mu -\nu_\tau sector and the \nu_e -\nu_\mu sector in order to study their
effects in \nu_\mu\to\nu_\tau and \nu_\mu\to\nu_e oscillations, respectively.
The FCNI effect proves to possibly dominate the CP violating effect and
significantly survive as a fake CP violating effct in the neutrino energy
region where the pure CP violating effect, ordinary matter effect and FDNI
effect fall, for example, above 4 GeV at the baseline of L=730 km in the
\nu_\mu\to\nu_\tau oscillation for the maximum parameter values of FCNI and
FDNI allowed by the atmospheric neutrino oscillation data. The FCNI and FDNI
effects on CP violation in the $\nu_\mu\to\nu_e$ oscillation are negligibly
small due to the stringent constraints on FCNI from the bounds on lepton flavor
violating processes and on FDNI from the limits on lepton universality
violation.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:19:17 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 2002 02:26:31 GMT""},{""version"":""v3"",""created"":""Sat, 26 Oct 2002 07:08:19 GMT""},{""version"":""v4"",""created"":""Fri, 13 Dec 2002 05:16:27 GMT""},{""version"":""v5"",""created"":""Thu, 26 Dec 2002 07:21:58 GMT""},{""version"":""v6"",""created"":""Tue, 7 Oct 2003 08:53:45 GMT""},{""version"":""v7"",""created"":""Mon, 17 Nov 2003 02:05:39 GMT""}]","2009-08-05"
"hep-ph/0210139","Heribert Weigert","A. Freund, K. Rummukainen, H. Weigert and A. Schaefer","Geometric scaling in inclusive e A reactions and nonlinear perturbative
  QCD",,"Phys.Rev.Lett. 90 (2003) 222002","10.1103/PhysRevLett.90.222002","HIP-2002-48/TH, NORDITA-2002-68/HE","hep-ph",,"  In this note we report on geometric scaling in inclusive e A scattering data
from the NMC and E665 experiments. We show that this scaling, as well as
nuclear shadowing, is expected in the framework of nonlinear pQCD at small x
based on a simple rescaling argument for e p scattering.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 08:47:33 GMT""}]","2009-11-07"
"hep-ph/0210140","Patrick Huber","Patrick Huber","CP, T and CPT violation in future long baseline experiments","Talk presented at NUFACT02, London, 1-6 July, 2002. 3 pages, 2
  figures","J.Phys.G29:1853-1856,2003","10.1088/0954-3899/29/8/359",,"hep-ph",,"  I give a short overview about the possibilities and problems related to the
measurement of CP violation in long baseline experiments. Special attention is
paid to the issue of degeneracies and a method for their resolution is
quantitatively discussed. The CP violation reach for different experiments is
compared in dependence of $\sin^22\theta_{13}$ and $\dm{21}$. Furthermore a
short comment about the possible effects of matter induced T violation is made.
Finally the limits on CPT violation obtainable at a neutrino factory are shown.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 09:12:15 GMT""}]","2016-09-06"
"hep-ph/0210141","Petr Zavada","Petr Zavada","Proton spin structure and valence quarks","20 pages, Tex, 2 figures (eps format). Minor language corrections are
  done in the revised version. Accepted for publication in Phys. Rev. D","Phys.Rev. D67 (2003) 014019","10.1103/PhysRevD.67.014019",,"hep-ph",,"  The spin structure of the system of quasifree fermions having total angular
momentum $J=1/2$ is studied in a consistently covariant approach. Within this
model the relations between the spin functions are obtained. Their particular
cases are the sum rules Wanzura - Wilczek, Efremov - Leader - Teryaev,
Burkhardt - Cottingham and also the expression for the Wanzura - Wilczek twist
2 term $g_{2}^{WW}$. With the use of the proton valence quark distributions as
an input, the corresponding spin functions are obtained. The resulting
structure functions $g_{1}$ and $g_{2}$ are well compatible with the
experimental data.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:22:23 GMT""},{""version"":""v2"",""created"":""Wed, 27 Nov 2002 10:31:43 GMT""}]","2009-11-07"
"hep-ph/0210142","Manuel Drees","Manuel Drees (TU Munich)","Astroparticle Physics and Colliders","LaTeX with equation.sty and axodraw.sty (included), 21 p., 5 figures;
  invited plenary talk at LCWS2002, Jeju Island, Republic of Korea. v.2:
  Replaced one reference",,,"TUM-HEP-483/02","hep-ph astro-ph",,"  In this talk I discuss the interplay between collider physics and four topics
of astro-particle physics: neutrino oscillations, electroweak baryogenesis, LSP
Dark Matter, and ultra-high energy cosmic rays (UHECR). Some astrophysical
scenarios can (only) be tested decisively at colliders. In other cases input
from collider experiments is required to sharpen predictions for future
astro--particle physics experiments, e.g. for the LSP detection rate or the
UHECR spectrum in top--down models.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:52:20 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 2002 08:10:47 GMT""}]","2007-05-23"
"hep-ph/0210143","Manuel Masip","M. Masip (Granada U.)","Cosmic Rays and New Physics at the TeV: the Neutrino-Nucleon Cross
  Section","12 pages, talk presented at Quarks-2002, Valday-Novgorod the Great,
  Russia, June 1-7, 2002 (to appear in the proceedings)",,,,"hep-ph",,"  Ultrahigh energy neutrinos can be used to explore the physics at the TeV
scale. We study the neutrino-nucleon cross section in models with extra
dimensions and the fundamental scale at the TeV. In particular, we discuss the
production of string resonances and the gravitational interactions
(multigraviton exchange and production of microscopic black holes) in these
models. We show that the new TeV physics could give observable signals in
horizontal air showers and neutrino telescopes.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:19:59 GMT""}]","2007-05-23"
