"astro-ph/0210617","Dan Hooper","Dan Hooper and Brenda Dingus","Limits on Supersymmetric Dark Matter From EGRET Observations of the
  Galactic Center Region","4 pages, 3 figures","Phys.Rev. D70 (2004) 113007","10.1103/PhysRevD.70.113007","MAD-PH-02-1310, LAUR-02-6743","astro-ph hep-ph",,"  In most supersymmetic models, neutralino dark matter particles are predicted
to accumulate in the Galactic center and annihilate generating, among other
products, gamma rays. The EGRET experiment has made observations in this
region, and is sensitive to gamma rays from 30 MeV to $\sim$30 GeV. We have
used an improved point source analysis including an energy dependent point
spread function and an unbinned maximum likelihood technique, which has allowed
us to significantly lower the limits on gamma ray flux from the Galactic
center. We find that the present EGRET data can limit many supersymmetric
models if the density of the Galactic dark matter halo is cuspy or spiked
toward the Galactic center. We also discuss the ability of GLAST to test these
models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:24:14 GMT""}]","2009-11-07"
"cond-mat/0210663","Paul Maragakis","Paul Maragakis, Ryan Lee Barnett, Efthimios Kaxiras, Marcus Elstner,
  Thomas Frauenheim","Electronic structure of overstretched DNA","4 pages","Phys. Rev. B 66, 241104(R) (2002)","10.1103/PhysRevB.66.241104",,"cond-mat.mtrl-sci",,"  Minuscule molecular forces can transform DNA into a structure that is
elongated by more than half its original length. We demonstrate that this
pronounced conformational transition is of relevance to ongoing experimental
and theoretical efforts to characterize the conducting properties of DNA wires.
We present quantum mechanical calculations for acidic, dry, poly(CG).poly(CG)
DNA which has undergone elongation of up to 90 % relative to its natural
length, along with a method for visualizing the effects of stretching on the
electronic eigenstates. We find that overstretching leads to a drastic drop of
the hopping matrix elements between localized occupied electronic states
suggesting a dramatic decrease in the conductivity through holes.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:22:10 GMT""}]","2010-07-06"
"cond-mat/0210664","Marco Polini","B. Davoudi, R. Asgari, M. Polini, M. P. Tosi","Self-consistent scattering theory of the pair distribution function in
  charged Bose fluids","7 pages, 4 figures","Phys. Rev. B 67, 172503 (2003)","10.1103/PhysRevB.67.172503",,"cond-mat.soft",,"  We use a density functional theoretical approach to calculate the pair
distribution function and the effective interactions in homogeneous fluids of
spinless charged bosons. The scheme involves the self-consistent solution of a
two-particle scattering problem with an effective scattering potential which
embodies many-body effects and is adjusted to the compressibility sum rule.
Numerical results are presented over an extensive range of density in both
three and two dimensions.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:44:23 GMT""}]","2009-11-07"
"cond-mat/0210665","Andrea Cavagna","Andrea Cavagna, Irene Giardina, Giorgio Parisi, Marc Mezard","On the formal equivalence of the TAP and thermodynamic methods in the SK
  model","17 pages, 3 figures","J. Phys. A: Math. Gen. 36, 1175 (2003)","10.1088/0305-4470/36/5/301",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We revisit two classic Thouless-Anderson-Palmer (TAP) studies of the
Sherrington-Kirkpatrick model [Bray A J and Moore M A 1980 J. Phys. C 13, L469;
De Dominicis C and Young A P, 1983 J. Phys. A 16, 2063]. By using the
Becchi-Rouet-Stora-Tyutin (BRST) supersymmetry, we prove the general
equivalence of TAP and replica partition functions, and show that the annealed
calculation of the TAP complexity is formally identical to the quenched
thermodynamic calculation of the free energy at one step level of replica
symmetry breaking. The complexity we obtain by means of the BRST symmetry turns
out to be considerably smaller than the previous non-symmetric value.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 11:40:23 GMT""}]","2009-11-07"
"cond-mat/0210667","Alexander I. Olemskoi","A.I. Olemskoi","Statistical theory of self--similar time series","8 pages, 1 figures, PostScript",,,"SSU-2002-10-1","cond-mat.stat-mech",,"  Within Tsallis statistics, a picture is elaborated to address self--similar
time series as a thermodynamic system. Thermodynamic--type characteristics
relevant to temperature, pressure, entropy, internal and free energies are
introduced and tested. Predictability conditions of time series analysis are
discussed in details on the basis of Van der Waals model. Maximal magnitude for
time interval and minimal resolution scale of the value under consideration are
found and analyzed in details. Time series statistics is shown to be governed
by effective temperature being exponential measure of the fractal
dimensionality of a phase space related to the time series.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:19:19 GMT""}]","2007-05-23"
"cond-mat/0210668","Samuel Moukouri","S. Moukouri (Michigan) and L.G. Caron (Sherbrooke)","A Renormalization Group Method for Quasi One-dimensional Quantum
  Hamiltonians","4 pages, 4 figures","Phys. Rev. B 67, 092405 (2003)","10.1103/PhysRevB.67.092405",,"cond-mat.str-el",,"  A density-matrix renormalization group (DMRG) method for highly anisotropic
two-dimensional systems is presented. The method consists in applying the usual
DMRG in two steps. In the first step, a pure one dimensional calculation along
the longitudinal direction is made in order to generate a low energy
Hamiltonian. In the second step, the anisotropic 2D lattice is obtained by
coupling in the transverse direction the 1D Hamiltonians. The method is applied
to the anisotropic quantum spin half Heisenberg model on a square lattice.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:11:58 GMT""},{""version"":""v2"",""created"":""Mon, 26 May 2003 17:42:52 GMT""}]","2009-11-07"
"cond-mat/0210669","Alexander Buehler","Alexander Buehler, Ute Loew, Kai P. Schmidt, Goetz S. Uhrig","Thermodynamic Properties of Spin Ladders with Cyclic Exchange","6 pages, 7 figures","PRB, Vol. 67, 134428 (2003)","10.1103/PhysRevB.67.134428",,"cond-mat.str-el",,"  By high temperature series expansion and exact complete diagonalization the
magnetic susceptibility chi(T) and the specific heat C(T) of a two-leg S=1/2
ladder with cyclic (4-spin) exchange are computed. Both methods yield
convincing results for not too small temperatures. We find that a small amount
of cyclic exchange influences the thermodynamical properties significantly. Our
results can serve as reliable basis for an efficient analysis of experimental
data
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 13:40:09 GMT""}]","2009-11-07"
"cond-mat/0210670","Vasiliy N. Glazkov","Vasiliy N. Glazkov, H.-A. Krug von Nidda","Magnetic phase diagram and structure of the magnetic phases in the
  quasi-one-dimensional antiferromagnet BaCu_2Si_2O_7: symmetry analysis","REVTEX, 8 pages, 4 Figires V3: misprints fixed, small changes due to
  the discussion with PRB referee","Physical Review B 69, 212405 (2004)","10.1103/PhysRevB.69.212405",,"cond-mat.str-el",,"  We have performed a symmetry analysis of the properties of the recently
discovered quasi-one-dimensional compound BaCu_2Si_2O_7. The existence of the
unusual spin-reorientation transitions is explained as an effect of the
unusually strong relativistic interactions. The possible connection between the
magnitude of the relativistic interactions and the low-dimensional structure of
the BaCu_2Si_2O_7 is discussed. The structure of the magnetic phases is
determined.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:30:27 GMT""},{""version"":""v2"",""created"":""Thu, 31 Oct 2002 07:49:25 GMT""},{""version"":""v3"",""created"":""Wed, 26 Feb 2003 11:41:32 GMT""}]","2009-11-07"
"cond-mat/0210671","David Bowler","M.Todorovic, A.J.Fisher and D.R.Bowler","Diffusion of a polaron in dangling bond wires on Si(001)","8 pages, 4 figures, accepted as a letter in J.Phys.:Condens. Matter",,,,"cond-mat.mtrl-sci",,"  Injecting charge into dangling bond wires on Si(001) has been shown to induce
polarons, which are weakly coupled to the underlying bulk phonons. We present
elevated temperature tight binding molecular dynamics simulations designed to
obtain a diffusion barrier for the diffusive motion of these polarons. The
results indicate that diffusion of the polarons would be observable at room
temperature, and that the polarons remain localised even at high temperatures.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:35:17 GMT""},{""version"":""v2"",""created"":""Mon, 4 Nov 2002 14:52:33 GMT""}]","2007-05-23"
"cond-mat/0210672","Maria Elina Simon","M. E. Simon and C. M. Varma (Bell Laboratories, Lucent Technologies)","Symmetry Considerations for the Detection of Second-Harmonic Generation
  in Cuprates in the Pseudogap phase","7 pages, 2 figures included",,"10.1103/PhysRevB.67.054511",,"cond-mat.supr-con cond-mat.str-el",,"  A proposal to test the proposed time-reversal and inversion breaking phase in
the Pseudogap region of the Cuprate compounds through the variation of
Second-harmonic generation intensity with temperature and polarization and
angle of incidence is presented.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:35:08 GMT""}]","2009-11-07"
"cond-mat/0210673","Girish S. Setlur","Girish S. Setlur (IMSc., Chennai)","U(1) Gauge Theory as Quantum Hydrodynamics","15 pages, Plain LaTeX, final published version","Pramana62:101-114,2004","10.1007/BF02704430",,"cond-mat.other hep-th",,"  It is shown that gauge theories are most naturally studied via a polar
decomposition of the field variable. Gauge transformations may be viewed as
those that leave the density invariant but change the phase variable by
additive amounts. The path integral approach is used to compute the partition
function. When gauge fields are included, the constraint brought about by gauge
invariance simply means an appropriate linear combination of the gradients of
the phase variable and the gauge field is invariant. No gauge fixing is needed
in this approach that is closest to the spirit of the gauge principle.
  We derive an exact formula for the condensate fraction and in case it is
zero, an exact formula for the anomalous exponent. We also derive a formula for
the vortex strength which involves computing radiation corrections.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:36:28 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 2003 16:10:00 GMT""},{""version"":""v3"",""created"":""Mon, 26 Jan 2004 14:01:44 GMT""}]","2016-08-31"
"cs/0210028","Sara Cohen","Sara Cohen, Werner Nutt, Yehoshua Sagiv","Equivalences Among Aggregate Queries with Negation","28 pages",,,,"cs.DB cs.LO",,"  Query equivalence is investigated for disjunctive aggregate queries with
negated subgoals, constants and comparisons. A full characterization of
equivalence is given for the aggregation functions count, max, sum, prod,
toptwo and parity. A related problem is that of determining, for a given
natural number N, whether two given queries are equivalent over all databases
with at most N constants. We call this problem bounded equivalence. A complete
characterization of decidability of bounded equivalence is given. In
particular, it is shown that this problem is decidable for all the above
aggregation functions as well as for count distinct and average. For
quasilinear queries (i.e., queries where predicates that occur positively are
not repeated) it is shown that equivalence can be decided in polynomial time
for the aggregation functions count, max, sum, parity, prod, toptwo and
average. A similar result holds for count distinct provided that a few
additional conditions hold. The results are couched in terms of abstract
characteristics of aggregation functions, and new proof techniques are used.
Finally, the results above also imply that equivalence, under bag-set
semantics, is decidable for non-aggregate queries with negation.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:19:12 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 18:27:58 GMT""}]","2007-05-23"
"cs/0210029","Carlos Henrique Marcondes","Carlos H. Marcondes, Luis Fernando Sayao","Integration and interoperability accessing electronic information
  resources in science and technology: the proposal of Brazilian Digital
  Library","9 pages, 2 figure. Paper presented to the International Congress on
  Enterprise Information Systems/Workshop on NDDL - New Developments in Digital
  Libraries, April, 2002, Ciudad Real, Spain. Proceeedings. Ciudad Real,Spain:
  ICEIS Press 2002. p.104-115",,,,"cs.DL",,"  This paper describes technological and methodological options to achieve
interoperability in accessing electronic information resources, available in
Internet, in the scope of Brazilian Digital Library in Science and Technology
Project - BDL, developed by Brazilian Institute for Scientific and Technical
Information - IBICT. It stresses the impact of the Web in the publishing and
communication processes in science and technology and also in the information
systems and libraries. The work points out the two major objectives of the BDL
Project: facilitates electronic publishing of different full text materials
such as theses, journal articles, conference papers,grey literature - by
Brazilian scientific community, so amplifying their nationally and
internationally visibility; and achieving, through a unified gateway, thus
avoiding a user to navigate and query across different information resources
individually. The work explains technological options and standards that will
assure interoperability in this context.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:02:21 GMT""}]","2007-05-23"
"cs/0210030","Johan Suykens","J.A.K. Suykens, J. Vandewalle, B. De Moor","Intelligence and Cooperative Search by Coupled Local Minimizers","25 pages, 10 figures","Int. J. Bifurcation and Chaos, Vol.11, No.8, pp.2133-2144, 2001",,,"cs.AI cs.MA cs.NE",,"  We show how coupling of local optimization processes can lead to better
solutions than multi-start local optimization consisting of independent runs.
This is achieved by minimizing the average energy cost of the ensemble, subject
to synchronization constraints between the state vectors of the individual
local minimizers. From an augmented Lagrangian which incorporates the
synchronization constraints both as soft and hard constraints, a network is
derived wherein the local minimizers interact and exchange information through
the synchronization constraints. From the viewpoint of neural networks, the
array can be considered as a Lagrange programming network for continuous
optimization and as a cellular neural network (CNN). The penalty weights
associated with the soft state synchronization constraints follow from the
solution to a linear program. This expresses that the energy cost of the
ensemble should maximally decrease. In this way successful local minimizers can
implicitly impose their state to the others through a mechanism of master-slave
dynamics resulting into a cooperative search mechanism. Improved information
spreading within the ensemble is obtained by applying the concept of
small-world networks. This work suggests, in an interdisciplinary context, the
importance of information exchange and state synchronization within ensembles,
towards issues as evolution, collective behaviour, optimality and intelligence.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 11:59:57 GMT""}]","2007-05-23"
"gr-qc/0210100","Michael Heller","M. Heller, Z. Odrzygozdz, L. Pysiak, W. Sasin","Structure of Malicious Singularities","18 pages, LaTex","Int.J.Theor.Phys.42:427-441,2003","10.1023/A:1024429613783","CGC-10-02","gr-qc",,"  We investigate spacetimes with their singular boundaries as noncommutative
spaces. Such a space is defined by a noncommutative algebra on a transformation
groupoid $\Gamma = E \times G$, where $E$ is the total space of the frame
bundle over spacetime with its singular boundary, and $G$ its structural group.
There is a bijective correspondence between unitary representations of the
groupoid $\Gamma $ and the systems of imprimitivity of the group $G$. This
allows us to apply the Mackey theorem, and deduce from it some information
concerning singular fibres of the groupoid. A subgroup $K$ of $G$, from which
-- according to the Mackey theorem -- the representation is induced to the
whole of $G$, can be regarded as measuring the ""richness"" of the singularity
structure.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:18:42 GMT""}]","2014-11-17"
"gr-qc/0210101","Carsten Gundlach","Carsten Gundlach","Critical phenomena in gravitational collapse (Physics Reports)","LaTex, 65 pages, 7 eps figures","Phys.Rept.376:339-405,2003","10.1016/S0370-1573(02)00560-4",,"gr-qc",,"  In general relativity black holes can be formed from regular initial data
that do not contain a black hole already. The space of regular initial data for
general relativity therefore splits naturally into two halves: data that form a
black hole in the evolution and data that do not. The spacetimes that are
evolved from initial data near the black hole threshold have many properties
that are mathematically analogous to a critical phase transition in statistical
mechanics.
  Solutions near the black hole threshold go through an intermediate attractor,
called the critical solution. The critical solution is either time-independent
(static) or scale-independent (self-similar). In the latter case, the final
black hole mass scales as $(p-p_*)^\gamma$ along any one-parameter family of
data with a regular parameter $p$ such that $p=p_*$ is the black hole threshold
in that family. The critical solution and the critical exponent $\gamma$ are
universal near the black hole threshold for a given type of matter.
  We show how the essence of these phenomena can be understood using dynamical
systems theory and dimensional analysis. We then review separately the analogy
with critical phase transitions in statistical mechanics, and aspects specific
to general relativity, such as spacetime singularities. We examine the evidence
that critical phenomena in gravitational collapse are generic, and give an
overview of their rich phenomenology.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:31:25 GMT""}]","2008-11-26"
"gr-qc/0210102","Nils Andersson","K.H. Lockitch, J.L. Friedman and N. Andersson","The rotational modes of relativistic stars: Numerical results","RevTeX, 29 pages, 31 eps figures","Phys.Rev. D68 (2003) 124010","10.1103/PhysRevD.68.124010",,"gr-qc astro-ph",,"  We study the inertial modes of slowly rotating, fully relativistic compact
stars. The equations that govern perturbations of both barotropic and
non-barotropic models are discussed, but we present numerical results only for
the barotropic case. For barotropic stars all inertial modes are a hybrid
mixture of axial and polar perturbations. We use a spectral method to solve for
such modes of various polytropic models. Our main attention is on modes that
can be driven unstable by the emission of gravitational waves. Hence, we
calculate the gravitational-wave growth timescale for these unstable modes and
compare the results to previous estimates obtained in Newtonian gravity (i.e.
using post-Newtonian radiation formulas). We find that the inertial modes are
slightly stabilized by relativistic effects, but that previous conclusions
concerning eg. the unstable r-modes remain essentially unaltered when the
problem is studied in full general relativity.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:12:15 GMT""}]","2009-11-07"
"gr-qc/0210103","Piotr Chrusciel","Piotr T. Chrusciel, Rafe Mazzeo","On ""many black hole"" space-times","several graphic files","Class.Quant.Grav. 20 (2003) 729-754","10.1088/0264-9381/20/4/308",,"gr-qc",,"  We analyze the horizon structure of families of space times obtained by
evolving initial data sets containing apparent horizons with several connected
components. We show that under certain smallness conditions the outermost
apparent horizons will also have several connected components. We further show
that, again under a smallness condition, the maximal globally hyperbolic
development of the many black hole initial data constructed by Chrusciel and
Delay, or of hyperboloidal data of Isenberg, Mazzeo and Pollack, will have an
event horizon, the intersection of which with the initial data hypersurface is
not connected. This justifies the ""many black hole"" character of those
space-times.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 21:39:02 GMT""}]","2017-08-23"
"gr-qc/0210104","Vitorio A. De Lorenci","V. A. De Lorenci, R. Klippert, and Yu. N. Obukhov","On optical black holes in moving dielectrics","5 pages, 2 figures, revtex4","Phys.Rev. D68 (2003) 061502","10.1103/PhysRevD.68.061502",,"gr-qc",,"  We study the optical paths of the light rays propagating inside a nonlinear
moving dielectric media. For the rapidly moving dielectrics we show the
existence of a distinguished surface which resembles, as far as the light
propagation is concerned, the event horizon of a black hole. Our analysis
clarifies the physical conditions under which electromagnetic analogues of the
gravitational black holes can eventually be obtained in laboratory.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:04:57 GMT""}]","2009-11-07"
"hep-ph/0210395","Alessandro Melchiorri","Laura Covi, David H. Lyth, Alessandro Melchiorri","New Constraints on the running-mass inflation model","9 pages, 7 figures","Phys.Rev.D67:043507,2003","10.1103/PhysRevD.67.043507","DESY 02-136","hep-ph astro-ph",,"  We evaluate new observational constraints on the two-parameter
scale-dependent spectral index predicted by the running-mass inflation model by
combining the latest Cosmic Microwave Background (CMB) anisotropy measurements
with the recent 2dFGRS data on the matter power spectrum, with Lyman $\alpha $
forest data and finally with theoretical constraints on the reionization
redshift. We find that present data still allow significant scale-dependence of
$n$, which occurs in a physically reasonable regime of parameter space.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:14:54 GMT""}]","2014-11-17"
"hep-ph/0210408","Rikard Enberg","R. Enberg, G. Ingelman, N. Timneanu","Diffractive Higgs bosons and prompt photons at hadron colliders","5 pages, 4 figures, uses REVTeX4. Minor changes","Phys.Rev. D67 (2003) 011301","10.1103/PhysRevD.67.011301","TSL/ISV-2002-0266","hep-ph",,"  Models for soft color interactions have been successful in describing and
predicting diffractive hard scattering processes in ep collisions at DESY HERA
and ppbar at the Fermilab Tevatron. Here we present new comparisons of the
model to recent diffractive dijet data, also showing good agreement. The
topical issue of diffractive Higgs production at the Tevatron and LHC hadron
colliders is further investigated. For H->gamma gamma the irreducible
background of prompt photon pairs from qqbar->gamma gamma and gg->gamma gamma
is always dominating, implying that higher branching ratio decay modes of the
Higgs have to be used. However, such prompt photons can be used to test the
basic prediction for Higgs production since gg->gamma gamma involves a quark
loop diagram similar to gg->H.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:49:59 GMT""},{""version"":""v2"",""created"":""Tue, 26 Nov 2002 13:39:08 GMT""}]","2009-11-07"
"hep-ph/0210409","Wolf-Dieter Nowak","Wolf-Dieter Nowak","Physics Objectives for Future Studies of the Spin Structure of the
  Nucleon","13 pages, 4 figures, Inv. talk at NATO `Advanced Spin Physics
  Workshop', June 30-July 3, 2002, Nor-Hamberd, Armenia. Typos corr. on p.
  2,4,5,6,11. Refs.15+16 updated",,,"DESY 02-189","hep-ph",,"  Physics perspectives are shown for future experiments in electron or positron
scattering on nucleons, towards a deep and comprehensive understanding of the
angular momentum structure of the nucleon in the context of Quantum
Chromodynamics. Measurements of Generalised Parton Distributions in exclusive
reactions and precise determinations of forward Parton Distributions in
semi-inclusive deep inelastic scattering are identified as major physics
topics. Requirements are discussed for a next generation of high-luminosity
fixed-target experiments in the energy range 30-200 GeV.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:40:43 GMT""},{""version"":""v2"",""created"":""Sun, 24 Nov 2002 18:32:07 GMT""}]","2007-05-23"
"hep-ph/0210410","Apostolos Pilaftsis","Alexander M\""uck (W\""urzburg), Apostolos Pilaftsis (Manchester) and
  Reinhold R\""uckl (W\""urzburg)","LEP Constraints on 5-Dimensional Extensions of the Standard Model","6 pages, talk given at the 10th international conference on
  ``Supersymmetry and Unification of Fundamental Interactions,'' Hamburg,
  Germany, 17--23 June 2002",,,"MC-TH-2002-09 and WUE-ITP-2002-029","hep-ph",,"  We study minimal 5-dimensional extensions of the Standard Model, in which all
or only some of the SU(2)$_L$ and U(1)$_Y$ gauge fields and Higgs bosons
propagate in the fifth compact dimension. In all the 5-dimensional settings,
the fermions are assumed to be localized on a 3-brane. In addition, we present
the consistent procedure for quantizing 5-dimensional models in the generalized
$R_\xi$ gauge. Bounds on the compactification scale between 4 and 6 TeV,
depending on the model, are established by analyzing electroweak precision
measurements and LEP2 cross sections.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:08:20 GMT""}]","2007-05-23"
"hep-ph/0210411","Gabriela Barenboim","G. Barenboim and J. Lykken","A model of CPT violation for neutrinos","14 pages","Phys.Lett. B554 (2003) 73-80","10.1016/S0370-2693(02)03262-8",,"hep-ph",,"  Any local relativistic quantum field theory of Dirac-Weyl fermions conserves
CPT. Here we examine whether a simple nonlocal field theory can violate CPT. We
construct a new relativistic field theory of fermions, which we call
``homeotic'', which is nonlocal but causal and Lorentz invariant. The free
homeotic theory is in fact equivalent to free Dirac theory. We show that a
homeotic theory with a suitable nonlocal four-fermion interaction is causal and
as a result has a well-defined perturbative S-matrix. By coupling a
right-handed homeotic fermion to a left-handed Dirac-Weyl fermion, we obtain a
causal theory of CPT-violating neutrino oscillations.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 20:22:55 GMT""}]","2010-04-05"
"hep-ph/0210412","Adrian Dumitru","A. Dumitru (BNL)","High-multiplicity pA collisions and the small-x effective action","6 Pages, 3 Figures; Presented at the Workshop on Coherent Effects at
  RHIC and LHC: Initial Conditions and Hard Probes'', ECT*, Trento (Italy),
  October 14-25, 2002, http://pluto.mpi-hd.mpg.de/trento",,,,"hep-ph",,"  I discuss the p_t distributions for high-multiplicity events originating from
semi-classical variation of the gluon density of the proton.The multiplicity
distribution measures the curvature of the effective action for the small-x
gluon fields. For pA collisions at the RHIC and LHC colliders, semi-classically
the multiplicity distribution reflects the distribution of saturation momenta
of the proton but not that of the nucleus. The average transverse momentum in
the central region grows with dN/dy, while the p_t distribution of leading
hadrons in the proton fragmentation region should depend less on the
multiplicity in the central region.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 20:36:43 GMT""}]","2007-05-23"
"hep-ph/0210414","We-Fu Chang","We-Fu Chang and John N. Ng (TRIUMF)","CP violation in 5D Split Fermions Scenario","24 pages, 8 figures","JHEP 0212:077,2002","10.1088/1126-6708/2002/12/077",,"hep-ph",,"  We give a new configuration of split fermion positions in one extra dimension
with two different Yukawa coupling strengths for up-type, $h_u$, and down-type,
$h_d$, quarks at $\frac{h_u}{h_d}=36.0$. The new configurations can give enough
CP violating (CPV) phase for accommodating all currently observed CPV
processes. Therefore, a 5D standard model with split fermions is viable. In
addition to the standard CKM phase, new CPV sources involving Kaluza-Klein(KK)
gauge bosons coupling which arise from the fact that unitary rotation which
transforms weak eigenstates into their mass eigenstates only holds for the zero
modes which are the SM fields and not for the KK excitations. We have examined
the physics of kaon, neutron, and $B/D$ mesons and found the most stringent
bound on the size $R$ of the extra dimension comes from $|\epsilon_K|$.
Moreover, it depends sensitively on the width, $\sigma$, of the Gaussian
wavefunction in the extra dimension used to describe of the fermions. When
$\sigma/R \ll 1$, the constraint will be lifted due to GIM suppression on the
flavor changing neutral current(FCNC) and CPV couplings.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:36:20 GMT""}]","2011-02-01"
"hep-ph/0210416","Werner Porod","Werner Porod","Reconstruction of Supersymmetric High Scale Theories","8 pages, latex, 3 figures, invited talk given at SUSY02, The 10th
  International Conference on Supersymmetry and Unification of Fundamental
  Interactions, DESY Hamburg, Germany, June 17-23, 2002",,,"ZU-TH 19/02","hep-ph",,"  We demonstrate how the fundamental supersymmetric theory at high energy
scales can be reconstructed using precision data expected at future high energy
collider experiments. We have studied a set of representative examples in this
context: minimal supergravity; gauge mediated supersymmetry breaking; and
superstring effective field theories.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 08:20:17 GMT""}]","2007-05-23"
"hep-ph/0210417","Jan Kalinowski","Wojciech Krolikowski","Does the LMA MSW solar solution imply the Dirac nature of neutrinos?","8 pages, latex, no figures",,,"IFT-02/38","hep-ph",,"  Operating with the bilarge neutrino mixing, we show that in the option of
Dirac neutrinos the fermion universality -- expressed by the proportionality of
neutrino masses to charged-lepton masses -- predicts $\Delta m_{21}^2$ of the
order $10^{-5} {\rm eV}^2$, consistently with the LMA MSW solar solution. In
contrast, in the option of Majorana neutrinos the fermion universality --
introduced as the seesaw proportionality of neutrino masses to charged-lepton
masses squared -- predicts $\Delta m_{21}^2$ of the order $10^{-8} {\rm eV}^2$,
what is consistent rather with the LOW MSW solar solution. Thus, the favored
LMA MSW estimation of $\Delta m_{21}^2$ might be a signal from the Dirac nature
of neutrinos.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 08:46:10 GMT""}]","2007-05-23"
"hep-ph/0210418","Oleg Selugin","O.V. Selyugin","Properties of the Spin-flip Amplitude of Hadron Elastic Scattering and
  Possible Polarization Effects at RHIC","5 pages, LaTeX, 4X3 figures.ps (Talk on SPIN-02 Symposium)",,"10.1063/1.1607192",,"hep-ph",,"  With relation to the RHIC spin program we research the polarization effects
in elastic proton-proton scattering at small momentum transfer and in the
diffraction dip region. The calculations take into account the Coulomb-hadron
interference effects including the additional Coulomb-hadron phase. In
particular we show the impact of the form of the hadron potential at large
distances on the behavior of the hadron spin-flip amplitude at small angles.
The $t$-dependence of the spin-flip amplitude of high energy hadron elastic
scattering is analyzed under different assumptions on the hadron interaction.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:16:22 GMT""}]","2009-11-07"
"hep-ph/0210419","Christian Schubert","Gerald V. Dunne, Christian Schubert","Two-Loop Self-Dual QED","Talk given by C. Schubert at 3rd International Sakharov Conference On
  Physics, 24-29 Jun 2002, Moscow; 12 pages, no figures",,,"UMSNH-Phys-02-11","hep-ph",,"  We present explicit closed-form expressions for the two-loop Euler-Heisenberg
Lagrangians in a constant self-dual field, for both spinor and scalar QED. The
simplicity of these representations allows us to examine in detail the
asymptotic properties of these Lagrangians, and to construct their imaginary
part using Borel dispersion relations. In particular, for this self-dual case
we obtain the explicit form of the Lebedev-Ritus functions appearing in the
Schwinger representation of the imaginary part at two loops. Using the
connection between self-duality and helicity, we also obtain explicit formulas
for the low energy limits of the `all + helicity' N photon amplitudes, in
scalar and spinor QED at one and two loops.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 11:06:53 GMT""}]","2007-05-23"
"hep-ph/0210420","Michael Klasen","Stefan Berge, Michael Klasen (Univ. Hamburg)","The Production of Gluino Pairs in High Energy e+ e- Collisions","Talk presented at the SUSY 2002 conference. 7+1 pages, 5 figures",,,,"hep-ph",,"  In the Minimal Supersymmetric Standard Model (MSSM), the process e+ e- ->
gluino gluino is mediated by quark/squark loops, dominantly of the third
generation, where the mixing of left- and right-handed states can become large.
Taking into account realistic beam polarization effects, photon and Z0-boson
exchange, and current mass exclusion limits, we scan the MSSM parameter space
for various e+e- center-of-mass energies to determine the regions, where gluino
production should be visible.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:16:35 GMT""}]","2007-05-23"
