"astro-ph/0209192","Gianfranco Bertone","Gianfranco Bertone, Claudia Isola, Martin Lemoine, Guenter Sigl","Ultra-High Energy Heavy Nuclei Propagation in Extragalactic Magnetic
  Fields","10 pages, 16 figures, submitted to PRD","Phys.Rev. D66 (2002) 103003","10.1103/PhysRevD.66.103003",,"astro-ph hep-ph",,"  We extend existing work on the propagation of ultra-high energy cosmic rays
in extragalactic magnetic fields to a possible component of heavy nuclei,
taking into account photodisintegration, pion production, and creation of e+e-
pairs. We focus on the influence of the magnetic field on the spectrum and
chemical composition of observed ultra-high energy cosmic rays. We apply our
simulations to the scenarios proposed by Anchordoqui et al, in which Iron
nuclei are accelerated in nearby starburst galaxies, and show that it is in
marginal agreement with the data. We also show that it is highly unlikely to
detect He nuclei from M87 at the highest energies observed $\sim3 10^{20} $eV
as required for the scenario of Ahn et al. in which the highest energy cosmic
rays originate from M87 and are deflected in a Parker spiral Galactic magnetic
field.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:58:44 GMT""}]","2009-11-07"
"gr-qc/0209040","Michael B. Mensky","Michael B. Mensky","Gravitational effects in terms of paths in Minkowski space","10 pages, 4 figures. Replacement: TEXing of Fig.4 corrected","Grav.Cosmol. 8 (2002) S102-S108",,,"gr-qc",,"  An approach is developed which enables one to analyze gravitational effects
without usage of any concrete model of geometry (or a class of models of
geometry) of space-time and even without any coordinate system. Instead, the
formalism of the group of paths is used. An element of this group (a class of
curves in Minkowski space) is associated with each curve in the curved
space-time and called its `flat model'. The analysis of observational data in
terms of flat models of closed curves is interpreted as a formalization of the
analysis which a `naive observer' (knowing nothing about the space-time being
curved) applies to his observations.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:40:07 GMT""},{""version"":""v2"",""created"":""Fri, 13 Sep 2002 12:41:17 GMT""}]","2007-05-23"
"gr-qc/0209041","B. V. Ivanov","B.V.Ivanov","Colliding beams of light","8 pages, RevTex, journal version, to appear in CQG","Class.Quant.Grav. 20 (2003) 397-406","10.1088/0264-9381/20/3/301",,"gr-qc",,"  The stationary gravitational field of two identical counter-moving beams of
pure radiation is found in full generality. The solution depends on an
arbitrary function and a parameter which sets the scale of the energy density.
Some of its properties are studied. Previous particular solutions are derived
as subcases.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:01:06 GMT""},{""version"":""v2"",""created"":""Sat, 28 Dec 2002 09:11:38 GMT""}]","2017-08-23"
"gr-qc/0209042","Christodoulakis Theodosios","T. Christodoulakis, G.O. Papadopoulos, A. Dimakis","Automorphisms of Real 4 Dimensional Lie Algebras and the Invariant
  Characterization of Homogeneous 4-Spaces","LaTeX2e, 23 pages, 2 Tables. To appear in Journal of Physics A:
  Mathematical & General","J.Phys.A36:427-442,2003","10.1088/0305-4470/36/2/310",,"gr-qc math-ph math.MP",,"  The automorphisms of all 4-dimensional, real Lie Algebras are presented in a
comprehensive way. Their action on the space of $4\times 4$, real, symmetric
and positive definite, matrices, defines equivalence classes which are used for
the invariant characterization of the 4-dimensional homogeneous spaces which
possess an invariant basis.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:47:37 GMT""},{""version"":""v2"",""created"":""Wed, 13 Nov 2002 12:05:55 GMT""}]","2008-11-26"
"gr-qc/0209043","Tomizawa","S.Tomizawa and M.Siino","Topological Structure of The Upper End of Future Null Infinity","9 pages, 2 figures",,,,"gr-qc",,"  We propose a method to determine the topological structure of an event
horizon far in the future of a spacetime from the geometrical information of
its future null infinity. In the present article, we mainly consider spacetimes
with two black holes. Although, in most of cases, the black holes coalesce and
their event horizon is topologically a single sphere far in the future, there
are several possibilities that the black holes do not coalesce eternally and
such exact solutions. In our formulation, the geometrical structure of future
null infinity is related to the topological structure of the upper end of the
future null infinity through the Poincare\'-Hopf's theorem. Since the upper end
of the future null infinity determines the event horizon far in the future
under the conformal embedding, the topology of event horizon far in the future
will be affected by the geometrical structure of the future null infinity. Our
method is not only for the case of black hole coalescence. Also we can consider
more than two black holes or a black hole with non-trivial topology.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:09:41 GMT""}]","2007-05-23"
"hep-ex/0209021","Alexei V. Raspereza","Alexei Raspereza","Higgs Search Results","Invited talk at the XXII Physics in Collisions Conference (PIC02),
  Stanford, Ca, USA, June 2002, 12 pages, LaTeX, 11 eps figures. PSN SABT04","eConf C020620 (2002) SABT04",,,"hep-ex",,"  This paper shortly reports on the results of Higgs boson searches performed
at LEP and Tevatron. No signal is found and limits on the mass and couplings of
the Higgs boson are derived. Interpreting the data in the framework of the
Standard Model, the 95% C.L. lower limit of 114.4 GeV on the Higgs boson mass
is obtained.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:25:53 GMT""},{""version"":""v2"",""created"":""Thu, 19 Sep 2002 15:48:14 GMT""}]","2007-05-23"
"hep-ex/0209022","Pedro A. Movilla Fernandez","P.A. Movilla Fernandez (MPI Munich)","alpha_S and Power Corrections from JADE","3 pages, 3 .eps-figures, LaTeX2e, uses espcrc2.sty (included). Some
  typos corrected. To appear in the proceedings of the 31st International
  Conference on High Energy Physics (ICHEP 2002), Amsterdam, The Netherlands,
  24-31 July 2002",,,"MPI-PhE/2002-12","hep-ex",,"  Re-analysed JADE data were used to determine alpha_S at sqrt{s} = 14-44 GeV
on the basis of resummed calculations for event shapes and hadronisation models
tuned to LEP data. The combined result is alpha_S(M_Z) = 0.1194 +/-
0.0082/0.0068 which is consistent with the world average. Event shapes have
also been used to test power corrections based on an analytical model and to
verify the gauge structure of QCD. The only non-perturbative parameter alpha_0
of the model was measured to alpha_0(2GeV) = 0.503 +/- 0.066/0.045 and is found
to be universal within the total errors.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 23:42:29 GMT""},{""version"":""v2"",""created"":""Fri, 13 Sep 2002 12:20:51 GMT""}]","2007-05-23"
"hep-ex/0209023","Giacomo Sguazzoni","Giacomo Sguazzoni (CERN, Geneva, Switzerland)","The topologies of Supersymmetry signals at LEP","4 pages, 3 figures. To be published in Proceedings of 'XIV IFAE -
  Incontri sulla Fisica delle Alte Energie (Meetings on High Energy Physics)',
  3-5 April 2002, Parma",,,,"hep-ex",,"  The topologies arising from the production of supersymmetric particles at the
LEP collider are briefly reviewed recalling detector requirements, simulation
and other experimental issues.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:08:22 GMT""}]","2007-05-23"
"hep-lat/0209109","Keisuke Jimmy Juge","K. Jimmy Juge, Julius Kuti, Colin Morningstar","QCD String Spectrum 2002","Lattice2002(topology), 3 pages, 2 figures",,"10.1016/S0920-5632(03)01664-5",,"hep-lat",,"  Results from a comprehensive new analysis on the excitation spectrum of the
QCD string are presented. A rapid onset of string formation is observed in the
spectrum on a length scale of 2 fm, with Dirichlet boundary conditions. The
crossover from the short distance spectrum towards string excitations and an
observed fine structure in the 1--3 fm range are related to effective string
theory. The deficiencies of the Nambu-Goto bosonic string model in describing
the observed spectrum are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 06:47:52 GMT""}]","2009-11-07"
"hep-lat/0209110","Stephan Durr","G. Colangelo, S. D\""urr, R. Sommer","Finite size effects on $M_\pi$ in QCD from Chiral Perturbation Theory","3 pages, 3 figures, Lattice2002(spectrum)",,"10.1016/S0920-5632(03)80450-4","DESY 02-131","hep-lat",,"  We present a determination of the shift $M_\pi(L)-M_\pi$ due to the finite
spatial box size $L$ by means of $N_f=2$ Chiral Perturbation Theory and
L\""uscher's formula. The range of applicability of the chiral prediction is
discussed.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:07:50 GMT""}]","2009-11-07"
"hep-lat/0209111","A. Ali Khan","A. Ali Khan, T. Bakeyev, M. G\""ockeler, R. Horsley, A. C. Irving, D.
  Pleiter, P. Rakow, G. Schierholz, and H. St\""uben (QCDSF and UKQCD
  Collaborations)","Finite Size Effects in Nucleon Masses in Dynamical QCD","3 pages, 7 eps figures, Lattice 2002 (matrixel)","Nucl.Phys.Proc.Suppl.119:419-421,2003","10.1016/S0920-5632(03)01573-1","HU-EP-02/39, LU-ITP 2002/020, Edinburgh 2002/10, LTH 559","hep-lat",,"  For lattice calculations with light dynamical quarks, finite size effects
have become an important aspect. We study finite size effects in nucleon masses
on N_f=2 dynamical lattices of 1-2 fm. Predictions for the finite size effects
are obtained in one-loop chiral perturbation theory.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:08:17 GMT""}]","2008-11-26"
"hep-lat/0209112","Nazario Tantalo","M. Guagnelli, R. Petronzio, N. Tantalo","The lattice scale at large beta in quenched QCD","10 pages, 1 figure","Phys.Lett. B548 (2002) 58-62","10.1016/S0370-2693(02)02819-8",,"hep-lat",,"  In this paper we extend the estimate of the value of the lattice spacing a in
units of the r0 scale at values of the bare coupling larger than those
available. By using results from the computation of the renormalised coupling
in the Schroedinger functional formalism we find that from beta \simeq 7 onward
the behaviour predicted by asymptotic freedom at tree loop describes very well
the data if a value of (r0 Lambda) slightly lower then the latest available is
used. We also show that, by sticking to the current value, an effective four
loop term can describe as well the data. The systematic relative error on the
lattice spacing induced by the choice of the procedure is between 1% and 3% for
6.92 < beta < 8.5.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 12:26:06 GMT""}]","2009-11-07"
"hep-lat/0209113","Nazario Tantalo","M. Guagnelli, F. Palombi, R. Petronzio, N. Tantalo","fB from finite size effects in lattice QCD","3 pages, 2 figures, Lattice2002(heavyquark)",,"10.1016/S0920-5632(03)01640-2",,"hep-lat",,"  We discuss a novel method to calculate fB on the lattice based on the study
of the dependence of finite size effects upon the heavy quark mass of flavoured
mesons and on a non--perturbative recursive finite size technique. This method
avoids the systematic errors related to extrapolations from the static limit or
to the tuning of the coefficients of effective Lagrangian and the results admit
an extrapolation to the continuum limit. We show the results of a first
estimate at finite lattice spacing, but close to the continuum limit, giving fB
= 170(11)(5)(22)MeV. We also obtain fBs = 192(9)(5)(24)MeV. The first error is
statistical, the second is our estimate of the systematic error from the method
and the third the systematic error from the specific approximations adopted in
this first exploratory calculation. The method can be generalized to two--scale
problems in lattice QCD.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 12:47:40 GMT""},{""version"":""v2"",""created"":""Fri, 13 Sep 2002 07:26:41 GMT""}]","2009-11-07"
"hep-lat/0209114","Sandor D. Katz","F. Csikor, G.I. Egri, Z. Fodor, S.D. Katz, K.K. Szabo, A.I. Toth","The QCD equation of state at finite T and \mu","3 pages, 6 figures, Lattice2002(nonzerot)",,"10.1016/S0920-5632(03)80453-X",,"hep-lat",,"  We calculate the pressure (p), the energy density (\epsilon) and the baryon
density (n_B) of QCD at finite temperatures (T) and chemical potentials (\mu).
The recently proposed overlap improving multi-parameter reweighting technique
is used to determine observables at nonvanishing chemical potentials. Our
results are obtained by studying n_f=2+1 dynamical staggered quarks with
semi-realistic masses on N_t=4 lattices.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:42:44 GMT""}]","2009-11-07"
"hep-lat/0209115","Sandor D. Katz","Z. Fodor, S.D. Katz, G. Papp","A scalable PC-based parallel computer for lattice QCD","3 pages, 2 figures, Lattice2002(machines)",,"10.1016/S0920-5632(03)01754-7",,"hep-lat",,"  A PC-based parallel computer for medium/large scale lattice QCD simulations
is suggested. The Eotvos Univ., Inst. Theor. Phys. cluster consists of 137
Intel P4-1.7GHz nodes. Gigabit Ethernet cards are used for nearest neighbor
communication in a two-dimensional mesh. The sustained performance for
dynamical staggered(wilson) quarks on large lattices is around 70(110) GFlops.
The exceptional price/performance ratio is below $1/Mflop.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:52:33 GMT""}]","2009-11-07"
"hep-ph/0209120","Mirco Cannoni","M. Cannoni, St. Kolb and O. Panella","On the heavy Majorana neutrino and light sneutrino contribution to
  \bm{$e^{-}e^{-} \to \ell^{-} \ell^{-}$}, (\bm{$\ell=\mu,\tau)$}","Revtex 4, 5 figures","Eur.Phys.J.C28:375-380,2003","10.1140/epjc/s2003-01189-1",,"hep-ph",,"  The cross section for the reaction $e^{-}e^{-} \to \ell^-\ell^-$
($\ell=\mu,\tau$) is calculated in models with heavy Majorana neutrinos
mediating lepton number violating amplitudes at the loop level. The
contributing four-point functions are evaluated exactly (numerically) taking
into account the full propagator dependence on external momenta, thereby
extending %an earlier approximate low energy calculation to the energy range of
interest for the next linear colliders an earlier approximate low energy
calculation. The amplitude shows a non-decoupling behaviour relative to the
heavy Majorana neutrino masses, but due to the stringent bounds on heavy-light
mixing the signal cross section attains observable values only for the less
constrained $\tau$ signal. The cross section induced by lepton number violation
in the $SU(2)_L$ doublet sneutrino sector of supersymmetric extensions of the
standard model is constrained by the upper limits on neutrino masses and
probably too tiny to be observable.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:29:25 GMT""},{""version"":""v2"",""created"":""Tue, 25 Mar 2003 17:59:12 GMT""}]","2011-09-13"
"hep-ph/0209121","D. N. Triantafyllopoulos","D.N. Triantafyllopoulos (Columbia University)","The Energy Dependence of the Saturation Momentum from RG Improved BFKL
  Evolution","32 pages","Nucl.Phys. B648 (2003) 293-316","10.1016/S0550-3213(02)01000-3","CU-TP-1071","hep-ph",,"  We study the energy dependence of the saturation momentum in the context of
the collinearly improved Leading and Next to Leading BFKL evolution, and in the
presence of saturation boundaries. We find that the logarithmic derivative of
the saturation momentum is varying very slowly with Bjorken-x, and its value is
in agreement with the Golec-Biernat and Wusthoff model in the relevant x
region. The scaling form of the amplitude for dipole-dipole or dipole-hadron
scattering in the perturbative side of the boundary is given.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:17:44 GMT""}]","2010-04-05"
"hep-ph/0209122","Rodolfo A. Diaz","Rodolfo A. Diaz, R. Martinez, and Nicanor Poveda","The process $\mu \to \nu_{e}e\bar{\nu}_{\mu} $in the 2HDM with flavor
  changing neutral currents","2 pages, no figures","Braz.J.Phys.33:831-833,2003","10.1590/S0103-97332003000400038",,"hep-ph",,"  We consider the process $\mu \to \nu_{e}e\bar{\nu}_{\mu} $in the framework of
a two Higgs doublet model with flavor changing neutral currents (FCNC). Since
FCNC generates in turn flavor changing charged currents in the lepton sector,
this process appears at tree level mediated by a charged Higgs boson exchange.
  From the experimental upper limit for this decay, we obtain the bound $|
\xi_{\mu e}/m_{H^{\pm}}| \leq 3.8\times 10^{-3}$ where$ \xi_{\mu e} $refers to
the mixing between the first and second lepton generations, and $m_{H^{\pm}}
$denotes the mass of the charged Higgs boson. This bound is independent on the
other free parameters of the model. In particular, for $m_{H^{\pm}}\simeq
100$GeV we get $| \xi_{e\mu}| $ $\lesssim 0.38$
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:42:05 GMT""}]","2015-06-25"
"hep-ph/0209123","Naotoshi Okamura","N. Okamura (Virginia Tech)","Measuring the CP-Violating Phase by a Long Baseline Neutrino Experiment
  with Hyper-Kamiokande","1 page, proccdings of Neutrino 2002, Munich, Germany, May 25-30,
  2002, and YITP workshop, Kyoto, Japan, July 8-11. 2002",,"10.1016/S0920-5632(03)01365-3","VPI-IPPAP-02-10","hep-ph",,"  This is a contribution paper of the XXth International Conference on Neutrino
Physics and Astrophysics (Neutrino2002) and YITP workshop.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 19:48:25 GMT""}]","2009-11-07"
"hep-ph/0209124","Oliver Brein","Oliver Brein","Associated W+/- H-/+ production at e+ e- and hadron colliders","8 pages, 5 figures, Contribution to SUSY 02, Hamburg, Germany, June
  2002",,,"MPI-PhT 2002-42","hep-ph",,"  We show some results in the minimal supersymmetric Standard Model (MSSM) and
the two Higgs doublet model (THDM) for W+/- H-/+ production cross sections at
e+ e- and hadron colliders. We demonstrate that the predictions for the cross
sections in the two models can be vastly different. Observing these processes,
once the existence of a charged Higgs is established, might shed some light on
the underlying model for an extended Higgs sector.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 22:33:17 GMT""}]","2007-05-23"
"hep-ph/0209125","Zhang Zhao-xi","Xing-Gang Wu, Chao-Hsi Chang (Zhao-Xi Zhang), Yu-Qi Chen and Zheng-Yun
  Fang","The meson $B_c$ annihilation to leptons and inclusive light hadrons","26 pages, 5 figures (6 eps-files), submitted to Phys. Rev. D","Phys.Rev.D67:094001,2003","10.1103/PhysRevD.67.094001",,"hep-ph",,"  The annihilation of the $B_c$ meson to leptons and inclusive light hadrons is
analyzed in the framework of nonrelativistic QCD (NRQCD) factorization. We find
that the decay mode, which escapes from the helicity suppression, contributes a
sizable fraction width. According to the analysis, the branching ratio due to
the contribution from the color-singlet component of the meson $B_c$ can be of
order (10^{-2}). We also estimate the contributions from the color-octet
components. With the velocity scaling rule of NRQCD, we find that the
color-octet contributions are sizable too, especially, in certain phase space
of the annihilation they are greater than (or comparative to) the color-singlet
component. A few observables relevant to the spectrum of charged lepton are
suggested, that may be used as measurements on the color-octet and
color-singlet components in the future $B_c$ experiments. A typical long
distance contribution in the annihilation is estimated too.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 12:29:08 GMT""}]","2011-03-23"
"hep-ph/0209126","Kiyoshi Shiraishi","Kiyoshi Shiraishi, Kenji Sakamoto and Nahomi Kan (Yamaguchi
  University)","Shape of Deconstruction","10 pages, 2 figures, RevTeX4. a citation added","J.Phys.G29:595-602,2003","10.1088/0954-3899/29/4/301","Guchi-TP-12","hep-ph hep-th",,"  We construct a six-dimensional Maxwell theory using a latticized extra space,
the continuum limit of which is a shifted torus recently discussed by Dienes.
This toy model exhibits the correspondence between continuum theory and
discrete theory, and give a geometrical insight to theory-space model building.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 05:24:40 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 2002 12:03:54 GMT""},{""version"":""v3"",""created"":""Sun, 19 Jan 2003 10:02:33 GMT""}]","2016-09-06"
"hep-ph/0209127","Osamu Yasuda","Osamu Yasuda","Neutrino factories - Physics potential and present status","15 pages, 7 sets of figures, uses iopart.cls; Invited talk at
  Conference on Physics Beyond the Standard Model: Beyond the Desert 02, Oulu,
  Finland, 2-7 Jun 2002",,,,"hep-ph",,"  I briefly review the recent status of research on physics potential of
neutrino factories including the discussions on parameter degeneracy.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:26:00 GMT""}]","2007-05-23"
"hep-ph/0209128","Antonio Pineda","Antonio Pineda","Heavy Quarkonium Potential and inclusive decay widths in terms of Wilson
  loops","4 pages, LaTeX. Talk given at 5th International Conference on
  Hyperons, Charm and Beauty Hadrons, Vancouver, Canada, 25-29 Jun 2002","Nucl.Phys.Proc.Suppl. 115 (2003) 187-190","10.1016/S0920-5632(02)01989-8","UB-ECM-PF-02-19","hep-ph",,"  We briefly summarize some results obtained by potential NRQCD in the non
perturbative regime: 1) a systematic procedure to obtain the heavy quarkonium
potential in the 1/m expansion (with explicit expressions up to O(1/m^2) in
terms of Wilson loops), and 2) a description of the heavy quarkonium inclusive
decays to light particles, and of the NRQCD matrix elements (also the octet
ones), in terms of the wave-function at the origen and some gluonic
field-strength correlators.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:34:26 GMT""}]","2009-11-07"
"hep-ph/0209129","Ana M. Teixeira","Ana M. Teixeira","Spontaneous CP violation in supersymmetric models","10 pages, 2 eps figures. Talk given at Corfu Summer Institute on
  Elementary Particle Physics (Corfu 2001), Corfu, Greece, 31 Aug - 20 Sep 2001",,,,"hep-ph",,"  We briefly comment on the question of spontaneous CP violation for several
models of weak interactions. We focus on one of the minimal extensions of the
Standard Model where spontaneous CP violation is viable,the next-to-minimal
supersymmetric standard model (NMSSM), with two Higgs doublets and a gauge
singlet. We analyse the most general Higgs potential without a discrete Z_3
symmetry, and derive an upper bound on the mass of the lightest neutral Higgs
boson. We estimate $\epsilon_K$ by applying the mass insertion approximation,
finding that in order to account for the observed CP violation in the neutral
kaon sector a non-trivial flavour structure in the soft-breaking A-terms is
required and that the upper bound on the lightest Higgs-boson mass becomes
stronger. We also discuss the implications of electric dipole moments of the
electron and the neutron in SUSY models with SCPV.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:39:11 GMT""}]","2007-05-23"
"hep-ph/0209130","Athar Hussain","H. Athar (NCTS)","High energy astrophysical neutrinos","4 pages, 1 figure, talk given at IAU 8th Asian Pacific Regional
  Meeting, 2-5 July, 2002, Tokyo, Japan (to appear in its proceedings edited by
  S. Ikeuchi, J. Hearnshaw and T. Hanawa, published by Astronomical Society of
  the Pacific as the ASP Conference Series)",,,,"hep-ph astro-ph",,"  High energy neutrinos with energy typically greater than tens of thousands of
GeV may originate from several astrophysical sources. The sources may include,
for instance, our galaxy, the active centers of nearby galaxies, as well as
possibly the distant sites of gamma ray bursts. I briefly review some aspects
of production and propagation as well as prospects for observations of these
high energy astrophysical neutrinos.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 10:05:03 GMT""}]","2007-05-23"
"hep-ph/0209131","Smirnov Alexei","A. Yu. Smirnov","Solar Neutrinos: Interpretation of Results","10 pages, latex, 7 figures. Invited talk given at the XXth
  International Conference on Neutrino Physics and Astrophysics, ``Neutrino
  2002"", Munich, Germany, May 25-30, 2002","Nucl.Phys.Proc.Suppl.118:87-96,2003","10.1016/S0920-5632(03)01307-0",,"hep-ph",,"  Recent SNO results give strong evidence that the solar neutrinos undergo the
flavor conversion. Main issue now is the identification of the mechanism of
conversion. The LMA MSW solution with $\Delta m^2 = (5 - 7) \cdot 10^{-5}$
eV$^2$, $\tan^2 \theta = 0.35 - 0.45$ looks rather plausible: it fits well the
experimental data and our new theoretical prejudices. In the LMA case, KamLAND
should see (0.5 - 0.7) reduced signal. VAC-QVO and LOW are accepted at about
$3\sigma$-level. The SMA solution is practically excluded. No sub-leading
effects produced by $U_{e3}$ and admixture of sterile neutrino have been found.
The fit becomes worse with increase of $U_{e3}$ (for LMA) and the $\nu_s$
admixture. Still (30 - 50)% presence of the sterile neutrino is allowed.
Solutions based on the neutrino spin-flip in the magnetic fields of the Sun as
well as on non-standard neutrino interactions give good fit of the data. If
KamLAND confirms LMA MSW, the spin-flip and non-standard interactions can be
considered (and will be searched for) as sub-leading effects.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 10:40:37 GMT""}]","2011-01-31"
"hep-ph/0209132","Eduard Masso","Eduard Masso","Axions and Axion-like Particles","16 pags. Invited talk at 30th International Meeting on Fundamental
  Physics, (January 2002, at Jaca, Huesca, Spain). To be published in the
  Proceedings","Nucl.Phys.Proc.Suppl. 114 (2003) 67-73","10.1016/S0920-5632(02)01893-5","UAB-FT-530","hep-ph",,"  I review the theoretical motivation for the axion and present an update of
the experimental status of axion searches. I finally comment on some aspects of
the physics of axion-like particles.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:09:53 GMT""}]","2009-11-07"
"hep-ph/0209133",,"Altug Arda (Hacettepe U.) and Muge Boz (Hacettepe U.)","The sensitivity of the zero position of the forward--backward asymmetry
  to new physics effects in the B -> K^\ast \mu^+ \mu^- decay","16 pp, 6 ps figs","Phys.Rev.D66:075012,2002","10.1103/PhysRevD.66.075012",,"hep-ph",,"  Starting with the most general effective Hamiltonian comprising scalar and
vector operators beyond the standard model, we discuss the impact of various
operators on the zero of the forward--backward asymmetry in the dileptonic B
decay B -> K^\ast \mu^+ \mu^-. We find that, zero of the asymmetry is highly
sensitive to the sign and size of the vector--vector operators and opposite
chirality counterparts of the usual operators. The scalar--scalar four--fermion
operators, on the other hand, have mild effect on the zero of the asymmetry.
Our results are expected to be checked in the near future experiments.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:26:40 GMT""}]","2011-03-23"
"hep-ph/0209134","Guy Raz","Michael Dine, Yosef Nir, Guy Raz, Tomer Volansky","Time Variations in the Scale of Grand Unification","14 pages, revtex4; Updated observational results and improved
  statistical analysis (section IV); added references","Phys.Rev. D67 (2003) 015009","10.1103/PhysRevD.67.015009","SCIPP-02/19; WIS/40/02-Sep-DPP","hep-ph",,"  We study the consequences of time variations in the scale of grand
unification, $M_U$, when the Planck scale and the value of the unified coupling
at the Planck scale are held fixed. We show that the relation between the
variations of the low energy gauge couplings is highly model dependent. It is
even possible, in principle, that the electromagnetic coupling $\alpha$ varies,
but the strong coupling $\alpha_3$ does not (to leading approximation). We
investigate whether the interpretation of recent observations of quasar
absorption lines in terms of time variation in $\alpha$ can be accounted for by
time variation in $M_U$. Our formalism can be applied to any scenario where a
time variation in an intermediate scale induces, through threshold corrections,
time variations in the effective low scale couplings.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:36:28 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 2002 08:14:49 GMT""}]","2009-11-07"
"hep-ph/0209135","K. R. S. Balaji","V. Krey and K.R.S. Balaji (Univ. of Dortmund)","Polarized J/psi production from B mesons at the Tevatron","45 pages LaTex, 9 figures, 8 tables, matches version accepted for
  publication in PRD","Phys.Rev.D67:054011,2003","10.1103/PhysRevD.67.054011","DO-TH 02/15","hep-ph",,"  In the framework of NRQCD and parton model, we estimate in detail,the
production cross section for polarized J/psi from B meson decays. In order to
contrast with data, we also take into account additional J/psi production due
to decay of excited charmonium states. We calculate the helicity parameter,
alpha, and as an application, we study our results for the Tevatron. This is in
contrast to the earlier studies which were performed for prompt J/psi
production from p pbar collisions. Our estimates are, for J/psi from B decays,
alpha_{J/psi} = -0.04 +- 0.06 and for B decays to psi', alpha_{psi'}= -0.03 +-
0.07. These results have been evaluated in the J/psi transverse momentum
interval, 10 GeV < k_T < 30 GeV. In the limit of the color singlet model, alpha
shows a direct dependence on the Peterson parameter, thereby reflecting the
dynamics of the b quark hadronization. With Run II of the Tevatron, it is
expected that the fits for alpha will improve by about a factor of 50, leading
to better limits on the matrix elements.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:08:50 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 2002 14:27:19 GMT""},{""version"":""v3"",""created"":""Wed, 11 Dec 2002 09:57:16 GMT""}]","2011-01-25"
"hep-ph/0209136","Carl Shakin","Hu Li and C. M. Shakin","Chiral Symmetry Restoration and Deconfinement of Light Mesons at Finite
  Temperature","17 pages, 10 figures, Revtex4 tex file",,,,"hep-ph hep-lat",,"  There has been a great deal of interest in understanding the properties of
quantum chromodynamics (QCD) for a finite value of the chemical potential and
for finite temperature. Studies have been made of the restoration of chiral
symmetry in matter and at finite temperature. The phenomenon of deconfinement
is also of great interest, with studies of the temperature dependence of the
confining interaction reported recently. In the present work we study the
change of the properties of light mesons as the temperature is increased. For
this study we make use of a Nambu--Jona-Lasinio (NJL) model that has been
generalized to include a covariant model of confinement. The parameters of the
confining interaction are made temperature-dependent to take into account what
has been learned in lattice simulations of QCD at finite temperature. The
constituent quark masses are calculated at finite temperature using the NJL
model. A novel feature of our work is the introduction of a temperature
dependence of the NJL interaction parameters. (This is a purely
phenomenological feature of our model, which we do not attempt to derive from
more fundamental considerations.) With the three temperature-dependent aspects
of the model mentioned above, we find that the mesons we study are no longer
bound when the temperature reaches the critical temperature, $T_c$, which we
take to be 170 MeV. We believe that ours is the first model that is able to
describe the interplay of chiral symmetry restoration and deconfinement for
mesons at finite temperature. The introduction of temperature-dependent
coupling constants is a feature of our work whose further consequences should
be explored in future work.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:59:53 GMT""},{""version"":""v2"",""created"":""Fri, 13 Sep 2002 13:31:48 GMT""},{""version"":""v3"",""created"":""Mon, 28 Oct 2002 16:41:50 GMT""}]","2007-05-23"
